index,start_time,end_time,posX_change
0,0.0,3.561694,0.09514299999999976
1,3.561694,4.501946,0.05644099999999996
2,4.501946,5.165332,0.08571499999999999
3,5.165332,6.005474,0.10792000000000002
4,6.005474,6.558134,0.04916100000000001
5,6.558134,7.108309,0.08891599999999977
6,7.108309,8.399715,0.08532899999999999
7,8.399715,8.875471,0.015190999999999955
8,8.875471,9.515224,0.09254700000000016
9,9.515224,9.966425,0.026356000000000268
10,9.966425,10.49202,0.020153999999999783
11,10.49202,11.08131,0.03886499999999993
12,11.08131,11.69635,0.04082700000000017
13,11.69635,12.20958,0.040133000000000196
14,12.20958,13.36251,0.138679
15,13.36251,13.88796,0.04564999999999997
16,13.88796,14.34025,0.023328999999999933
17,14.34025,14.9271,0.040617000000000125
18,14.9271,15.45474,0.04720800000000014
19,15.45474,15.97011,0.025930999999999926
20,15.97011,16.46897,0.02605500000000016
21,16.46897,17.03421,0.04815900000000006
22,17.03421,17.62308,0.024370000000000003
23,17.62308,18.01123,0.021919000000000022
24,18.01123,18.72558,0.08697899999999992
25,18.72558,19.18892,0.026361999999999997
26,19.18892,19.75205,0.049984999999999946
27,19.75205,20.76718,0.12130699999999983
28,20.76718,21.30657,0.05024300000000004
29,21.30657,22.24659,0.1255090000000001
30,22.24659,22.69876,0.03052599999999983
31,22.69876,23.25033,0.024770999999999876
32,23.25033,23.83916,0.09419299999999975
33,23.83916,24.3272,0.0219069999999999
34,24.3272,24.79093,0.026478
35,24.79093,25.32089,0.03120500000000015
36,25.32089,25.86774,0.09153499999999992
37,25.86774,26.49231,0.04270099999999988
38,26.49231,27.19526,0.11121400000000015
39,27.19526,27.79799,0.08229699999999984
40,27.79799,28.31076,0.01684400000000008
41,28.31076,28.9131,0.04323599999999983
42,28.9131,29.43966,0.04301899999999992
43,29.43966,30.06636,0.05741900000000033
44,30.06636,30.51788,0.02123699999999995
45,30.51788,31.10661,0.07386300000000001
46,31.10661,31.66914,0.05921699999999985
47,31.66914,32.47176,0.10234399999999999
48,32.47176,32.93589,0.019649999999999945
49,32.93589,33.51202,0.08702600000000005
50,33.51202,33.91331,0.010419999999999874
