index,start_time,end_time,posZ_change
0,0.0,3.561694,0.09950900000000007
1,3.561694,4.501946,0.09068699999999974
2,4.501946,5.165332,0.02610900000000016
3,5.165332,6.005474,0.07425000000000015
4,6.005474,6.558134,0.0338480000000001
5,6.558134,7.108309,0.0456939999999999
6,7.108309,8.399715,0.1935579999999999
7,8.399715,8.875471,0.014186000000000032
8,8.875471,9.515224,0.06564199999999998
9,9.515224,9.966425,0.026316000000000228
10,9.966425,10.49202,0.07095799999999985
11,10.49202,11.08131,0.08814600000000006
12,11.08131,11.69635,0.10113199999999978
13,11.69635,12.20958,0.05959099999999973
14,12.20958,13.36251,0.11817000000000011
15,13.36251,13.88796,0.02263499999999974
16,13.88796,14.34025,0.04577700000000018
17,14.34025,14.9271,0.05288499999999985
18,14.9271,15.45474,0.04814600000000002
19,15.45474,15.97011,0.03937000000000013
20,15.97011,16.46897,0.05325900000000017
21,16.46897,17.03421,0.04438900000000001
22,17.03421,17.62308,0.04074800000000023
23,17.62308,18.01123,0.022306999999999855
24,18.01123,18.72558,0.04084199999999982
25,18.72558,19.18892,0.03092600000000001
26,19.18892,19.75205,0.06011499999999992
27,19.75205,20.76718,0.05591999999999997
28,20.76718,21.30657,0.01076200000000016
29,21.30657,22.24659,0.06587299999999985
30,22.24659,22.69876,0.055261000000000005
31,22.69876,23.25033,0.044621000000000244
32,23.25033,23.83916,0.027573999999999987
33,23.83916,24.3272,0.02893699999999977
34,24.3272,24.79093,0.061282999999999976
35,24.79093,25.32089,0.02824099999999996
36,25.32089,25.86774,0.04916100000000001
37,25.86774,26.49231,0.04319300000000026
38,26.49231,27.19526,0.026426999999999756
39,27.19526,27.79799,0.01161600000000007
40,27.79799,28.31076,0.025360999999999967
41,28.31076,28.9131,0.04341399999999984
42,28.9131,29.43966,0.04635999999999996
43,29.43966,30.06636,0.05495399999999995
44,30.06636,30.51788,0.034016999999999964
45,30.51788,31.10661,0.06512399999999996
46,31.10661,31.66914,0.02960900000000022
47,31.66914,32.47176,0.05809100000000034
48,32.47176,32.93589,0.01820300000000019
49,32.93589,33.51202,0.052390999999999854
50,33.51202,33.91331,0.04341999999999979
