InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.065258
1,1.929987,0.8647289
2,2.669585,0.7395983
3,5.338456,2.668871
4,6.128098,0.7896423
5,8.346215,2.218117
6,9.186219,0.840004
7,10.53927,1.353052
8,11.5541,1.014826
9,13.67174,2.117643
10,14.58737,0.9156284
11,15.15142,0.5640488
12,16.40305,1.251636
13,17.6941,1.291042
14,20.52661,2.832516
15,20.94082,0.4142075
16,22.83353,1.892708
17,25.92866,3.095135
18,27.54505,1.616386
19,28.9613,1.416248
20,29.65055,0.6892586
21,30.25203,0.6014748
22,31.07895,0.8269196
23,32.14412,1.06517
24,34.22451,2.080387
25,36.32949,2.104988
26,38.27152,1.942028
27,40.05209,1.780567
28,41.26709,1.214996
29,43.30994,2.042854
30,44.47483,1.16489
31,45.47819,1.003361
32,46.85626,1.378071
33,47.8336,0.9773369
34,50.3149,2.4813
35,51.0673,0.7523994
36,51.70593,0.6386299
37,53.44729,1.74136
38,56.15474,2.707451
39,56.89356,0.7388229
40,58.17225,1.278687
41,58.58612,0.4138718
42,59.67654,1.090424
43,60.37766,0.7011108
44,62.045,1.667343
45,63.1227,1.077705
46,65.27772,2.155014
47,66.35523,1.077515
48,66.88303,0.5277939
49,67.82205,0.9390259
50,68.8874,1.065346
51,70.24091,1.353508
52,70.72989,0.4889832
53,72.58451,1.854622
54,73.21082,0.6263046
55,74.3129,1.102081
56,75.11885,0.805954
57,75.98048,0.8616257
58,76.78204,0.8015671
59,77.59705,0.8150024
60,78.77448,1.177429
61,79.94022,1.165749
62,80.76777,0.8275452
63,83.26114,2.49337
64,84.99033,1.729195
65,87.29573,2.305397
66,88.02332,0.7275925
67,89.26422,1.240898
68,91.28107,2.016846
69,92.4715,1.190437
70,93.42444,0.9529343
71,94.69006,1.265625
72,95.94324,1.253174
73,97.10873,1.165497
74,98.67475,1.566017
75,99.48997,0.8152161
76,100.5427,1.052742
77,102.0842,1.541504
78,104.3392,2.25499
79,107.135,2.795837
80,109.0382,1.903206
81,109.5771,0.5388107
82,110.2786,0.7014999
83,110.7174,0.4388428
84,111.8464,1.129013
85,114.1767,2.330254
86,115.7811,1.604454
87,117.4722,1.691071
88,118.6261,1.153885
89,119.9537,1.327576
90,121.1317,1.17804
91,123.0497,1.918015
92,125.4552,2.405457
93,126.7595,1.304321
94,127.8871,1.127579
95,129.1023,1.215248
96,130.2301,1.127777
97,130.9946,0.7645264
98,133.5382,2.543549
99,134.804,1.265884
100,135.243,0.4389801

time,posX,posY,posZ,rotX,rotY,rotZ
0.3533334,0.3469435,-0.04168558,-0.6728026,320.4968,29.22888,11.71231
0.4575015,0.3507555,-0.04304213,-0.6716065,321.3046,29.57488,10.83793
0.5578889,0.3563411,-0.04434161,-0.6720277,321.7128,29.5044,10.19986
0.6619728,0.3699364,-0.04632532,-0.6733335,323.4491,29.89748,8.80562
0.7734206,0.4155635,-0.0540584,-0.677493,330.621,34.31264,3.699729
0.8848196,0.4762299,-0.0651753,-0.6883482,338.8553,43.63068,357.4615
1.003884,0.5763295,-0.08697047,-0.718684,351.9942,57.2679,351.7717
1.104926,0.6629439,-0.108932,-0.7598065,3.27005,69.26472,350.9033
1.206249,0.7409058,-0.1114547,-0.8047323,7.57327,80.63815,351.9478
1.307085,0.7935768,-0.08029551,-0.8439792,12.55235,87.13603,352.376
1.407437,0.8248407,-0.01289666,-0.8778006,13.10759,92.19892,354.3896
1.50852,0.8395869,0.07981867,-0.9093122,12.47293,96.52392,356.5346
1.63166,0.8432832,0.1904939,-0.9414141,9.421212,99.81137,358.5513
1.732584,0.8422223,0.2413947,-0.9561096,9.904846,99.59118,359.9183
1.833169,0.8485822,0.2639974,-0.9663699,9.629668,97.6791,1.498295
1.933965,0.8662922,0.2747866,-0.9766318,7.968723,95.89928,2.108215
2.034284,0.8967456,0.2845078,-0.9905342,4.662073,97.66943,2.489396
2.134539,0.9411142,0.2886127,-1.006026,1.935305,101.5067,2.701711
2.235377,0.993086,0.2884074,-1.021098,359.017,108.0275,1.131884
2.360168,1.06614,0.303103,-1.041303,355.6483,119.9579,358.2874
2.460184,1.121201,0.3076852,-1.066369,352.8127,131.3072,359.2586
2.560446,1.17558,0.3129942,-1.094019,352.8094,138.815,0.1834316
2.660967,1.226764,0.309282,-1.126329,354.4877,145.0049,0.198475
