InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.151108
1,1.640472,0.4893646
2,2.128998,0.4885254
3,2.617935,0.4889374
4,3.043915,0.4259796
5,3.520584,0.4766693
6,4.009094,0.4885101
7,4.472504,0.4634094
8,4.861099,0.3885956
9,5.387268,0.5261688
10,5.775436,0.3881683
11,6.214081,0.4386444
12,6.590454,0.3763733
13,7.028915,0.4384613
14,7.391998,0.3630829
15,7.880798,0.4888
16,8.282211,0.401413
17,8.645233,0.3630219
18,9.04628,0.4010468
19,9.433914,0.3876343
20,9.822906,0.3889923
21,10.23663,0.4137268
22,10.67474,0.4381104
23,10.98814,0.3134003
24,11.26492,0.2767792
25,11.67694,0.4120178
26,12.12859,0.4516449
27,12.50436,0.3757782
28,12.81938,0.3150177
29,13.30664,0.4872589
30,13.65686,0.3502197
31,14.02069,0.3638306
32,14.42238,0.4016876
33,14.8856,0.4632263
34,15.46153,0.5759277
35,15.97525,0.5137177
36,16.35144,0.3761902
37,16.77681,0.4253693
38,17.17763,0.4008179
39,17.59119,0.413559
40,18.04263,0.4514465
41,18.63139,0.5887604
42,19.04495,0.413559
43,19.34567,0.3007202
44,19.78484,0.4391632
45,20.09702,0.3121796
46,20.58621,0.4891968
47,21.60109,1.014877
48,21.95187,0.3507843
49,22.36551,0.4136353
50,22.76663,0.401123
51,23.70609,0.9394531
