InteractionNumber,ElapsedTime,SplitTime,missCount
0,4.003515
1,5.294142,1.290627
2,5.920843,0.6267014
3,6.72331,0.8024673
4,7.538565,0.8152542
5,9.12126,1.582695
6,10.91366,1.792404
7,12.37971,1.466049
8,13.89546,1.515751
9,14.49978,0.6043205
10,15.38832,0.8885345
11,16.26636,0.8780403
12,18.00742,1.741058
13,20.16491,2.157494
14,21.4277,1.262787
15,22.67961,1.251915
16,23.74539,1.065777
17,24.92502,1.179634
18,26.6788,1.75378
19,27.79529,1.116489
20,28.97381,1.178516
21,30.35116,1.37735
22,33.0332,2.682043
23,34.2491,1.215897
24,37.05495,2.805847
25,38.23337,1.178421
26,39.72469,1.491318
27,40.65203,0.9273453
28,42.19392,1.541893
29,43.22097,1.027046
30,45.57769,2.35672
31,46.6052,1.027512
32,50.26469,3.659492
33,53.88573,3.621033
34,54.66266,0.7769318
35,56.68035,2.017693
36,58.02087,1.340515
37,58.64783,0.6269684
38,60.06427,1.416435
39,60.72813,0.6638641
40,62.96003,2.231895
41,63.89851,0.9384842
42,65.60302,1.704506
43,66.22987,0.6268463
44,67.95918,1.729309
45,68.63578,0.6766052
46,69.21217,0.5763931
47,70.31414,1.101967
48,70.87952,0.5653763
49,71.79382,0.914299
50,76.09184,4.298027
51,78.62339,2.531548
52,80.90398,2.280594
53,82.08239,1.178406
54,82.75721,0.6748199
55,83.44724,0.6900253
56,84.65087,1.203636
57,86.16726,1.516388
58,87.4973,1.33004
59,88.73638,1.239082
60,89.67617,0.9397888
61,90.66592,0.9897461
62,92.00739,1.341469
63,92.63332,0.6259308
64,94.18788,1.554565
65,95.41537,1.227486
66,96.25552,0.8401489
67,98.39819,2.14267
68,100.8968,2.498657
69,103.9249,3.028107
70,105.1785,1.25351
71,107.1837,2.005219
72,107.9232,0.7395477
73,109.3889,1.465698
74,110.8541,1.465225
75,112.0931,1.238983
76,113.2208,1.127625
77,114.4498,1.229019
78,116.6059,2.156158
79,118.2613,1.655365
80,119.0624,0.8011017
81,120.8799,1.817459
82,123.1363,2.256439
83,126.2558,3.119507
84,128.8639,2.608086
85,131.9085,3.044601
86,134.0885,2.180008
87,135.5168,1.428345
88,138.9384,3.42157
89,139.3896,0.4512177
90,141.257,1.867355
91,142.1479,0.8909454
92,143.5758,1.427826
93,146.2944,2.718597
94,146.7397,0.4453583
95,148.9386,2.198853
96,149.8784,0.9398651
97,150.8559,0.9774475
98,151.7719,0.9160309
99,153.1995,1.427551
100,154.4399,1.240448
101,155.531,1.091095
102,157.0219,1.490906
103,159.2529,2.231033
104,162.3234,3.070496
105,164.2402,1.916748
106,166.3827,2.142487
107,168.1755,1.792847
108,169.7168,1.54129
109,171.0194,1.302567
110,172.2828,1.263412

time,posX,posY,posZ,rotX,rotY,rotZ
0.3533334,-0.06557493,0.01464032,0.1448558,348.4434,356.6035,18.14845
0.4597215,-0.06539781,0.01492001,0.1449168,348.3871,356.7922,18.27429
0.5606278,-0.06530559,0.01468085,0.1450678,348.4302,356.796,18.36158
0.6733118,-0.06468798,0.0145373,0.1451745,348.4315,357.1224,18.50873
0.7745079,-0.0630658,0.01363234,0.145567,348.8323,357.678,18.48092
0.8808379,-0.06095042,0.01296319,0.145379,349.4867,357.9862,17.98725
0.9861794,-0.05812216,0.01228917,0.1449744,350.0268,358.2742,17.56351
1.110248,-0.05216928,0.01137004,0.1443241,351.1315,359.1474,16.34063
1.210641,-0.04291291,0.009386836,0.1409522,353.15,0.06587732,14.18129
1.311001,-0.03203397,0.004029592,0.1354333,355.6846,1.030698,8.835117
1.436049,-0.02019092,0.0005136435,0.123584,357.9571,0.7946522,5.294296
1.561039,-0.008812975,-0.001352237,0.1089038,0.2149254,0.4966962,3.617777
1.661862,-0.002458553,0.0009621107,0.0977601,2.227268,1.283295,2.493244
1.788978,0.002930187,0.004804586,0.08422915,2.137385,357.3403,359.688
1.912282,0.007667414,0.006242924,0.07145906,1.754568,354.986,359.1089
2.012691,0.01275234,0.002498857,0.05795437,4.089387,355.7412,359.7373
2.11324,0.01596418,-0.002591741,0.04768462,5.079613,356.3426,0.7161167
2.213573,0.01571374,-0.008160667,0.03648913,9.057981,357.6262,0.9615677
2.314585,0.01571709,-0.01192342,0.02773743,10.80348,359.4808,0.7208193
2.439938,0.0111119,-0.01098336,0.0186911,10.27723,358.8683,1.227197
