index,start_time,end_time,posX_change
0,0.0,1.090088,1.3123753559999998
1,1.090088,2.39539,1.392088004
2,2.39539,2.946293,1.39913888
3,2.946293,4.226059,1.6117339220000002
4,4.226059,4.675751,1.42339576
5,4.675751,5.352283,1.4925087400000001
6,5.352283,5.942032,1.3504013600000002
7,5.942032,6.517601,1.55664378
8,6.517601,7.01836,1.51140494
9,7.01836,7.608021,1.6870118500000002
10,7.608021,8.172352,1.3478806099999996
11,8.172352,8.598461,1.2952712
12,8.598461,9.09893,1.4435032399999999
13,9.09893,9.638893,1.5144352099999996
14,9.638893,10.07666,1.6589179699999999
15,10.07666,10.89192,1.5902055499999999
16,10.89192,12.0447,1.5885456
17,12.0447,12.4582,1.4275283099999998
18,12.4582,12.95012,1.3238762316000001
19,12.95012,13.37251,1.295027112
20,13.37251,13.79816,1.33081713
21,13.79816,14.33741,1.38203269
22,14.33741,14.78936,1.4233275799999998
23,14.78936,15.76626,1.42375642
24,15.76626,16.26747,1.4472416500000003
25,16.26747,16.731,1.338655052
26,16.731,17.219,1.4234461999999999
27,17.219,17.69492,1.50350316
28,17.69492,18.64844,1.494833985
29,18.64844,19.19881,1.4094739079999998
30,19.19881,19.77077,1.345749276
31,19.77077,20.30179,1.3796303699999999
32,20.30179,20.79157,1.3496762099999997
33,20.79157,21.41726,1.4828910899999996
34,21.41726,21.94403,1.3238700739999998
35,21.94403,22.43182,1.28701818
36,22.43182,22.92123,1.27260321
37,22.92123,23.52308,1.31052283
38,23.52308,23.99881,1.3907669339999997
39,23.99881,24.57613,1.46401311
40,24.57613,25.11443,1.4247291400000002
41,25.11443,25.55325,1.3902964000000002
42,25.55325,26.0676,1.3987197999999998
43,26.0676,26.46841,1.3104919529999999
44,26.46841,26.94192,1.293474757
45,26.94192,27.35724,1.3170847
46,27.35724,27.82033,1.3594257999999997
47,27.82033,28.33191,1.442569918
48,28.33191,28.68578,1.3619502700000001
49,28.68578,29.09954,1.34077116
50,29.09954,29.6636,1.4865931
51,29.6636,30.1776,1.45299491
