time,phase,posX,posY,posZ,rotX,rotY,rotZ
0,0,0.2703389,1.723542,-0.5013029,1.213514,0.909945,-0.7588806
0.01431274,0,0.2701822,1.722944,-0.5003477,1.448868,0.9967536,-0.7518005
0.03151703,0,0.2700032,1.722345,-0.4993382,1.680178,1.065202,-0.7305298
0.04564667,0,0.2698879,1.721862,-0.4982585,1.89792,1.111173,-0.6957092
0.06089783,0,0.2696528,1.72132,-0.4970813,2.083492,1.185739,-0.6479187
0.07376862,0,0.269361,1.720946,-0.4958039,2.212019,1.25759,-0.5712891
0.08718872,0,0.2690657,1.720737,-0.494529,2.315723,1.315977,-0.4783936
0.1017914,0,0.2686925,1.720624,-0.4931318,2.382256,1.376561,-0.3959961
0.1147766,0,0.2682419,1.720371,-0.4916706,2.434203,1.46513,-0.3005066
0.1295013,0,0.2677875,1.720073,-0.4903339,2.551554,1.525514,-0.2395935
0.1441956,0,0.2672711,1.719704,-0.4889435,2.70749,1.621346,-0.1252441
0.1582489,0,0.2667128,1.719605,-0.4874855,2.920464,1.690471,-0.05795288
0.1743927,0,0.2661358,1.719356,-0.4858598,3.033659,1.766456,0.006364851
0.1884995,0,0.2655506,1.718904,-0.4842719,3.198288,1.844536,0.08378787
0.203331,0,0.2649171,1.718141,-0.4825834,3.342986,1.915057,0.1247512
0.2170792,0,0.2642429,1.717403,-0.4807308,3.589086,2.014785,0.1828277
0.2327271,0,0.2634941,1.716857,-0.4788322,3.850128,2.088573,0.2086388
0.2476501,0,0.2626898,1.716236,-0.4767599,4.134201,2.17289,0.2043695
0.2623138,0,0.2618465,1.715418,-0.4747991,4.457002,2.268176,0.2028107
0.2765503,0,0.2608991,1.714541,-0.4727764,4.775814,2.342977,0.1690983
0.292038,0,0.2598783,1.713813,-0.4706055,5.071602,2.425802,0.1714577
0.306694,0,0.2578841,1.712569,-0.4660014,5.612617,2.565138,0.1733981
0.3217087,0,0.2568383,1.71169,-0.4635173,5.801284,2.597957,0.2109715
0.33815,0,0.2557352,1.710352,-0.4611847,6.041172,2.642256,0.2522925
0.3518219,0,0.2546457,1.708862,-0.4587943,6.298626,2.693866,0.281018
0.3665314,0,0.253703,1.707524,-0.4562061,6.573245,2.752498,0.3274273
0.3810883,0,0.2526929,1.706359,-0.4530513,6.714896,2.877305,0.3737007
0.3950424,0,0.2519509,1.705711,-0.4493905,6.711545,2.971,0.4745993
0.411499,0,0.2511795,1.704992,-0.4453748,6.553332,3.073349,0.5684364
0.425499,0,0.2505131,1.704169,-0.4413408,6.464048,3.181939,0.6505733
0.4399109,0,0.249884,1.703249,-0.4373066,6.467266,3.305256,0.6950462
0.4555435,0,0.249424,1.702182,-0.4329993,6.535654,3.430777,0.7387823
0.4705124,0,0.249007,1.701235,-0.4283232,6.651987,3.54659,0.7704095
0.4851685,0,0.2486984,1.700231,-0.4232739,6.736249,3.638079,0.8040453
0.4998856,0,0.2481023,1.698309,-0.41282,6.907377,3.878393,0.8453659
0.5158234,0,0.2482,1.69743,-0.4068801,7.029546,3.982933,0.7803331
0.5326767,0,0.2483205,1.696944,-0.40067,7.207693,4.120168,0.7656671
0.546402,0,0.2485872,1.696678,-0.3943428,7.287683,4.223107,0.7911639
0.5618362,0,0.2489356,1.696,-0.3879126,7.412214,4.29237,0.8511103
0.5752258,0,0.2494212,1.694937,-0.3814888,7.602535,4.354685,0.8550356
0.5912476,0,0.2498754,1.693774,-0.3747466,7.841094,4.447349,0.802394
0.6061096,0,0.2502845,1.692912,-0.367662,8.031323,4.531964,0.6806112
0.6215668,0,0.2509004,1.691971,-0.3601357,8.084435,4.614412,0.5602773
0.6358643,0,0.2515376,1.690925,-0.3521395,8.00641,4.720551,0.4702266
0.6520538,0,0.2523934,1.689841,-0.3440519,7.865876,4.776823,0.4125465
0.6664963,0,0.2542863,1.687375,-0.3275078,7.653616,4.933479,0.3559006
0.6826324,0,0.2554966,1.685627,-0.3188392,7.535338,5.036048,0.3008008
0.6969604,0,0.2568339,1.683944,-0.3099791,7.517041,5.146243,0.2226913
0.7134933,0,0.2580948,1.682225,-0.3005521,7.590997,5.298884,0.1830755
0.7279816,0,0.2595683,1.680644,-0.2908597,7.608639,5.35226,0.137242
0.742897,0,0.2611045,1.679005,-0.2809536,7.522777,5.38412,0.1124329
0.7574158,0,0.2626859,1.677176,-0.2709161,7.453606,5.412803,0.05735423
0.7733841,0,0.2644045,1.675404,-0.2608068,7.453006,5.475407,-0.02200317
0.7889175,0,0.2662318,1.673431,-0.2505097,7.441547,5.497642,-0.0993042
0.8038559,0,0.2680239,1.671955,-0.2397144,7.508029,5.498354,-0.1158447
0.8179398,0,0.270029,1.670672,-0.2284506,7.500481,5.388466,-0.08078003
0.8336182,0,0.2742259,1.668281,-0.2058485,7.435294,5.219928,-0.1121826
0.8495636,0,0.2767203,1.667214,-0.194111,7.256577,5.091183,-0.1319885
0.8645172,0,0.2791715,1.667045,-0.181964,7.106849,4.988644,-0.2020874
0.8806763,0,0.2815914,1.667669,-0.1692706,6.964798,4.829914,-0.1873779
0.8958588,0,0.2839247,1.669096,-0.1564228,6.909496,4.543934,-0.1311951
0.909935,0,0.2864515,1.671414,-0.1436369,7.089761,4.09664,-0.07852173
0.9249954,0,0.288967,1.675858,-0.1303759,7.578215,3.671678,-0.01629639
0.9395676,0,0.2913792,1.679731,-0.1172488,7.519099,3.187326,0.01926867
0.9559937,0,0.2933832,1.681673,-0.1049764,7.632728,2.815333,-0.03530884
0.9709015,0,0.2950313,1.684153,-0.09315675,7.790988,2.457772,-0.04644775
0.9860077,0,0.296671,1.686828,-0.08152518,7.759543,2.054958,0.006173697
1.001549,0,0.2982475,1.688965,-0.06982419,7.488252,1.616713,0.1197789
1.015335,0,0.3012221,1.69293,-0.04592166,6.826906,0.8137599,0.373092
1.031517,0,0.3023479,1.695145,-0.03338811,6.12068,0.415852,0.4784177
1.046509,0,0.3032117,1.698275,-0.02071226,5.538234,0.05247708,0.4743183
1.061623,0,0.3038599,1.701022,-0.00832266,5.22174,-0.2975159,0.3922772
1.076004,0,0.3043215,1.702718,0.003683683,5.176578,-0.6818542,0.2329798
1.09201,0,0.3046192,1.703997,0.01569831,5.339586,-1.047089,0.1190943
1.107208,0,0.3049754,1.705418,0.02790698,5.559556,-1.429962,0.05380547
1.122833,0,0.305234,1.706844,0.04045345,5.749197,-1.787567,0.07011583
1.136513,0,0.3055332,1.708225,0.05321981,5.8272,-2.171356,0.1425407
1.152161,0,0.3056782,1.709119,0.06619664,5.771556,-2.551117,0.2964292
1.167496,0,0.3055959,1.709584,0.07925138,5.658538,-2.94043,0.4260479
1.181999,0,0.3053948,1.70982,0.09249118,5.525963,-3.351227,0.5121053
1.196465,0,0.3048751,1.710097,0.1191399,5.280457,-4.13089,0.6413996
1.212006,0,0.3042572,1.709371,0.1328544,5.12799,-4.508911,0.7281492
1.227188,0,0.3036305,1.708444,0.1467737,5.031282,-4.917847,0.8604055
1.242722,0,0.3028346,1.707356,0.1609336,5.005143,-5.328857,0.9722189
1.25708,0,0.3020624,1.705865,0.1752033,5.016156,-5.702972,1.040097
1.271919,0,0.3011304,1.70423,0.1897038,5.042712,-5.997681,1.091118
1.286995,0,0.2999445,1.702514,0.2043736,5.113208,-6.263428,1.096615
1.302391,0,0.2985955,1.700809,0.2192151,5.147367,-6.518127,1.065251
