time,phase,posX,posY,posZ,rotX,rotY,rotZ
0,0,0.005445721,1.731365,-0.3336311,0.2182661,177.8105,0.9299769
0.01374817,0,0.005517514,1.731227,-0.333767,0.2837661,177.794,0.9685881
0.02861786,0,0.005611362,1.731064,-0.3338483,0.3724504,177.7545,0.9536402
0.04216003,0,0.005744578,1.730993,-0.3339398,0.4406072,177.7286,0.9316143
0.05735779,0,0.005886586,1.730969,-0.3341016,0.4277046,177.6929,0.877632
0.07138824,0,0.006032528,1.730973,-0.3343208,0.4207565,177.6762,0.835642
0.08548737,0,0.006166371,1.73101,-0.3345445,0.3973471,177.6338,0.8151891
0.0994339,0,0.00630671,1.731004,-0.3347287,0.4184876,177.6501,0.8190442
0.1136017,0,0.006421031,1.730965,-0.334852,0.4676341,177.6392,0.8417771
0.1281738,0,0.006550374,1.730854,-0.3349468,0.5276279,177.6462,0.8528132
0.1414261,0,0.006713452,1.730685,-0.3350416,0.6039606,177.6541,0.8830917
0.1566467,0,0.006891491,1.730491,-0.3351395,0.656929,177.6503,0.9078143
0.1709442,0,0.007041754,1.730363,-0.3351783,0.7148961,177.6348,0.9445288
0.1852875,0,0.00721428,1.730278,-0.335199,0.7733462,177.6306,0.9503027
0.1991577,0,0.007406684,1.730224,-0.3352468,0.8110544,177.606,0.9527065
0.2142639,0,0.007619025,1.730187,-0.33531,0.8416122,177.5826,0.9512323
0.2286987,0,0.007872583,1.730191,-0.3353544,0.8757887,177.5688,0.9310336
0.2422333,0,0.008115442,1.730215,-0.335361,0.9295033,177.5449,0.9428768
0.2573624,0,0.008623006,1.730268,-0.3353773,1.041102,177.487,0.9717132
0.277153,0,0.008933337,1.73029,-0.3353858,1.097742,177.4516,0.9263171
0.2915115,0,0.009273352,1.730371,-0.3353846,1.106251,177.4564,0.9131122
0.3062057,0,0.009766879,1.730649,-0.3353047,1.091332,177.4373,0.8897256
0.3202591,0,0.01004905,1.73065,-0.3352154,1.104154,177.4148,0.9228551
0.3353119,0,0.01045951,1.73058,-0.3351102,1.11783,177.3964,0.9296448
0.3497391,0,0.01079521,1.730401,-0.33505,1.15073,177.3908,0.9140964
0.3644943,0,0.01124987,1.730399,-0.3349505,1.237537,177.4376,0.9007313
0.3780518,0,0.01159352,1.73036,-0.3348527,1.326281,177.457,0.8822675
0.3933563,0,0.01197538,1.730314,-0.3347703,1.413622,177.5024,0.8609971
0.4081879,0,0.01231477,1.730163,-0.3346662,1.528736,177.5728,0.8251325
0.4221191,0,0.01259488,1.73007,-0.3345283,1.626458,177.6741,0.7487123
0.4374619,0,0.01271352,1.729971,-0.3342932,1.775831,177.8899,0.6012466
