time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  44.091840,   8.119157,   0.181101,85,   0.003411, 170.066816,   9.744963,7,1,2204
  68.140000,  14.194274,   0.231256,127,   0.004037, 166.290385,   9.458080,16,0,3406
  28.860000,   9.754978,   0.183421,58,   0.004858, 171.313335,   7.611318,6,0,1442
  18.720000,   7.947772,   0.058266,36,   0.004184, 174.645257,   4.674543,0,0,935
  20.400000,   7.738675,   0.126214,46,   0.003160, 172.995125,   5.014361,3,0,1019
  33.000000,  10.844387,   0.138087,68,   0.005159, 172.026610,   7.981624,5,0,1649
  13.460000,   7.249531,   0.073268,30,   0.003055, 177.634819,   1.392648,0,0,672
  20.420000,   8.162249,   0.083245,38,   0.004287, 175.587761,   2.906834,1,0,1020
  15.220000,   8.211532,   0.112278,27,   0.005389, 175.625440,   4.536635,1,0,760
