InteractionNumber,ElapsedTime,SplitTime,missCount
-0.435725,-0.1160357,0.1379294,16.14211,354.6956,4.240874
-0.2634076,-0.05574185,0.1012472,3.543167,13.85756,358.2131
-0.1472429,-0.02817246,0.06888272,358.437,23.97818,357.1955
-0.07261853,-0.01308415,0.05942784,356.5324,25.15539,356.6915
-0.04908823,-0.01618817,0.07196048,359.8646,22.10406,356.622
-0.05816104,-0.01460305,0.09380545,1.505937,15.4145,359.0509
-0.09882545,-0.0246502,0.1285726,3.051998,6.582467,1.228073
-0.1582935,-0.04049148,0.175896,3.240026,4.186158,2.232286
-0.2341529,-0.05646858,0.2379645,2.512082,3.366284,3.885468
-0.26955,-0.05132888,0.288748,6.258018,4.835289,2.765021
-0.2796408,-0.03311681,0.3227744,7.187387,7.304582,3.233901
-0.2779873,-0.02347829,0.3302078,5.987759,12.06874,2.264157
-0.2778992,-0.01524181,0.3164838,2.930186,12.07056,2.960949
-0.2856449,-0.002822863,0.2785113,358.0863,16.8052,359.0979
-0.2981711,0.01597542,0.2294997,348.6315,27.28508,355.0696
-0.3014808,0.02352359,0.1709092,347.4927,46.73644,353.261
-0.2909111,0.02322819,0.1270912,347.8508,62.1167,352.4756
-0.2690761,0.01753342,0.07548891,348.1151,73.85561,352.2504
-0.240441,0.009889677,0.0367881,348.7866,78.85662,352.2369
-0.2032476,0.005412316,-0.006111791,349.0749,85.87196,350.9161
-0.1821427,2.917368E-06,-0.03768982,351.2839,92.24128,351.7851
-0.1792962,0.009832847,-0.0201127,349.1136,70.07226,354.7468
-0.2353647,0.003936891,0.01192882,350.0698,15.3289,3.608126
-0.2914435,-0.01332479,-0.01570987,358.2061,327.7061,6.321413
-0.3084253,-0.02598534,-0.0491764,4.092154,298.2759,4.871197
-0.3110995,-0.03647957,-0.05545921,8.674145,285.5287,2.751015
-0.3117932,-0.05131157,-0.04593556,13.88616,280.93,357.5927
-0.3180026,-0.07905431,-0.01706274,25.678,285.1443,352.3281
-0.3448678,-0.1070784,0.03312957,32.58853,295.2026,354.1039
-0.4033909,-0.135259,0.1020259,32.96889,303.6966,356.4339
-0.4855729,-0.1775998,0.1821787,32.84185,305.3466,356.6675
-0.5634777,-0.2163683,0.2594211,27.19147,308.6035,357.7191
-0.6322889,-0.2699675,0.3227108,21.66097,309.6021,357.0306
-0.6750323,-0.304318,0.3631119,20.02248,310.1139,355.9494
-0.6989102,-0.3147354,0.3890658,26.93111,310.0288,356.4949
