InteractionNumber,ElapsedTime,SplitTime,missCount
-0.1863517,-0.02469339,-0.02062127,3.007843,320.4726,6.990008
-0.1256426,-0.02449765,0.01460603,6.036739,334.9633,4.353061
-0.07042532,-0.0296217,0.04161146,9.876303,348.9613,2.130698
-0.002146311,-0.03869471,0.06916509,15.73691,3.33945,0.8576814
0.0469727,-0.04878033,0.08340796,21.29797,12.60884,0.4154978
0.08096915,-0.05627778,0.08982942,24.0101,20.22544,1.010596
0.10141,-0.0606127,0.09238208,25.61983,26.02983,1.753983
0.1145998,-0.06446383,0.09419634,26.7142,30.97944,2.29688
0.1272386,-0.06849033,0.1016368,27.25163,34.41059,2.114601
0.1648241,-0.07625281,0.121919,29.0327,38.69139,2.097363
0.2377822,-0.09111907,0.164105,30.59763,42.33524,1.961189
0.3023417,-0.1130704,0.2071329,29.72951,42.84127,2.412033
0.3859325,-0.1583962,0.2678831,25.83035,42.29255,1.843577
0.45461,-0.2194792,0.3298275,24.2692,39.59424,359.4249
0.4681909,-0.2389399,0.3543685,27.59414,37.64605,359.3208
0.4440075,-0.2295878,0.3865146,30.33571,25.11889,356.7722
0.3633264,-0.1735364,0.3919728,20.41603,355.484,347.7426
0.2557123,-0.102405,0.3432529,6.567283,326.2757,346.4927
0.1819852,-0.06229482,0.2832301,1.154533,309.5867,349.8271
0.1191207,-0.03330379,0.2097309,356.3386,293.9284,357.236
0.07238521,-0.01665624,0.1500834,354.6723,284.6785,359.7899
0.03108903,-0.00818984,0.1153826,351.7707,285.7517,0.5611663
-0.02634919,0.00873398,0.08753703,348.5962,293.7893,0.1226289
-0.07087501,0.0173475,0.07744524,347.2742,300.0164,359.7868
-0.1178855,0.0260902,0.08130132,345.1657,307.6679,357.4805
-0.1470584,0.03122032,0.08864982,344.1311,314.5599,355.6846
-0.1736518,0.03206426,0.1019348,341.1816,320.288,354.1758
-0.2054566,0.02640197,0.1212906,341.1632,326.0196,353.8562
-0.2420439,0.01490982,0.1432307,340.3394,328.664,355.233
-0.2801958,0.0006921699,0.1615204,341.101,327.4611,358.7773
-0.30795,-0.008916395,0.1768558,342.5771,328.3417,359.8132
-0.3231908,-0.01297658,0.1833481,343.1152,327.9452,2.002016
-0.3294959,-0.01028283,0.1894598,343.0966,329.2701,2.465532
-0.3393177,-0.00864473,0.1966922,341.7915,329.8469,5.312118
-0.3457384,-0.004705561,0.2020607,341.4569,330.3909,6.708724
-0.3431342,0.006253703,0.2061022,342.0218,331.6024,6.553689
-0.3395723,0.01367305,0.2032687,342.8272,331.2041,5.426987
-0.3361805,0.0147135,0.199844,344.2899,329.5323,3.882677
-0.3364349,0.0178824,0.1980989,343.8823,329.7563,2.354946
-0.3393745,0.01314918,0.1998294,343.9983,330.5497,1.7458
