InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
3.635674,0.2328939,-0.07636887,0.06762683,3.541776,16.80105,359.043,-0.2328939,1.423631,9.782373,-0.08002692,1.000533,9.627689,-0.7045428,1.220131,9.729738
3.736103,0.2527485,-0.0794108,0.07303489,2.741528,19.07224,358.8579,-0.2527485,1.420589,9.776965,-0.09544592,1.007474,9.617173,-0.7358142,1.211869,9.774998
3.836914,0.2693894,-0.08280455,0.07552919,2.44357,20.55236,358.8198,-0.2693894,1.417195,9.774471,-0.09855083,1.008567,9.604298,-0.7346885,1.235003,9.763093
3.948372,0.2844677,-0.08438458,0.07523721,1.75715,19.71063,358.5415,-0.2844677,1.415615,9.774763,-0.1031964,1.015403,9.596603,-0.7208186,1.394395,9.632857
4.06102,0.288104,-0.07984332,0.07855009,1.385503,18.4104,358.115,-0.288104,1.420157,9.77145,-0.10381,1.024016,9.593655,-0.6305221,1.464002,9.481809
4.168079,0.2808185,-0.07761437,0.08597559,0.5005596,15.95656,358.242,-0.2808185,1.422386,9.764025,-0.09890695,1.030353,9.596707,-0.5331516,1.42577,9.434548
4.273094,0.259956,-0.07662243,0.09704924,359.9466,8.50136,358.0287,-0.259956,1.423378,9.752951,-0.08530515,1.033937,9.60389,-0.4800816,1.368129,9.42207
4.373184,0.2333443,-0.06944174,0.1034619,358.678,358.9885,358.2569,-0.2333443,1.430558,9.746538,-0.0673929,1.033485,9.61493,-0.4263471,1.317963,9.437567
4.480194,0.2048385,-0.0633169,0.1026623,358.473,349.6494,357.8059,-0.2048385,1.436683,9.747337,-0.04431551,1.037114,9.628673,-0.3736933,1.269693,9.460048
4.586243,0.176361,-0.05787167,0.09481972,357.6117,340.7948,358.6676,-0.176361,1.442128,9.75518,-0.01949262,1.049868,9.64211,-0.3128602,1.233684,9.477574
4.686413,0.1566698,-0.05455287,0.08422151,357.6219,335.9181,358.7206,-0.1566698,1.445447,9.765779,-0.00228308,1.074993,9.653954,-0.2614658,1.235041,9.495578
4.786732,0.141366,-0.05151494,0.0718626,357.7664,333.1603,359.0092,-0.141366,1.448485,9.778137,0.0176784,1.096497,9.663992,-0.2078258,1.246997,9.515345
4.887196,0.1325228,-0.04698515,0.06082747,358.1829,333.8718,358.7937,-0.1325228,1.453015,9.789172,0.03512351,1.111776,9.674733,-0.1548016,1.248906,9.531352
4.999027,0.1298906,-0.04251773,0.05108421,358.7389,338.5692,358.295,-0.1298906,1.457482,9.798916,0.05112455,1.117383,9.680358,-0.1074589,1.231431,9.551997
5.099285,0.1325087,-0.04109113,0.04471754,359.5639,345.8435,357.9529,-0.1325087,1.458909,9.805283,0.05915966,1.122601,9.685951,-0.09194641,1.220744,9.561215
5.199795,0.1399204,-0.04363015,0.03849224,1.565369,356.287,358.9658,-0.1399204,1.45637,9.811508,0.05985565,1.122038,9.690114,-0.1079801,1.23691,9.557883
5.312065,0.1497628,-0.04695529,0.02847601,3.623414,8.952532,0.4288564,-0.1497628,1.453045,9.821524,0.05234443,1.115738,9.687376,-0.150498,1.262742,9.551941
5.431828,0.1559101,-0.04761134,0.01644193,4.654215,18.60475,1.611484,-0.1559101,1.452389,9.833558,0.03607167,1.11354,9.68022,-0.1965502,1.276506,9.551737
5.536602,0.1581114,-0.05087633,0.005995141,6.458716,24.7034,2.61908,-0.1581114,1.449124,9.844005,0.0180099,1.114505,9.674113,-0.2391712,1.281783,9.559962
5.637066,0.1594652,-0.05405793,-0.0007444727,8.059801,28.17856,3.13314,-0.1594652,1.445942,9.850744,0.003882861,1.113446,9.671105,-0.2730277,1.279891,9.573418
5.743183,0.1618636,-0.05510642,-0.005941374,8.556737,31.72937,3.223089,-0.1618636,1.444894,9.855942,-0.008419782,1.10767,9.669665,-0.2950827,1.26621,9.588316
5.849007,0.1641779,-0.05448058,-0.0095417,7.925014,34.78504,3.154745,-0.1641779,1.445519,9.859542,-0.01920187,1.096709,9.666165,-0.3151697,1.237218,9.60465
5.96162,0.1634822,-0.05269892,-0.009306001,6.73802,35.25859,2.298812,-0.1634822,1.447301,9.859306,-0.02988093,1.091861,9.66188,-0.335635,1.203704,9.62028
