Interval,5
FlyingTime,4
Distance,10
Radius,0.2
Gravity,0
InteractionNumber,touched
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,1

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
0.1131821,-0.127717,0.00939103,-0.03976693,353.1505,182.9891,0.2350903,0.127717,1.509391,9.889767,0.01413194,1.118134,10.06627,0.2194142,1.079559,10.04321
0.2132263,-0.1249555,0.008103162,-0.04123419,353.8712,182.8867,0.3451791,0.1249555,1.508103,9.891234,0.01453514,1.117555,10.06431,0.2143103,1.073334,10.04552
0.3249969,-0.122098,0.006437616,-0.0409447,354.7807,182.5218,0.6872552,0.122098,1.506438,9.890944,0.01378386,1.120597,10.06192,0.2065172,1.069411,10.04829
0.4374847,-0.1200352,0.005805765,-0.03910068,355.1967,182.4187,0.9309377,0.1200352,1.505806,9.889101,0.01223819,1.122056,10.06151,0.2047395,1.074097,10.05457
0.5379181,-0.1183533,0.007049027,-0.03696527,354.4505,182.2743,0.9552417,0.1183533,1.507049,9.886965,0.01034148,1.123058,10.06023,0.2098286,1.08349,10.05829
0.6502991,-0.1187625,0.007902438,-0.03437792,353.9797,183.4938,0.8528486,0.1187625,1.507902,9.884377,0.008014034,1.122192,10.05858,0.2117192,1.083947,10.05841
0.7621918,-0.1219428,0.007434903,-0.03150824,354.3079,186.2576,0.6812211,0.1219428,1.507435,9.881508,0.007381978,1.121013,10.05578,0.2079249,1.078687,10.05389
0.862793,-0.1266447,0.00751095,-0.02856159,354.3308,189.8201,0.6303799,0.1266447,1.507511,9.878562,0.008062739,1.120363,10.0535,0.2050078,1.075852,10.04881
0.9750595,-0.1293802,0.008357289,-0.02558774,353.7904,191.6975,0.4138011,0.1293802,1.508357,9.875587,0.01211985,1.11988,10.05246,0.205485,1.074818,10.04239
1.087524,-0.1293958,0.009014932,-0.02346509,353.4648,191.354,0.146821,0.1293958,1.509015,9.873466,0.02056769,1.119519,10.05175,0.2138843,1.072982,10.03655
1.187851,-0.1301113,0.009278059,-0.02192398,353.3698,191.3321,359.9321,0.1301113,1.509278,9.871924,0.02569973,1.119186,10.05006,0.2233871,1.069769,10.03195
1.299652,-0.1324231,0.008956189,-0.02009527,353.5832,191.4435,0.1443597,0.1324231,1.508956,9.870095,0.02945479,1.116769,10.04813,0.2336504,1.067683,10.02612
1.399826,-0.1357882,0.008264961,-0.01828103,353.8223,191.3668,0.4296564,0.1357882,1.508265,9.868281,0.03405901,1.114894,10.04617,0.2415483,1.066142,10.02033
1.512711,-0.1409477,0.007581063,-0.01534306,354.1431,191.6082,0.5539113,0.1409477,1.507581,9.865343,0.04191656,1.11386,10.04369,0.2463517,1.063596,10.0138
1.612755,-0.1462636,0.006987111,-0.0112828,354.2141,192.4427,0.5643335,0.1462636,1.506987,9.861282,0.0508569,1.112842,10.04054,0.250673,1.061183,10.00766
1.724678,-0.1527738,0.006307508,-0.005116321,354.5242,194.7007,0.6606792,0.1527738,1.506307,9.855116,0.06065157,1.111423,10.03562,0.2558458,1.059877,10.00089
1.824944,-0.1566021,0.004727426,0.001775545,354.8661,196.7556,0.4451731,0.1566021,1.504727,9.848225,0.06653708,1.111017,10.03056,0.260631,1.060524,9.992837
1.92569,-0.1554636,0.00456317,0.008409839,354.9116,197.5308,0.08673238,0.1554636,1.504563,9.84159,0.06994431,1.111136,10.02693,0.2633752,1.061157,9.984599
2.037857,-0.1488609,0.004573227,0.01402813,354.5342,197.5552,359.8981,0.1488609,1.504573,9.835972,0.06828555,1.1135,10.02466,0.2599517,1.059297,9.978591
2.150368,-0.1391549,0.004054734,0.0177237,354.5843,197.6785,359.7643,0.1391549,1.504055,9.832276,0.06001344,1.113609,10.02289,0.2492702,1.058367,9.972826
2.250374,-0.1288962,0.002923833,0.01968095,354.9276,197.2729,359.6274,0.1288962,1.502924,9.830319,0.04570024,1.115007,10.02165,0.2370893,1.057151,9.96949
2.350639,-0.1138746,-0.002613011,0.02064445,354.322,196.5877,0.06619573,0.1138746,1.497387,9.829355,0.02680732,1.113384,10.01918,0.222129,1.053103,9.968437
2.462578,-0.07765445,-0.007287894,0.02117435,354.8316,196.6952,359.4253,0.07765445,1.492712,9.828826,-0.001611978,1.103477,10.0112,0.2053761,1.045705,9.973826
2.575768,-0.02298556,-0.01423464,0.02132432,354.6212,196.4938,0.5595981,0.02298556,1.485765,9.828675,-0.04712583,1.097399,9.98961,0.1763138,1.052264,9.970445
2.675934,0.02936801,-0.01598872,0.02178819,354.3745,196.1665,359.943,-0.02936801,1.484011,9.828212,-0.1084853,1.080809,9.951112,0.1337196,1.042381,9.965282
2.77607,0.07557075,-0.01422741,0.02724725,354.8092,194.8122,359.7874,-0.07557075,1.485773,9.822753,-0.1915653,1.067975,9.906456,0.08870376,1.034922,9.960552
2.887779,0.1153044,-0.008885288,0.04108853,355.2876,193.836,0.03822561,-0.1153044,1.491115,9.808911,-0.2818199,1.052737,9.870401,0.03955203,1.050042,9.95264
2.999702,0.1412165,-0.01290858,0.06073685,355.4243,193.5785,1.482083,-0.1412165,1.487091,9.789263,-0.3751904,1.022874,9.861657,0.005871912,1.058873,9.943512
3.112877,0.1570141,-0.01403575,0.07953917,355.7326,193.2196,2.355072,-0.1570141,1.485964,9.770461,-0.4527014,1.057076,9.905071,-0.01466208,1.055872,9.92659
3.213516,0.1713192,-0.01607873,0.09329061,356.6523,192.476,2.332116,-0.1713192,1.483921,9.756709,-0.4392704,1.112119,9.911055,-0.02481526,1.056837,9.914189
3.325142,0.1913289,-0.0233606,0.1056008,357.2137,191.625,2.63095,-0.1913289,1.476639,9.744399,-0.4101303,1.126757,9.918577,0.0239318,1.160087,9.906853
3.43779,0.2097654,-0.02645399,0.1112731,357.2745,190.7457,2.926694,-0.2097654,1.473546,9.738727,-0.4392481,1.155909,9.921218,0.07153797,1.284365,9.83578
