InteractionNumber,touched
0,1
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
3.613823,0.1430667,-0.01488296,-0.03749114,356.2045,29.81722,2.473125,-0.1430667,1.485117,9.887491,-0.03073253,1.122482,9.694694,-0.5884264,1.222816,9.775771
3.724758,0.1202201,-0.01472018,-0.04291193,354.7558,29.81345,3.599868,-0.1202201,1.48528,9.892912,-0.02101274,1.118035,9.699492,-0.520918,1.156728,9.769637
3.837402,0.08864425,-0.0166223,-0.04469041,355.9739,25.8598,6.595757,-0.08864425,1.483378,9.894691,-0.004066305,1.113458,9.705779,-0.4429043,1.105434,9.768345
3.937656,0.05583771,-0.01954455,-0.04403853,357.3193,17.68825,6.822032,-0.05583771,1.480455,9.894038,0.01351665,1.111755,9.709874,-0.3733917,1.069817,9.769259
4.049717,0.02379162,-0.02184938,-0.04419858,358.4736,8.374465,6.615089,-0.02379162,1.478151,9.894198,0.05293186,1.126992,9.704188,-0.3205125,1.042364,9.769817
4.150314,0.003374036,-0.022835,-0.04517983,358.731,3.125752,6.128149,-0.003374036,1.477165,9.89518,0.1129437,1.148801,9.691811,-0.2899644,1.025955,9.767804
4.261883,-0.005230657,-0.02249336,-0.04542625,358.5041,3.618824,6.184478,0.005230657,1.477507,9.895426,0.1606439,1.161564,9.694801,-0.269905,1.017876,9.763385
4.361942,-0.006811067,-0.02141791,-0.04472007,358.1224,4.944997,5.729687,0.006811067,1.478582,9.89472,0.1706162,1.153584,9.696665,-0.2745163,1.042588,9.752734
4.461941,-0.0103968,-0.02180364,-0.04313875,358.2721,3.840905,4.744961,0.0103968,1.478196,9.893139,0.191465,1.156989,9.689198,-0.2846748,1.070631,9.745571
4.563408,-0.01669622,-0.02290048,-0.03970574,358.5728,0.4925471,4.780742,0.01669622,1.4771,9.889706,0.2123521,1.180121,9.681827,-0.2771896,1.079396,9.741619
4.675133,-0.02616888,-0.02396122,-0.03519542,359.0664,355.3144,4.70608,0.02616888,1.476039,9.885196,0.2368992,1.220786,9.682041,-0.22236,1.081659,9.745285
4.786938,-0.03274434,-0.02551352,-0.03072849,359.7189,352.2424,4.701973,0.03274434,1.474486,9.880729,0.3439637,1.244822,9.693965,-0.1851576,1.07305,9.737181
4.899719,-0.03755866,-0.02627252,-0.02355091,359.7444,351.7882,4.060315,0.03755866,1.473727,9.873551,0.3633415,1.237946,9.682598,-0.2026559,1.072052,9.706366
5.012241,-0.03860075,-0.03107613,-0.01466623,0.7483506,353.7155,1.978627,0.03860075,1.468924,9.864666,0.2728337,1.199793,9.653521,-0.4146068,1.141947,9.64784
5.112701,-0.03636804,-0.03559948,-0.00516746,1.599059,357.4023,0.2935455,0.03636804,1.464401,9.855167,0.196631,1.151354,9.669078,-0.5539527,1.173502,9.667752
5.224789,-0.03988134,-0.03679063,0.006142214,0.475951,357.039,1.359681,0.03988134,1.463209,9.843858,0.1651591,1.115617,9.680202,-0.4920903,1.211866,9.67194
5.325401,-0.04248866,-0.03626676,0.009516738,0.603302,355.5308,1.5387,0.04248866,1.463733,9.840484,0.1722975,1.101209,9.675499,-0.4133185,1.173754,9.66229
5.436794,-0.04506924,-0.03167263,0.007667595,359.0077,353.2279,1.41535,0.04506924,1.468327,9.842333,0.187425,1.102694,9.673119,-0.3538151,1.106922,9.661736
5.538399,-0.04745783,-0.02919266,0.005378041,357.9923,350.496,1.668911,0.04745783,1.470807,9.844622,0.2113133,1.108627,9.67308,-0.3029078,1.048188,9.661306
5.649784,-0.05182779,-0.02822642,0.001973601,357.6692,345.7585,1.273389,0.05182779,1.471774,9.848026,0.2232271,1.117246,9.685106,-0.2515668,1.009592,9.663714
5.761368,-0.05232818,-0.02812408,-0.002691003,358.1205,343.1269,0.2262777,0.05232818,1.471876,9.852691,0.2258859,1.114459,9.697687,-0.2147811,1.007091,9.648908
5.874317,-0.04676731,-0.02918743,-0.007183722,358.9355,344.4608,0.03175591,0.04676731,1.470813,9.857183,0.2292994,1.111148,9.708234,-0.195439,1.045052,9.624834
5.974335,-0.03801559,-0.03355616,-0.01028266,1.370077,347.8816,359.6797,0.03801559,1.466444,9.860283,0.2232361,1.109451,9.714323,-0.1640332,1.093609,9.602566
6.074711,-0.03183875,-0.03701047,-0.01448121,3.473082,349.5475,358.7654,0.03183875,1.46299,9.864481,0.212398,1.110186,9.721101,-0.1084701,1.163447,9.586706
6.186646,-0.02961012,-0.03686538,-0.02119558,3.942201,349.2758,358.0266,0.02961012,1.463135,9.871196,0.2055154,1.112155,9.73273,-0.04016264,1.238065,9.584329
6.299797,-0.03198969,-0.03463028,-0.02963222,3.300094,347.441,358.165,0.03198969,1.46537,9.879632,0.2067353,1.1138,9.751077,0.02268792,1.285629,9.601092
6.412315,-0.03688511,-0.03146723,-0.03909249,2.533045,344.4899,358.8823,0.03688511,1.468533,9.889092,0.2328555,1.128431,9.768641,0.06770021,1.287305,9.623119
6.512478,-0.03986654,-0.02944939,-0.04783081,1.953871,342.2172,359.6664,0.03986654,1.470551,9.897831,0.3018074,1.172852,9.782713,0.0853176,1.262336,9.64022
6.624268,-0.03965202,-0.02796681,-0.05568098,1.29456,341.5564,0.4102782,0.03965202,1.472033,9.905681,0.3598107,1.216062,9.814849,0.0753762,1.220911,9.647215
6.73737,-0.03034156,-0.02653718,-0.0597829,0.6901578,345.992,0.9294205,0.03034156,1.473463,9.909783,0.3490645,1.20553,9.812288,0.03835193,1.175907,9.650296
6.848835,-0.01423408,-0.02696212,-0.06269987,0.4495876,354.7188,1.073438,0.01423408,1.473038,9.9127,0.3010321,1.166758,9.784876,-0.01593179,1.137205,9.654591
6.950363,-0.0001849681,-0.02698006,-0.06682543,359.7345,2.591739,1.354339,0.0001849681,1.47302,9.916825,0.2443854,1.139215,9.763819,-0.06815995,1.11763,9.667317
7.062046,0.0137304,-0.02602903,-0.07408983,358.7428,9.933178,2.151653,-0.0137304,1.473971,9.924089,0.1866494,1.126925,9.747809,-0.1245701,1.11843,9.685183
7.17403,0.02645889,-0.02568178,-0.08285514,358.0529,15.58301,2.379328,-0.02645889,1.474318,9.932856,0.1403358,1.125409,9.739219,-0.171156,1.136229,9.703264
7.274708,0.03532308,-0.02638639,-0.09030015,357.6938,18.69137,2.143247,-0.03532308,1.473614,9.9403,0.1149955,1.124959,9.735859,-0.2089821,1.155684,9.717341
7.385654,0.04486491,-0.02619759,-0.09750514,357.0422,21.542,1.860598,-0.04486491,1.473802,9.947505,0.09535544,1.124315,9.734523,-0.2510169,1.170061,9.732247
7.485806,0.06047406,-0.02949159,-0.1025876,356.4203,24.74664,1.144298,-0.06047406,1.470508,9.952587,0.07934529,1.123093,9.730772,-0.3391804,1.202742,9.751863
7.585873,0.09486617,-0.03218533,-0.1040788,355.1148,26.6802,2.81368,-0.09486617,1.467815,9.954079,0.06476854,1.124382,9.728799,-0.5438983,1.247012,9.829276
7.686474,0.1482335,-0.03987584,-0.1030261,354.8387,26.20577,3.569426,-0.1482335,1.460124,9.953026,0.03518606,1.12165,9.732613,-0.7520285,1.196778,9.923637
7.797913,0.2199989,-0.05088222,-0.09535603,353.9264,21.4076,3.840779,-0.2199989,1.449118,9.945356,-0.01768371,1.11252,9.731515,-0.8771199,1.132973,9.942332
7.898792,0.2742673,-0.06485106,-0.08889833,355.414,16.85068,3.142818,-0.2742673,1.435149,9.938898,-0.05395249,1.107172,9.726319,-0.9040384,1.122936,9.901896
7.999023,0.3069695,-0.06021326,-0.08488026,356.5119,13.13168,2.396013,-0.3069695,1.439787,9.93488,-0.08521254,1.108701,9.72653,-0.8759543,1.120014,9.830513
8.111099,0.3199535,-0.05054636,-0.08284774,356.5987,8.785041,2.964202,-0.3199535,1.449454,9.932848,-0.09628315,1.120892,9.73895,-0.7766327,1.121452,9.759894
8.211674,0.3144094,-0.04812422,-0.08293724,356.4212,4.03666,3.033669,-0.3144094,1.451876,9.932938,-0.08729786,1.123858,9.750547,-0.6767561,1.118418,9.721259
8.31176,0.2980147,-0.04859511,-0.08485827,356.2841,0.4257752,2.877188,-0.2980147,1.451405,9.934858,-0.06061194,1.122396,9.761244,-0.5782617,1.1178,9.709888
