InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,0
50,0
51,1

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
3.511831,0.03819232,-0.06401242,0.01939519,1.621642,323.9968,4.6796,-0.03819232,1.435988,9.830605,0.4135104,1.039558,9.740047,-0.3205369,1.017869,9.565309
3.612169,-0.03874507,-0.1102056,0.03073399,3.643214,320.5246,5.21862,0.03874507,1.389794,9.819266,0.5495508,0.8905228,9.782315,-0.2910589,0.9263742,9.601189
3.713291,-0.1444494,-0.1635731,0.04533049,3.407317,318.6933,5.182498,0.1444494,1.336427,9.804669,0.6526138,0.8018072,9.837668,-0.2621544,0.8520992,9.642082
3.813565,-0.266042,-0.217157,0.0577924,2.778959,317.9199,3.974185,0.266042,1.282843,9.792208,0.7880856,0.7861068,9.868053,-0.212167,0.8158026,9.676472
3.923053,-0.3879646,-0.269576,0.06512662,2.147671,316.8178,1.832341,0.3879646,1.230424,9.784873,0.9406089,0.7221196,9.90915,-0.1354668,0.8093243,9.681889
4.02371,-0.4569696,-0.3095587,0.07680042,1.185271,322.6012,5.469534,0.4569696,1.190441,9.7732,1.036818,0.717954,9.872108,-0.05419773,0.8202584,9.670982
4.123813,-0.451856,-0.2976788,0.08984228,2.916554,351.7752,9.49473,0.451856,1.202321,9.760158,1.005926,0.7605945,9.664806,0.005086098,0.8163733,9.656777
4.22455,-0.4165494,-0.2457936,0.08259036,354.8727,13.80729,10.92212,0.4165494,1.254206,9.767409,0.86541,0.7972987,9.571159,0.05458398,0.8311113,9.647757
4.336514,-0.371943,-0.1881303,0.07336912,352.3611,20.45032,9.128046,0.371943,1.31187,9.77663,0.7319939,0.8977412,9.562508,0.07872458,0.867842,9.64022
4.448891,-0.3033221,-0.1400922,0.0724718,352.1595,20.57673,7.10361,0.3033221,1.359908,9.777528,0.6213871,0.9749571,9.599195,0.05797004,0.9224421,9.643577
4.56095,-0.2022926,-0.1209159,0.07328496,352.4717,22.93996,4.004206,0.2022926,1.379084,9.776715,0.537879,0.9977083,9.623032,-0.02717904,0.9424472,9.647425
4.661572,-0.09415387,-0.1294287,0.07995886,353.0602,25.7347,2.677001,0.09415387,1.370571,9.770041,0.476434,1.028708,9.639909,-0.1395469,0.9468347,9.624813
4.773005,0.02895847,-0.1559453,0.09816754,353.574,23.86544,3.6515,-0.02895847,1.344055,9.751832,0.3755887,1.061414,9.653708,-0.2156797,1.000966,9.550648
4.873987,0.10163,-0.1462778,0.09971249,357.4248,22.17974,3.699053,-0.10163,1.353722,9.750287,0.2695276,1.079756,9.655629,-0.2200889,1.162312,9.463584
4.974019,0.1373378,-0.1065557,0.08829357,357.0205,21.51646,2.574196,-0.1373378,1.393444,9.761706,0.2034191,1.106199,9.656533,-0.3066392,1.299091,9.35926
5.086456,0.1464233,-0.06360351,0.07120439,355.7269,22.27349,2.131717,-0.1464233,1.436396,9.778795,0.1660137,1.143056,9.677104,-0.3113842,1.281304,9.430593
5.186836,0.135289,-0.0508287,0.05170228,354.4984,22.72729,2.33054,-0.135289,1.449171,9.798298,0.1731724,1.157866,9.692246,-0.3106224,1.212662,9.519238
5.299923,0.1199637,-0.06372898,0.03073841,353.7913,23.64954,2.99768,-0.1199637,1.436271,9.819262,0.1985097,1.155845,9.69692,-0.3091691,1.146379,9.598644
5.411984,0.1218287,-0.0556986,0.01438434,355.9096,25.9557,1.384711,-0.1218287,1.444301,9.835616,0.2125263,1.156819,9.673183,-0.3535684,1.232669,9.689015
5.521775,0.1415082,-0.05420289,0.01074319,355.5709,27.46268,1.070995,-0.1415082,1.445797,9.839257,0.1800343,1.184041,9.670305,-0.3951812,1.298221,9.722433
5.633768,0.1742115,-0.06034166,0.01498026,355.3733,29.05757,1.911155,-0.1742115,1.439658,9.83502,0.137183,1.17862,9.65387,-0.4424241,1.339717,9.712016
5.745814,0.2221152,-0.05995235,0.02510251,354.9244,28.48455,3.894573,-0.2221152,1.440048,9.824898,0.09400179,1.171954,9.651802,-0.5247362,1.424598,9.692092
5.846077,0.2707413,-0.04345182,0.041801,354.0876,25.63951,4.51577,-0.2707413,1.456548,9.808199,0.06178825,1.177917,9.658751,-0.5760672,1.547414,9.718744
5.946346,0.3039631,-0.02213163,0.0595272,354.8559,19.48711,4.301345,-0.3039631,1.477868,9.790473,0.02591113,1.190837,9.664391,-0.6683126,1.644935,9.652039
6.047318,0.3215203,-0.007878521,0.0676031,356.9467,14.05609,4.209787,-0.3215203,1.492121,9.782397,-0.002956081,1.203465,9.66284,-0.7683091,1.627873,9.513988
6.158686,0.328767,-0.00337949,0.06645574,357.493,11.3615,3.671293,-0.328767,1.496621,9.783545,-0.02268584,1.206133,9.66322,-0.7188122,1.507823,9.497328
6.259106,0.3283848,-0.02037463,0.06123322,357.5593,11.5773,1.79781,-0.3283848,1.479625,9.788767,-0.0210591,1.193524,9.651711,-0.6374593,1.350492,9.506694
6.371796,0.3339219,-0.04775402,0.06286839,357.2325,13.77786,1.965868,-0.3339219,1.452246,9.787131,-0.0201961,1.175684,9.642039,-0.6382105,1.218043,9.548834
6.472108,0.3558333,-0.06298181,0.07593636,358.5604,14.09281,1.739742,-0.3558333,1.437018,9.774064,-0.02146783,1.165658,9.646149,-0.6654056,1.209957,9.615258
6.572909,0.383327,-0.06797814,0.09662104,358.2864,15.09859,0.8744695,-0.383327,1.432022,9.753379,-0.02585478,1.158234,9.634777,-0.6506817,1.267029,9.598085
6.684596,0.3998398,-0.06575491,0.1174044,358.4918,14.11902,1.295537,-0.3998398,1.434245,9.732595,-0.06211794,1.159642,9.619365,-0.6463072,1.372815,9.467599
6.785144,0.3987825,-0.05000858,0.1267442,358.5081,15.19556,2.961284,-0.3987825,1.449991,9.723256,-0.09070577,1.156953,9.608637,-0.5974854,1.373667,9.305211
6.896735,0.3733369,-0.05234707,0.1415122,357.2313,16.23713,3.651296,-0.3733369,1.447653,9.708488,-0.07353777,1.139982,9.58986,-0.4988852,1.281487,9.313974
6.99685,0.3284557,-0.1059092,0.1615484,355.8878,14.25551,5.819568,-0.3284557,1.394091,9.688452,-0.01266903,1.095852,9.579896,-0.4404383,1.143733,9.333703
7.109542,0.2394258,-0.1779042,0.1850934,357.5427,12.87588,7.182562,-0.2394258,1.322096,9.664907,0.08880827,0.994067,9.571288,-0.388682,0.9710182,9.363294
7.209676,0.1087894,-0.2181052,0.2009946,358.0677,13.74687,8.597201,-0.1087894,1.281895,9.649005,0.1852161,0.9057238,9.557088,-0.3260658,0.8616389,9.415276
7.310664,-0.03722477,-0.2390542,0.2122271,358.0033,15.84384,5.342114,0.03722477,1.260946,9.637773,0.2490712,0.8426179,9.522925,-0.2263588,0.8131284,9.481892
7.422673,-0.1580543,-0.2512142,0.2227439,357.8707,14.91978,7.206489,0.1580543,1.248786,9.627256,0.3751478,0.8687909,9.485806,-0.1132478,0.7721332,9.545475
7.522998,-0.2218207,-0.2598702,0.232629,358.2957,14.07084,9.394509,0.2218207,1.24013,9.617371,0.3844903,0.8748729,9.4447,-0.06860366,0.7529365,9.595997
7.623054,-0.2456818,-0.2423995,0.2318177,1.68101,7.095166,7.888144,0.2456818,1.257601,9.618182,0.3864818,0.8652477,9.435793,-0.05872315,0.7286873,9.668258
7.7349,-0.2359993,-0.2185464,0.2176001,0.5363115,355.6034,5.27084,0.2359993,1.281454,9.6324,0.4636593,0.8789343,9.394465,-0.08822861,0.7431765,9.714971
7.835099,-0.2062107,-0.2081923,0.1927173,1.262793,340.173,3.958991,0.2062107,1.291808,9.657283,0.4923272,0.9529359,9.295617,-0.1291404,0.7384351,9.726049
7.948153,-0.1646068,-0.1931377,0.1761716,358.791,331.436,3.220172,0.1646068,1.306862,9.673828,0.3760042,1.07373,9.272202,-0.1986706,0.7431087,9.711192
8.048972,-0.1427945,-0.1610264,0.1651093,0.3560185,322.8387,5.56181,0.1427945,1.338974,9.684891,0.2931741,1.084115,9.360139,-0.19421,0.7703864,9.662859
8.160592,-0.1443569,-0.1475505,0.1581352,358.8785,317.7225,5.290149,0.1443569,1.35245,9.691865,0.2816694,1.019362,9.469913,-0.110547,0.8039986,9.599479
8.27279,-0.1805059,-0.1755457,0.1646963,357.2359,319.8964,3.688733,0.1805059,1.324454,9.685304,0.3445815,0.903351,9.561339,0.01324696,0.7920091,9.564204
8.37378,-0.2106628,-0.2239475,0.1773278,359.4362,320.6768,4.447269,0.2106628,1.276052,9.672672,0.4352167,0.8408324,9.625564,0.1149713,0.7630808,9.551652
8.486165,-0.2420134,-0.296384,0.1986386,356.1586,319.2214,2.375611,0.2420134,1.203616,9.651361,0.5010126,0.7979238,9.670475,0.1762323,0.682465,9.540965
8.598079,-0.2627652,-0.4316406,0.2154655,358.4491,318.8741,3.359691,0.2627652,1.068359,9.634535,0.5432075,0.7523159,9.693664,0.2341776,0.5431054,9.53156
8.71045,-0.2659307,-0.5277638,0.2276769,359.9427,319.5485,2.545432,0.2659307,0.9722362,9.622323,0.5580858,0.7174349,9.717599,0.2968265,0.5380172,9.493885
8.810611,-0.2604043,-0.5772004,0.2330622,0.9328205,319.8391,2.35143,0.2604043,0.9227996,9.616938,0.5542763,0.6845376,9.735522,0.2643781,0.5647764,9.465129
8.910712,-0.2437537,-0.5594547,0.2294444,1.724181,318.1599,1.231995,0.2437537,0.9405453,9.620556,0.5270409,0.7039735,9.749447,0.2382412,0.7706246,9.428919
9.022931,-0.2117715,-0.5088598,0.2075684,356.9747,316.5368,2.484097,0.2117715,0.9911402,9.642431,0.464755,0.7211424,9.718984,0.2554049,0.8786269,9.428786
9.123462,-0.178231,-0.4306394,0.179524,358.0775,315.6719,3.760478,0.178231,1.069361,9.670476,0.4073713,0.7984265,9.690168,0.3520134,1.013889,9.232973
9.235356,-0.1459826,-0.3235958,0.1479854,358.0887,317.7171,4.313442,0.1459826,1.176404,9.702015,0.3889852,0.8859481,9.698955,0.277819,1.025085,9.304729
9.335803,-0.1216952,-0.2391162,0.1310962,357.3759,319.2112,5.434242,0.1216952,1.260884,9.718904,0.3889377,0.9208828,9.715324,0.2197518,0.9564521,9.402795
9.448939,-0.09706461,-0.2193444,0.1245005,354.9883,321.1094,3.548357,0.09706461,1.280656,9.725499,0.3323824,0.8858777,9.670944,0.1441029,0.779808,9.519391
9.560235,-0.06720255,-0.2695636,0.1403664,356.8387,323.3879,1.92598,0.06720255,1.230436,9.709634,0.3108295,0.8865111,9.66315,0.04469625,0.6933474,9.526615
9.660539,-0.01263842,-0.3296112,0.1581666,0.5707874,324.3644,3.821383,0.01263842,1.170389,9.691833,0.26817,0.8810626,9.675102,-0.02293498,0.6639723,9.459622
9.773683,0.05369528,-0.3529718,0.1713142,1.541137,323.4532,0.8869926,-0.05369528,1.147028,9.678686,0.1778116,0.8640794,9.691494,-0.06955232,0.7709884,9.326612
9.885388,0.1104692,-0.3135513,0.163003,1.034094,323.8464,2.792663,-0.1104692,1.186449,9.686996,0.08504939,0.9008124,9.70409,-0.09320697,1.150168,9.242158
9.985797,0.1382223,-0.2529915,0.1406019,358.938,324.623,3.856819,-0.1382223,1.247008,9.709398,0.07264804,0.9501868,9.690456,-0.2328255,1.24227,9.280681
10.09711,0.1396579,-0.1897192,0.1116759,359.676,326.2431,1.27382,-0.1396579,1.310281,9.738324,0.06144409,0.9829865,9.653068,-0.3154689,1.192667,9.365624
10.199,0.1253379,-0.1798414,0.09663874,358.8931,328.2041,359.4026,-0.1253379,1.320159,9.753362,0.03299702,0.9018643,9.613495,-0.3481812,1.058158,9.438026
10.31301,0.09918357,-0.2481123,0.1034264,355.6737,330.9715,0.9135067,-0.09918357,1.251888,9.746573,0.04957387,0.8008697,9.576192,-0.3637082,0.8506836,9.545543
10.42305,0.08821584,-0.3311833,0.1189776,356.9529,331.1852,1.007757,-0.08821584,1.168817,9.731023,0.03826817,0.7097808,9.522917,-0.3578974,0.7174788,9.614105
10.5351,0.08736411,-0.4343851,0.1382792,359.6713,334.1326,358.6628,-0.08736411,1.065615,9.71172,0.001131339,0.5787563,9.490258,-0.3332922,0.6125815,9.665383
10.64743,0.09453525,-0.5148458,0.1483109,2.202816,337.6878,357.9962,-0.09453525,0.9851542,9.701689,-0.04200561,0.5441431,9.435864,-0.3317776,0.5541463,9.691121
10.74783,0.110603,-0.535194,0.1471115,4.024672,338.7953,358.2174,-0.110603,0.964806,9.702888,-0.04432508,0.6067172,9.3636,-0.3436666,0.5354926,9.698998
10.86025,0.1321627,-0.4900877,0.1415362,2.092903,343.4439,358.848,-0.1321627,1.009912,9.708464,0.04641808,0.7396632,9.27927,-0.356691,0.5696176,9.713172
10.9724,0.139807,-0.3791427,0.1225863,359.1837,348.2241,0.109891,-0.139807,1.120857,9.727414,0.1844586,0.8762114,9.332953,-0.3726504,0.6639755,9.700418
11.073,0.1266747,-0.2724457,0.09941769,357.1985,352.4383,359.9171,-0.1266747,1.227554,9.750583,0.1938646,0.925701,9.44516,-0.3728706,0.7466749,9.663844
11.18526,0.08266479,-0.1958613,0.07999045,356.1552,356.3453,359.3528,-0.08266479,1.304139,9.77001,0.2527438,0.9692549,9.568156,-0.3109322,0.8080412,9.638361
11.29678,0.02301748,-0.1878975,0.07715141,354.4302,358.4792,1.250839,-0.02301748,1.312102,9.772848,0.319154,0.9728328,9.64685,-0.1808658,0.8114654,9.620447
11.39687,-0.0282373,-0.216363,0.09041216,354.7294,356.2608,2.166369,0.0282373,1.283637,9.759588,0.3793857,0.9375809,9.683512,-0.06594274,0.7413,9.613665
