index,start_time,end_time,posX_change
0,0.0,1.671816,0.06982600000000017
1,1.671816,2.347715,0.052857000000000154
2,2.347715,3.21339,0.06613200000000008
3,3.21339,4.442071,0.09066099999999988
4,4.442071,5.895844,0.08951599999999993
5,5.895844,6.497874,0.019141000000000075
6,6.497874,6.998951,0.030836000000000086
7,6.998951,8.176169,0.12430099999999977
8,8.176169,8.603098,0.00526099999999996
9,8.603098,9.104461,0.014016000000000028
10,9.104461,10.99599,0.1290509999999998
11,10.99599,12.14927,0.05190000000000006
12,12.14927,12.61257,0.01542800000000022
13,12.61257,13.67855,0.12609099999999973
14,13.67855,14.85604,0.10590500000000014
15,14.85604,15.57074,0.013875999999999777
16,15.57074,16.77346,0.05200199999999988
17,16.77346,17.82532,0.0705610000000001
18,17.82532,18.42667,0.05739899999999998
19,18.42667,18.99064,0.020215000000000094
20,18.99064,19.66712,0.078241
21,19.66712,20.45702,0.074743
22,20.45702,20.80796,0.021954999999999947
23,20.80796,21.78512,0.07867699999999989
24,21.78512,22.63827,0.06564700000000023
25,22.63827,23.30491,0.0357019999999999
26,23.30491,23.95425,0.019428
27,23.95425,24.63028,0.05115599999999976
28,24.63028,25.23192,0.02998299999999987
29,25.23192,26.09626,0.07774499999999973
30,26.09626,27.04937,0.09756299999999984
31,27.04937,27.72534,0.004045999999999994
32,27.72534,28.77857,0.08624500000000013
33,28.77857,30.19396,0.12319700000000045
34,30.19396,30.79588,0.016352000000000144
35,30.79588,31.42294,0.012216000000000005
36,31.42294,33.07624,0.10247900000000021
37,33.07624,34.3425,0.06904699999999986
38,34.3425,35.05794,0.033320000000000016
39,35.05794,35.99699,0.09683100000000011
40,35.99699,36.7237,0.08743900000000004
41,36.7237,37.33821,0.027225999999999972
42,37.33821,37.90205,0.034400999999999904
43,37.90205,38.59151,0.04020800000000002
44,38.59151,39.24293,0.08567700000000023
45,39.24293,39.83173,0.015920000000000156
46,39.83173,40.53368,0.08514599999999994
47,40.53368,41.26043,0.06532400000000016
48,41.26043,41.68804,0.02326500000000009
49,41.68804,42.7886,0.09636299999999998
50,42.7886,44.26772,0.10543199999999997
