index,start_time,end_time,posY_change
0,0.0,1.671816,0.033532000000000006
1,1.671816,2.347715,0.009701899999999958
2,2.347715,3.21339,0.02200000000000002
3,3.21339,4.442071,0.015238099999999949
4,4.442071,5.895844,0.02927819999999992
5,5.895844,6.497874,0.015826299999999988
6,6.497874,6.998951,0.007587900000000036
7,6.998951,8.176169,0.03042130000000004
8,8.176169,8.603098,0.010285099999999991
9,8.603098,9.104461,0.022033600000000014
10,9.104461,10.99599,0.04740549999999999
11,10.99599,12.14927,0.03581010000000004
12,12.14927,12.61257,0.004055800000000026
13,12.61257,13.67855,0.023390400000000033
14,13.67855,14.85604,0.03138540000000001
15,14.85604,15.57074,0.021565400000000012
16,15.57074,16.77346,0.03857959999999999
17,16.77346,17.82532,0.017746899999999982
18,17.82532,18.42667,0.01524529999999999
19,18.42667,18.99064,0.020948400000000006
20,18.99064,19.66712,0.022098000000000007
21,19.66712,20.45702,0.024834400000000034
22,20.45702,20.80796,0.006989599999999985
23,20.80796,21.78512,0.027493299999999943
24,21.78512,22.63827,0.029467400000000005
25,22.63827,23.30491,0.014280299999999996
26,23.30491,23.95425,0.030640200000000006
27,23.95425,24.63028,0.005981499999999973
28,24.63028,25.23192,0.014486699999999991
29,25.23192,26.09626,0.0113433
30,26.09626,27.04937,0.03358530000000001
31,27.04937,27.72534,0.022922499999999985
32,27.72534,28.77857,0.02798630000000002
33,28.77857,30.19396,0.03591869999999997
34,30.19396,30.79588,0.015450800000000015
35,30.79588,31.42294,0.033907999999999994
36,31.42294,33.07624,0.04460880000000006
37,33.07624,34.3425,0.03338599999999997
38,34.3425,35.05794,0.010221500000000022
39,35.05794,35.99699,0.03889359999999997
40,35.99699,36.7237,0.011051700000000053
41,36.7237,37.33821,0.024017599999999972
42,37.33821,37.90205,0.025957900000000006
43,37.90205,38.59151,0.012880999999999976
44,38.59151,39.24293,0.016018500000000047
45,39.24293,39.83173,0.02054320000000001
46,39.83173,40.53368,0.007728800000000008
47,40.53368,41.26043,0.020951399999999953
48,41.26043,41.68804,0.010929299999999975
49,41.68804,42.7886,0.047268400000000016
50,42.7886,44.26772,0.05736430000000001
