InteractionNumber,ElapsedTime,SplitTime,missCount
4.522617,0.00735208,-0.06267706,-0.1064902,9.072879,139.1751,357.7358
4.622734,0.006114839,-0.09377982,-0.07401335,21.1891,140.5514,358.0435
4.723221,-0.001086015,-0.1127296,-0.04547444,27.79472,142.091,359.727
4.823818,-0.004160764,-0.102599,-0.02380837,24.51972,142.3495,359.3206
4.936302,0.0004307423,-0.08900768,-0.008848384,20.27803,141.5114,359.8179
5.037056,0.006600261,-0.07530534,-0.001777072,14.37912,141.0439,0.9417688
5.148975,0.01447486,-0.05622758,0.004114572,5.139927,140.041,2.000126
5.249352,0.02068364,-0.04434562,0.007466037,359.7966,139.6528,2.358489
5.349567,0.02724887,-0.03663107,0.00634636,354.9397,139.4985,2.606655
5.450348,0.03275762,-0.0321731,0.006916774,351.374,138.487,2.605819
5.562588,0.03403787,-0.0314218,0.008510197,349.5408,136.7597,2.53966
5.663158,0.03552266,-0.027816,0.01235455,349.675,135.7517,1.839641
5.763298,0.04382982,-0.02217796,0.01528474,348.5414,135.015,1.59538
5.863636,0.05176495,-0.02434557,0.01153677,349.7478,134.0984,2.476187
5.963924,0.05618375,-0.02115715,-0.0003177337,349.3321,136.9233,0.7597234
6.064022,0.05492163,-0.01903081,-0.02471883,348.8259,142.9856,359.6641
6.164703,0.0462963,-0.01840091,-0.06156414,349.5833,153.0315,359.2677
6.277546,0.03334414,-0.01992637,-0.1078963,350.0718,165.1582,359.2752
6.37767,0.022168,-0.02768333,-0.1419567,353.1906,175.5102,0.04898924
6.477913,0.0157511,-0.03234725,-0.1637493,354.7219,183.9159,0.8076606
6.579617,0.02034458,-0.03065101,-0.1763223,354.0071,189.7206,0.8647565
6.690609,0.03590379,-0.03716608,-0.1877877,352.113,194.2097,1.008913
6.803383,0.05930155,-0.05175808,-0.2009971,353.3274,197.2008,0.1472188
6.903465,0.080568,-0.06074825,-0.2153895,355.6771,197.8977,0.5578369
7.003864,0.09935813,-0.06905879,-0.2277869,356.8045,196.2918,0.7179201
