InteractionNumber,ElapsedTime,SplitTime,missCount
4.536139,0.2062589,-0.08377239,-0.04871378,19.30925,77.77522,4.001303
4.636244,0.2135934,-0.07391623,-0.04423652,14.45932,65.19881,2.183123
4.736534,0.2183267,-0.06622161,-0.02813856,11.60355,51.51208,0.60927
4.836603,0.2128678,-0.05813709,-0.006690763,9.285303,34.05141,1.719327
4.937101,0.1826763,-0.05106405,0.01341463,6.654933,5.476909,359.248
5.049305,0.1468794,-0.0468199,0.01952632,3.324744,336.9514,359.322
5.150005,0.1251671,-0.04927517,0.01845672,2.920289,318.7818,359.5655
5.25009,0.1116664,-0.04566894,0.01703908,1.184796,307.8345,0.4675212
5.350914,0.0983508,-0.0394275,0.01695601,358.6675,304.2327,2.285686
5.463367,0.06530151,-0.03432151,0.0239826,355.8302,306.0693,3.120739
5.576189,0.01375968,-0.03522791,0.04058273,354.8761,316.4756,0.0577374
5.688015,-0.02344321,-0.0337677,0.06876354,356.0899,340.3923,356.965
5.788536,-0.01144494,-0.03651353,0.07515011,3.973125,16.38608,357.0395
5.901525,0.0009728111,-0.03554192,0.05557486,5.621152,47.77457,359.5224
6.001741,0.004177263,-0.03506979,0.04055075,5.616245,61.67531,0.4188496
6.101896,0.01454665,-0.04673441,0.0197496,11.68887,78.48705,2.832262
6.215134,0.03208354,-0.06245237,0.01007615,18.11988,86.8402,5.727458
6.315136,0.05272712,-0.06155911,0.01416952,19.58915,84.34557,4.665593
6.415558,0.07281083,-0.02929395,0.02937742,4.191485,69.58443,358.8883
6.515593,0.08328224,-0.0008575022,0.04306507,347.7786,50.80754,357.7204
6.615854,0.08695965,0.01335903,0.05713553,342.0245,24.94973,3.721864
6.728443,0.07720605,-0.002840857,0.06261365,353.1758,350.8508,10.27179
6.828672,0.0735364,-0.02936476,0.05119036,5.57598,327.8576,7.640511
6.928944,0.08135609,-0.06608768,0.0377362,20.69395,314.1724,358.4976
7.029194,0.08839563,-0.09449343,0.02738813,31.32012,306.279,352.6227
7.12944,0.08850508,-0.1087429,0.01978491,35.57231,303.0231,349.48
7.230587,0.07742178,-0.1207436,0.008975217,37.47355,298.8441,345.3495
7.342182,0.04242315,-0.1176067,-0.01586405,32.66789,287.3572,342.4184
7.442499,0.001768608,-0.1091872,-0.04023939,27.71805,283.2258,343.1266
7.542955,-0.04848254,-0.1047431,-0.06165643,25.71857,286.9733,344.5268
7.655552,-0.09925477,-0.09588417,-0.06577338,24.91944,302.0511,346.0964
7.756098,-0.10931,-0.08574848,-0.0584335,23.99449,333.4166,355.2376
7.856266,-0.1243761,-0.07288957,-0.07101033,18.68875,343.7986,0.3692721
7.956671,-0.1499223,-0.0632033,-0.09116884,11.89611,341.0544,0.07754851
8.057005,-0.1786342,-0.05681066,-0.09747241,4.225347,340.3716,1.490777
8.157595,-0.2059847,-0.06004799,-0.08322146,357.0779,344.5079,2.584616
8.283766,-0.2086284,-0.0685778,-0.05895394,359.0928,354.0972,5.953535
8.393831,-0.1484995,-0.07614924,-0.05849056,10.99069,25.62816,3.736375
8.505369,-0.09114741,-0.07025035,-0.08449891,11.6712,51.34889,1.391611
8.618114,-0.04337471,-0.06550404,-0.1071709,12.30903,66.03123,358.7752
8.718262,-0.003033249,-0.07386863,-0.103582,18.75426,65.80257,359.441
8.819422,0.04923499,-0.09225303,-0.07477062,24.12282,57.46591,359.0859
8.920202,0.1142179,-0.1201326,-0.02918835,19.1361,47.4091,358.4422
9.020235,0.1734506,-0.1499975,0.01689885,17.63814,36.77105,357.1087
9.132757,0.2008652,-0.1392475,0.05319322,20.04328,21.25998,356.6364
9.232864,0.1722034,-0.1092469,0.06329412,12.14684,346.1768,356.0132
9.333344,0.1440851,-0.08703203,0.03417347,6.991528,314.8257,355.2225
9.433552,0.1333248,-0.06903521,-0.003130547,3.415794,293.1697,355.8025
9.534344,0.1306145,-0.05826046,-0.02396622,2.563848,287.4156,355.3596
9.634367,0.1249411,-0.05888845,-0.02692465,5.437507,296.4856,354.3838
9.734528,0.1119878,-0.06698337,-0.02142046,8.620581,307.5251,357.6261
9.834936,0.08247054,-0.07434846,-0.008485492,5.87555,317.2977,359.4327
9.935137,0.03947643,-0.0893687,0.01223408,4.271298,325.5237,2.485532
10.03588,0.005485749,-0.1013377,0.03236521,9.65002,333.5092,4.436431
10.13596,-0.02676232,-0.09805885,0.03947005,13.94209,337.8534,1.640903
10.23633,-0.07317428,-0.09215201,0.04747376,11.29714,336.8476,359.8371
10.3366,-0.1095675,-0.09450215,0.06971312,8.334127,343.3885,1.086603
10.43674,-0.1098998,-0.09314157,0.08705126,12.53623,1.541681,0.8152214
10.53702,-0.0828769,-0.08956507,0.07405924,14.36302,33.89279,4.490056
10.63747,-0.06249412,-0.08127515,0.04353612,14.30389,59.68859,6.636521
10.73758,-0.04876798,-0.06536685,0.02719576,10.00377,70.18208,6.890045
10.83798,-0.04686356,-0.04234844,0.03883031,1.062879,58.89256,3.510828
10.93827,-0.03383728,-0.02377329,0.047451,354.7878,51.71331,1.499371
11.03854,-0.002716314,-0.01261561,0.06112723,349.6664,48.28813,0.8771154
11.13916,0.04470187,-0.009711194,0.08267472,344.2011,44.84103,0.7539105
11.25182,0.1192209,-0.01086383,0.1191372,341.294,39.03104,0.1497211
11.35214,0.1785088,-0.0177753,0.1790613,345.6776,15.4043,2.13346
11.45252,0.2055808,-0.02611039,0.2246509,351.8093,338.1666,6.85307
11.56477,0.2246265,-0.02751952,0.2488331,355.1129,314.2131,2.720836
11.66492,0.2316423,-0.03047245,0.2547805,356.2873,299.0292,2.161248
11.76531,0.2389699,-0.02317672,0.2625721,351.5512,294.9275,3.622011
11.86666,0.2405758,-0.008296431,0.2687638,344.2071,298.3381,5.096115
11.97926,0.2174091,0.01369828,0.2652777,336.5847,301.7868,5.745188
12.09134,0.1777611,0.02206829,0.2594341,337.4159,308.2409,3.369439
12.19145,0.1574972,0.005200556,0.2630693,347.6005,338.9041,356.2092
12.29165,0.1520866,-0.01047489,0.2385605,357.8622,15.28475,356.3571
12.39198,0.1335582,-0.02197881,0.2020536,3.123546,37.85298,356.8715
12.49217,0.1158422,-0.03677144,0.1662561,9.877637,53.37377,359.3882
12.59239,0.1100311,-0.05716581,0.1369341,16.60388,62.80678,3.218454
12.6935,0.1141116,-0.06961873,0.1339555,19.43592,59.43642,2.320687
12.80512,0.1479065,-0.0755619,0.1572737,15.55628,50.47617,1.092876
12.90544,0.1815412,-0.08419793,0.1761169,13.41165,41.74786,1.846313
13.00614,0.1894398,-0.07833115,0.1900231,14.37398,22.76729,0.5073088
13.11871,0.153054,-0.06013348,0.1833899,8.053347,341.3446,356.4482
13.21912,0.1272234,-0.04728828,0.1496598,2.199914,312.144,359.0639
13.31949,0.1104525,-0.03691115,0.1053699,358.8324,290.7156,6.375316
13.41971,0.0968791,-0.02844935,0.07556943,357.1355,280.8199,5.708736
13.51988,0.0680069,-0.03199276,0.0436381,358.8071,273.3775,2.963191
13.62024,0.01958954,-0.06154876,0.01876115,14.37671,274.2405,357.6422
13.72066,-0.04536835,-0.09151755,-5.25061E-05,24.71649,280.0246,358.8835
13.82072,-0.1311222,-0.1084294,-0.006211558,24.72243,285.3415,359.5224
13.92151,-0.2169124,-0.1255556,0.005155567,21.13354,294.9949,358.3429
14.02165,-0.2687007,-0.1490968,0.02095287,23.20835,307.5432,0.6919106
14.13399,-0.2813281,-0.1502615,0.04397808,27.35174,323.8959,1.958064
14.23415,-0.2379678,-0.1316771,0.06258757,22.40152,357.5941,7.835969
14.3346,-0.1788023,-0.1045762,0.05511749,15.99325,25.35091,12.4836
14.43471,-0.1313414,-0.08932436,0.04184947,14.39359,40.46993,10.69566
14.53487,-0.1070513,-0.07189757,0.05446737,8.922143,34.42173,9.851035
14.63518,-0.1035998,-0.05788394,0.08693018,1.816603,12.43478,6.591561
14.73537,-0.07675868,-0.05443772,0.1223664,359.8875,358.6159,5.039796
14.83568,-0.01726579,-0.06207491,0.176951,356.9243,355.6477,6.236014
14.93611,0.05553357,-0.06546151,0.2493038,352.9072,355.0706,7.199914
15.03629,0.1216452,-0.05805028,0.3169297,355.605,2.690365,1.17947
15.13648,0.2049526,-0.04711482,0.3547356,3.759241,29.87865,357.0109
15.2365,0.2673673,-0.04652062,0.3556303,9.124585,59.35805,356.527
15.33731,0.2932353,-0.04929584,0.3618032,12.63784,71.03423,356.9762
15.43744,0.3090107,-0.06294734,0.3665024,18.49438,81.57896,0.1695279
15.54994,0.3065425,-0.08458801,0.3763722,26.15009,81.65581,6.085889
15.6502,0.2756492,-0.0978993,0.3886965,32.30587,66.05504,6.44136
15.75052,0.1969879,-0.1045833,0.3992031,34.63622,29.09403,358.2362
15.85074,0.08586498,-0.1114187,0.376033,34.5355,348.1543,345.3107
15.96327,-0.02760016,-0.1029369,0.3207425,25.62478,316.5428,340.0453
16.06334,-0.09914146,-0.09890654,0.2669064,22.09173,300.6308,341.0292
16.16383,-0.1398079,-0.1007186,0.2354803,24.15252,299.8725,344.6869
16.26446,-0.1670516,-0.1040395,0.2236072,24.81616,311.1578,349.3848
16.3765,-0.1811721,-0.09764319,0.2251497,25.87627,326.9847,354.4951
16.47711,-0.1549254,-0.08172335,0.2289957,24.14588,355.6483,0.2258594
16.57723,-0.09887524,-0.06198224,0.2082029,14.42605,31.93291,7.62016
16.67818,-0.05660411,-0.0468282,0.1735507,7.84752,54.72773,7.293983
16.79042,-0.0170596,-0.03454252,0.1437094,3.275038,66.63593,2.073602
16.89062,0.02272908,-0.02481112,0.1214262,358.0934,74.21159,357.294
16.99111,0.07013232,-0.0283424,0.1065123,359.7415,79.96638,355.2506
17.09129,0.1236174,-0.03006856,0.1096105,0.6348449,74.36258,356.6751
17.19178,0.1743307,-0.01899549,0.1397862,356.0067,52.59265,356.5249
17.29205,0.1951611,-0.009437243,0.1701659,353.9543,18.9368,1.240511
17.40389,0.1864019,-0.003190016,0.1759262,349.4282,339.9767,3.59238
17.50453,0.1822564,-0.004442668,0.1598131,348.392,318.5289,3.486159
17.60462,0.1791527,-0.002771282,0.1389942,347.5296,306.1741,4.944907
17.70462,0.1649702,-0.00343786,0.1133536,349.3698,297.863,5.12438
17.80523,0.1398447,-0.01048797,0.08604924,354.8814,293.3826,4.327051
17.90534,0.1063791,-0.0163288,0.06497435,355.7158,293.4055,4.399805
18.00558,0.06131303,-0.02363977,0.05441656,354.3258,294.1614,5.295187
18.10599,0.0004516365,-0.03514452,0.04636879,354.0583,295.7334,3.244672
18.20627,-0.07534005,-0.05845997,0.03791001,353.9584,302.1576,1.927658
18.30707,-0.1596133,-0.05295718,0.03968744,350.3115,309.7365,2.443278
18.41968,-0.2393303,-0.03109768,0.04976069,348.5348,315.7386,2.054505
18.52024,-0.2813623,-0.01856181,0.06868245,348.5745,324.121,2.755886
18.63223,-0.296957,-0.01641396,0.09030417,353.9609,336.2479,0.7108358
18.73277,-0.3243785,-0.01762896,0.09641469,353.1525,330.7583,3.244474
18.8446,-0.3673592,-0.06456397,0.1053716,354.7711,322.6366,5.469356
18.94508,-0.4221637,-0.07180706,0.139111,352.4909,327.0437,3.24904
19.04541,-0.4405268,-0.05716804,0.1777472,357.7137,342.8837,358.2216
19.14556,-0.4028611,-0.04320029,0.1801255,2.760822,28.13968,358.2521
19.24593,-0.3829906,-0.03045989,0.14934,0.764412,59.83237,0.1404689
19.34612,-0.3758516,-0.02615743,0.1267089,1.816774,73.82776,0.09798236
19.4466,-0.3594106,-0.0259357,0.113255,4.200587,81.17751,1.092372
19.55943,-0.3220127,-0.03642436,0.1181274,9.556017,78.08298,2.841838
19.65984,-0.2622117,-0.04791195,0.121197,12.84531,75.15359,2.262141
19.75991,-0.1722702,-0.05995705,0.1206131,12.31926,74.3598,1.865083
19.86029,-0.06000633,-0.07770699,0.1268439,10.67951,68.82832,1.141002
19.96033,0.06433807,-0.1002967,0.1436741,5.838836,57.32728,2.604424
20.06047,0.1715213,-0.1250618,0.1600479,3.153494,43.38647,4.195656
20.1609,0.2228901,-0.1143711,0.1770207,6.555748,20.93323,2.028258
20.26121,0.2208299,-0.0820666,0.172983,5.147201,347.7578,359.4258
20.36166,0.2159412,-0.05414817,0.1490633,359.4294,324.7838,358.794
20.46193,0.2160908,-0.04392802,0.1263655,357.8341,312.9814,359.5419
20.56209,0.2012976,-0.0374027,0.1036782,355.3161,300.8427,1.470265
20.66244,0.1777614,-0.03363732,0.08439052,352.6446,291.6217,2.894725
20.76284,0.148878,-0.02782845,0.07576469,350.2314,290.0564,4.068115
20.87505,0.09679803,-0.02226106,0.07060073,347.184,292.4598,3.961343
20.97535,0.03373915,-0.008984601,0.06965507,345.3289,296.9056,4.708328
21.07557,-0.02934494,9.174086E-05,0.06847977,345.3731,299.4472,4.018831
21.17593,-0.0698424,-0.0002229279,0.0805871,349.561,309.368,359.5876
21.27606,-0.07000959,-0.01144961,0.1016255,359.2489,337.2269,354.0135
21.37632,-0.04304447,-0.02193817,0.1043631,6.717512,7.441887,356.3936
21.47818,-0.01482011,-0.02664972,0.09602731,7.629395,29.33869,358.7786
21.58929,0.01552877,-0.02946351,0.0815779,6.975153,46.85037,0.3490799
