InteractionNumber,ElapsedTime,SplitTime,missCount
4.461964,-0.04416552,-0.0285726,0.01995936,357.4589,189.179,358.265
4.562115,-0.02540734,-0.02421232,0.02255775,355.963,199.1388,359.298
4.662607,-0.006179387,-0.02786085,0.02142984,358.1089,208.0051,359.7422
4.775095,0.01498579,-0.04219259,0.01640691,5.21929,215.477,0.4293101
4.876322,0.03228386,-0.06105704,0.007222953,12.70399,219.6909,2.64355
4.988277,0.05097876,-0.08318066,-0.00636141,22.26267,221.8448,4.929085
5.088341,0.06263797,-0.08688352,-0.02058494,23.48988,222.2691,3.684474
5.188583,0.06778659,-0.07308397,-0.03026003,17.54778,224.7607,3.114254
5.289135,0.07227106,-0.05104446,-0.03491218,7.263007,227.7553,2.759593
5.401653,0.07864676,-0.04152054,-0.0379203,1.458567,232.2463,2.190364
5.502102,0.0873447,-0.04230757,-0.04203768,357.9905,235.9987,1.042172
5.614208,0.1002314,-0.05446986,-0.04915352,356.1093,237.9704,1.650951
5.715382,0.1161697,-0.0680735,-0.05119018,357.0089,234.2219,5.168175
5.828222,0.1371877,-0.0683758,-0.03299026,358.7112,229.1493,4.227227
5.939699,0.160628,-0.06314339,0.005116334,358.1064,223.757,1.712712
6.040228,0.1819391,-0.06639387,0.05575194,358.2611,219.0395,1.507015
6.140902,0.1978918,-0.07457453,0.1106868,358.7013,215.6624,1.325115
6.241552,0.2111183,-0.08077713,0.1588946,2.031976,214.2088,359.3952
6.353701,0.2141533,-0.07341383,0.2024403,1.834301,213.9653,359.3666
6.45413,0.214509,-0.06743611,0.2285745,2.82282,214.1019,357.6902
6.554239,0.22086,-0.05948617,0.2373626,2.566055,209.0928,359.5422
6.654776,0.2334222,-0.05446045,0.2314434,3.106197,200.0227,359.1918
6.754969,0.2485906,-0.04798344,0.2166623,2.064048,190.4187,358.1672
6.85507,0.2630805,-0.0407048,0.1946045,358.4613,181.039,358.647
6.955498,0.2756131,-0.03488844,0.1668163,355.9251,172.6079,358.6071
7.055655,0.2895547,-0.02817499,0.1401861,353.8031,161.7982,359.9667
7.1558,0.2996864,-0.02701565,0.1199041,352.8996,149.8031,0.9964901
7.256092,0.2993315,-0.0245474,0.1018903,350.6169,141.3354,359.9329
7.369629,0.2887656,-0.02167256,0.07696526,350.3303,136.66,359.8246
7.469662,0.2765464,-0.02216279,0.05469653,351.2258,130.9391,0.9951464
7.582289,0.256047,-0.01409381,0.03027558,345.8387,122.9603,3.585527
7.682289,0.2342156,0.002605937,0.006380537,340.9553,118.6977,4.759415
7.783188,0.2166668,0.01120358,-0.008719853,334.9218,110.1483,8.347705
7.883642,0.1992587,0.01164142,-0.02365467,333.4586,105.0566,8.920615
7.994965,0.1773037,0.0151738,-0.04314402,328.2805,108.4222,7.360734
8.096813,0.157228,0.01504049,-0.06197556,326.4643,117.8422,5.602882
8.208809,0.1367351,0.01016443,-0.08340571,329.6252,135.3392,2.046078
8.32139,0.1291315,0.0008512812,-0.09306937,337.0965,146.6058,1.779698
8.421474,0.138169,-0.006308815,-0.090748,342.7734,146.227,4.730329
8.522057,0.1576907,-0.01362224,-0.08001406,349.2435,138.3623,7.778677
8.633987,0.1814744,-0.02678384,-0.05985457,359.1276,125.3078,8.337101
8.734455,0.1991508,-0.03705006,-0.03762348,5.372276,113.0342,6.959301
8.834581,0.2111666,-0.04241222,-0.01395799,8.471228,102.5861,4.005671
8.935194,0.2189311,-0.05636374,0.004622106,15.33006,96.30915,0.2275688
9.036295,0.2221452,-0.08013582,0.01682029,25.34665,93.68377,357.347
9.147989,0.2215277,-0.112661,0.02443505,36.15543,93.83039,354.6257
9.248497,0.220663,-0.1329977,0.02554857,42.31402,97.00569,353.4687
9.349026,0.2194995,-0.1322575,0.0136991,41.46213,106.3273,354.9036
9.461845,0.2051041,-0.1280279,-0.01601006,39.52032,129.177,1.870471
9.562159,0.1801057,-0.1255944,-0.04139977,38.11354,152.8896,8.658685
9.674141,0.1435769,-0.1183337,-0.06033213,33.56889,180.4712,15.29961
9.774729,0.1143403,-0.105709,-0.06702988,27.82521,200.4504,17.48578
9.88818,0.09104041,-0.08525684,-0.07295242,19.69865,215.2835,14.71088
10.00013,0.07033809,-0.07679141,-0.07660375,16.35164,229.7027,14.49993
10.10079,0.0551769,-0.06462966,-0.07903318,12.25439,239.7136,12.00819
10.20121,0.04537775,-0.04700669,-0.07518888,3.100712,250.3185,8.123979
10.3015,0.04709445,-0.0376639,-0.06765237,357.1772,264.9866,5.911804
10.40169,0.06619531,-0.0310884,-0.07113583,353.4736,275.65,6.050088
10.50226,0.09640696,-0.02727237,-0.08162547,349.1165,283.9065,3.597298
10.61411,0.1238098,-0.02574136,-0.09802508,349.743,291.1674,4.233562
10.71444,0.145578,-0.01446136,-0.1173667,338.4668,286.2751,1.75607
10.81468,0.1678274,-0.01916633,-0.1202211,334.6275,285.5737,0.9160807
10.92756,0.1899943,-0.02709204,-0.1176506,332.6841,282.6542,358.8604
11.02781,0.2085532,-0.03908209,-0.1113673,330.8789,280.7946,355.918
11.128,0.2210088,-0.05745122,-0.1078191,332.6673,278.6767,353.8953
11.22824,0.2337561,-0.06881936,-0.1104173,334.396,275.1046,353.0184
11.32993,0.2493352,-0.0699049,-0.1159222,335.7842,271.7877,353.7153
11.4417,0.2549788,-0.05777225,-0.1234841,331.8976,267.5628,352.3958
11.55379,0.2494437,-0.04069321,-0.136623,333.8579,257.1802,354.3369
11.65403,0.2410476,-0.02965751,-0.1557056,334.6451,242.7538,356.0183
11.75428,0.2321455,-0.02716271,-0.1707684,338.3675,227.1318,359.0898
11.85457,0.2262835,-0.02467414,-0.1752973,336.9811,211.6623,1.058915
11.95472,0.2193375,-0.02316271,-0.1729922,336.8539,196.3275,2.293274
12.05491,0.2094135,-0.01869953,-0.1708648,336.0408,181.1273,3.09287
12.15498,0.1956436,-0.01075108,-0.1652795,329.3463,168.3159,3.232249
12.25557,0.1828728,-0.009352827,-0.1604038,325.4078,156.8527,4.502431
12.35587,0.1787527,-0.01071452,-0.1559296,325.3486,144.4104,5.480955
12.4684,0.1813338,-0.007660688,-0.1457597,328.7611,128.0955,7.315771
12.5691,0.1810467,-0.006995584,-0.1327883,334.7736,114.7151,7.564393
12.66948,0.1754669,-0.01280025,-0.1198705,340.4143,103.4765,7.300349
12.76974,0.1664027,-0.02220677,-0.1145407,345.1763,97.45898,5.995611
12.88224,0.1548277,-0.03437232,-0.1215648,352.3698,100.7953,0.4777704
12.98234,0.1424303,-0.04866768,-0.1320984,0.5400633,109.4373,357.2828
13.08269,0.1279544,-0.06635233,-0.1387376,11.58192,119.1844,357.2755
13.18296,0.1194259,-0.07383831,-0.1370994,16.9592,129.0867,358.598
13.2834,0.1174913,-0.07172217,-0.1297297,16.27142,140.4924,359.6389
13.3837,0.1243307,-0.070958,-0.1163417,15.50292,152.0529,358.8376
