time,posX,posY,posZ,gazeX,gazeY,gazeZ
0.01618767,-1.301865E-10,1.502978,1.5,-0.001918882,1.614786,1.5
0.03618813,-2.483314E-10,1.505681,1.5,-0.002929555,1.614515,1.5
0.05618763,-3.71101E-10,1.50849,1.5,-0.004119009,1.615082,1.5
0.07618809,-6.13569E-10,1.514037,1.5,-0.005258339,1.615037,1.5
0.09618759,-7.387182E-10,1.5169,1.5,-0.005041422,1.615678,1.5
0.116188,-9.834128E-10,1.522498,1.5,-0.004962094,1.615155,1.5
0.1361876,-1.100602E-09,1.525179,1.5,-0.00615442,1.614655,1.5
0.156188,-1.361409E-09,1.531146,1.5,-0.00944167,1.613799,1.5
0.1761875,-1.465216E-09,1.53352,1.5,-0.01024327,1.614427,1.5
0.196188,-1.587087E-09,1.536309,1.5,-0.01000781,1.615494,1.5
0.2161884,-1.835043E-09,1.541981,1.5,-0.01190117,1.613697,1.5
0.2361879,-1.961765E-09,1.54488,1.5,-0.01370413,1.614537,1.5
0.2561884,-2.197995E-09,1.550285,1.5,-0.01455332,1.616712,1.5
0.2761879,-2.316729E-09,1.553001,1.5,-0.01301247,1.618384,1.5
0.2961884,-2.577193E-09,1.55896,1.5,-0.01335248,1.618717,1.5
0.3161879,-2.683213E-09,1.561385,1.5,-0.01498214,1.620487,1.5
0.3361883,-2.929882E-09,1.567028,1.5,-0.01646132,1.624959,1.5
0.3561878,-3.049683E-09,1.569769,1.5,-0.01640515,1.628261,1.5
0.3761883,-3.183669E-09,1.572834,1.5,-0.01687739,1.631151,1.5
0.3961878,-3.409468E-09,1.578,1.5,-0.01773901,1.634528,1.5
0.4161882,-3.534333E-09,1.580856,1.5,-0.01859438,1.635912,1.5
0.4361877,-3.778863E-09,1.586451,1.5,-0.02059594,1.638489,1.5
0.4561882,-3.908299E-09,1.589412,1.5,-0.02127015,1.639519,1.5
0.4761877,-4.145178E-09,1.594831,1.5,-0.02249455,1.642461,1.5
0.4961882,-4.268078E-09,1.597643,1.5,-0.02272684,1.642685,1.5
0.5161877,-4.511184E-09,1.603204,1.5,-0.02355157,1.642894,1.5
0.5361881,-4.638953E-09,1.606127,1.5,-0.02422123,1.643984,1.5
0.5561876,-4.755167E-09,1.608786,1.5,-0.02516847,1.645909,1.5
0.5761881,-5.005663E-09,1.614517,1.5,-0.02631848,1.646261,1.5
0.5961876,-5.117323E-09,1.617071,1.5,-0.0261307,1.646678,1.5
0.616188,-5.374445E-09,1.622953,1.5,-0.02807517,1.646529,1.5
0.6361876,-5.488086E-09,1.625553,1.5,-0.03011861,1.648466,1.5
0.656188,-5.729644E-09,1.631079,1.5,-0.03503062,1.651437,1.5
