time,posX,posY,posZ,gazeX,gazeY,gazeZ
0,0,1.5,1.5,0,1.5,1.5
0.02,0,1.5,1.5,0,1.5,1.5
0.04,0.0004597553,1.498612,1.5,0,1.5,1.5
0.06,0.0004597553,1.498612,1.5,0,1.5,1.5
0.08,0.0004597553,1.498612,1.5,0,1.5,1.5
0.09999999,0.0004597553,1.498612,1.5,0,1.5,1.5
0.12,0.0004597553,1.498612,1.5,0,1.5,1.5
0.14,0.0004597553,1.498612,1.5,0,1.5,1.5
0.16,0.0004597553,1.498612,1.5,0,1.5,1.5
0.18,0.0004597553,1.498612,1.5,0,1.5,1.5
0.2,0.0004597553,1.498612,1.5,0,1.5,1.5
0.22,0.0004597553,1.498612,1.5,0,1.5,1.5
0.24,0.0004597553,1.498612,1.5,0,1.5,1.5
0.26,0.0004597553,1.498612,1.5,0,1.5,1.5
0.28,0.0004597553,1.498612,1.5,0,1.5,1.5
0.3,0.0004597553,1.498612,1.5,0,1.5,1.5
0.32,0.0004597553,1.498612,1.5,0,1.5,1.5
0.34,0.0004597553,1.498612,1.5,0,1.5,1.5
0.36,0.01981489,1.444257,1.5,0,1.5,1.5
0.38,0.01981489,1.444257,1.5,0,1.5,1.5
0.4,0.01981489,1.444257,1.5,0,1.5,1.5
0.42,0.01981489,1.444257,1.5,0,1.5,1.5
0.44,0.01981489,1.444257,1.5,0,1.5,1.5
0.46,0.01981489,1.444257,1.5,0,1.5,1.5
0.48,0.01980188,1.435127,1.5,0,1.5,1.5
0.5,0.01912969,1.435642,1.5,0,1.5,1.5
0.52,0.01747842,1.434231,1.5,0,1.5,1.5
0.54,0.01747842,1.434231,1.5,0,1.5,1.5
0.56,0.01714467,1.430174,1.5,0,1.5,1.5
0.58,0.01394282,1.424167,1.5,0,1.5,1.5
0.6,0.01392862,1.421351,1.5,0,1.5,1.5
0.62,0.0124274,1.417883,1.5,0,1.5,1.5
0.64,0.01123902,1.41214,1.5,0,1.5,1.5
0.66,0.01178901,1.40857,1.5,0,1.5,1.5
0.68,0.01135213,1.402582,1.5,0,1.5,1.5
0.7,0.01266341,1.399505,1.5,0,1.5,1.5
0.72,0.01625104,1.396453,1.5,0,1.5,1.5
0.74,0.01767974,1.394214,1.5,0,1.5,1.5
0.76,0.02060684,1.388069,1.5,0,1.5,1.5
0.78,0.02446637,1.385509,1.5,0,1.5,1.5
0.8,0.02638842,1.38307,1.5,0,1.5,1.5
0.82,0.02876068,1.378524,1.5,0,1.5,1.5
0.84,0.0309708,1.376776,1.5,0,1.5,1.5
0.86,0.03308299,1.370941,1.5,0,1.5,1.5
0.88,0.03332936,1.36842,1.5,0,1.5,1.5
0.9,0.03160179,1.365281,1.5,0,1.5,1.5
0.92,0.03039685,1.359041,1.5,0,1.5,1.5
0.94,0.02989874,1.352016,1.5,0,1.5,1.5
0.96,0.02792398,1.34442,1.5,0,1.5,1.5
0.98,0.02695968,1.3372,1.5,0,1.5,1.5
1,0.02483228,1.330605,1.5,0,1.5,1.5
1.02,0.01943599,1.321183,1.5,0,1.5,1.5
1.04,0.01577129,1.311649,1.5,0,1.5,1.5
1.06,0.01010964,1.299782,1.5,0,1.5,1.5
1.08,0.008934188,1.291244,1.5,0,1.5,1.5
1.1,0.006998276,1.278694,1.5,0,1.5,1.5
1.12,0.001887265,1.266305,1.5,0,1.5,1.5
1.14,-0.007711447,1.253797,1.5,0,1.495288,1.5
1.16,-0.01572825,1.244377,1.5,0.01413769,1.457575,1.5
1.18,-0.02805152,1.23152,1.5,0.02827847,1.419795,1.5
1.2,-0.0409942,1.217538,1.5,0.03299328,1.396123,1.5
1.22,-0.05312036,1.203583,1.5,0.0377089,1.386637,1.5
1.24,-0.06329097,1.196008,1.5,0.04242545,1.37714,1.5
1.26,-0.07698376,1.185622,1.5,0.04714305,1.362872,1.5
1.28,-0.085774,1.180489,1.5,0.04714305,1.358109,1.5
1.3,-0.1060432,1.169214,1.5,0.04714305,1.348573,1.5
1.32,-0.1224757,1.163234,1.5,0.05186178,1.324666,1.5
1.34,-0.1410396,1.155202,1.5,0.05186179,1.300649,1.5
1.36,-0.153914,1.150716,1.5,0.05186181,1.281348,1.5
1.38,-0.1764621,1.143367,1.5,0.05186182,1.266814,1.5
1.4,-0.1933425,1.136872,1.5,0.04714309,1.257097,1.5
1.42,-0.2178814,1.123792,1.5,0.04242551,1.242474,1.5
1.44,-0.2459742,1.111092,1.5,0.02827852,1.232693,1.5
1.46,-0.2665613,1.099402,1.5,0.01413774,1.227792,1.5
1.48,-0.2795326,1.091661,1.5,-0.004712532,1.222884,1.5
1.5,-0.3007929,1.075917,1.5,-0.02827911,1.208119,1.5
1.52,-0.3212063,1.061217,1.5,-0.05186227,1.203183,1.5
1.54,-0.3355471,1.050613,1.5,-0.08493525,1.198239,1.5
1.56,-0.3628442,1.025637,1.5,-0.1038768,1.193287,1.5
1.58,-0.3878756,1.001053,1.5,-0.1753346,1.188327,1.5
1.6,-0.4131826,0.9747317,1.5,-0.2526458,1.18336,1.5
1.62,-0.4344197,0.9537616,1.5,-0.3067127,1.178384,1.5
1.64,-0.4586196,0.9310737,1.5,-0.382012,1.158397,1.5
1.66,-0.47434,0.9128993,1.5,-0.4127372,1.14835,1.5
1.68,-0.4976131,0.8918757,1.5,-0.4334379,1.133212,1.5
1.7,-0.5210862,0.873413,1.5,-0.4543263,1.107788,1.5
1.72,-0.5379688,0.8642519,1.5,-0.4754114,1.087262,1.5
1.74,-0.5635772,0.8511798,1.5,-0.4860313,1.076934,1.5
1.76,-0.5842514,0.83829,1.5,-0.5236319,1.040421,1.5
1.78,-0.6082278,0.8294723,1.5,-0.5619521,0.9979379,1.5
1.8,-0.6212932,0.8249456,1.5,-0.5786119,0.9763678,1.5
1.82,-0.6419625,0.8213235,1.5,-0.5954226,0.9490734,1.5
1.84,-0.6532619,0.8201115,1.5,-0.6010616,0.9325103,1.5
1.86,-0.677714,0.8164773,1.5,-0.6067173,0.9101974,1.5
1.88,-0.6997615,0.8116465,1.5,-0.6123917,0.8932836,1.5
1.9,-0.7213759,0.8089464,1.5,-0.6180832,0.8819193,1.5
1.92,-0.7514653,0.8064414,1.5,-0.6237922,0.8589703,1.5
1.94,-0.7750365,0.809613,1.5,-0.6352673,0.8357149,1.5
1.96,-0.7961383,0.8134978,1.5,-0.646818,0.818063,1.5
1.98,-0.8224728,0.8218598,1.5,-0.6526224,0.7942336,1.5
2,-0.8440453,0.8271754,1.5,-0.6526224,0.7882223,1.5
2.02,-0.8686393,0.8327017,1.5,-0.6526224,0.7882221,1.5
2.04,-0.9031005,0.838134,1.5,-0.6584464,0.7821885,1.5
2.06,-0.9318908,0.8456201,1.5,-0.6701525,0.7761325,1.5
2.08,-0.9605092,0.8532655,1.5,-0.7238715,0.7700537,1.5
2.1,-0.9917248,0.8574202,1.5,-0.80477,0.763952,1.5
2.12,-1,0.8603307,1.5,-0.9105964,0.763952,1.5
2.14,-1,0.8613837,1.5,-1.070007,0.7700534,1.5
2.16,-1,0.8696628,1.5,-1.198596,0.7942329,1.5
2.18,-1,0.8781005,1.5,-1.258906,0.8180616,1.5
2.2,-1,0.8894358,1.5,-1.294616,0.8357132,1.5
