InteractionNumber,ElapsedTime
1,16.2239
2,24.9439
3,51.10389
4,63.9439
5,71.64389
6,80.5439
7,87.56389
8,105.9839
9,117.1839
10,131.2039
11,149.0639
12,177.0639
13,195.3639
14,203.4439
15,221.9239
16,236.0239
17,254.4439
18,265.2439
19,290.1439
20,318.5039
21,345.4639
22,359.4439
23,360.6239
24,367.9639
25,379.8239
26,393.8239
27,407.6039
28,413.9439
29,439.2639
30,449.1039
