InteractionNumber,ElapsedTime
1,17.8754
2,37.8354
3,51.5154
4,58.8754
5,64.4154
6,90.3354
7,119.6354
8,148.8954
9,158.8554
10,181.1554
11,193.2754
12,221.4354
13,255.7954
14,274.6354
15,278.5954
16,284.1554
17,304.3754
