InteractionNumber,ElapsedTime
1,20.68269
2,35.1427
3,58.9627
4,75.48269
5,99.06269
6,112.3827
7,134.8627
8,151.9027
9,159.7627
10,164.4227
11,175.9627
12,186.0427
13,205.3027
14,219.2427
15,237.1027
16,251.3027
17,263.0627
18,276.0827
19,310.9827
20,337.3227
21,352.3627
22,367.4627
23,379.3627
24,390.3227
25,403.9827
26,420.3227
27,437.4227
28,448.4027
29,460.9227
30,468.2427
