InteractionNumber,ElapsedTime
1,24.72231
2,36.66231
3,46.74231
4,67.46231
5,85.28232
6,93.38231
7,94.3623
8,95.12231
9,109.1623
10,116.2423
11,129.5023
12,150.6823
13,155.8423
14,171.4623
15,187.3023
16,203.6823
17,208.9623
18,216.5823
19,231.0823
20,246.9823
