InteractionNumber,ElapsedTime
1,19.76883
2,35.28884
3,43.72883
4,61.36883
5,65.08884
6,69.96884
7,79.40883
8,94.40883
9,115.0888
10,120.7888
11,130.1288
12,140.3688
13,145.5888
14,156.1088
15,169.9488
16,187.3088
17,208.9488
18,222.5688
19,240.4488
20,248.1688
21,261.0488
22,281.5089
23,293.7888
24,311.7688
25,327.2088
26,339.7688
27,344.7088
28,361.6689
29,371.6689
30,380.6689
