InteractionNumber,ElapsedTime,SplitTime
0,0.9344044
1,2.872785,1.93838
2,3.875668,1.002883
3,4.910808,1.03514
4,5.946303,1.035496
5,6.860664,0.914361
6,8.051986,1.191321
7,8.965005,0.9130192
8,10.00097,1.035963
9,10.70233,0.7013626
10,11.68298,0.980648
11,12.79659,1.113607
12,13.95481,1.158224
13,14.94624,0.9914341
14,16.19369,1.247443
15,17.10757,0.9138832
16,18.19862,1.091045
17,19.46857,1.269958
18,20.66013,1.191555
19,21.88548,1.225353
20,23.08773,1.202251
21,24.17965,1.091919
22,25.26057,1.080921
23,26.39711,1.136539
24,27.30904,0.9119263
25,28.34539,1.03635
26,29.28118,0.9357872
27,30.32804,1.04686
28,31.37543,1.04739
29,33.54644,2.171009
30,34.70437,1.157932
31,35.70733,1.00296
32,37.43373,1.726406
33,38.66962,1.235882
34,40.11852,1.448902
35,40.98606,0.8675385
36,42.05602,1.069962
37,43.15839,1.102375
38,44.71748,1.559086
39,45.7199,1.002422
