InteractionNumber,ElapsedTime,SplitTime
0,1.277466
1,3.194685,1.917219
2,4.309654,1.114969
3,5.746788,1.437134
4,6.804523,1.057735
5,8.007578,1.203054
6,9.645252,1.637674
7,10.69954,1.054291
8,11.79367,1.094124
9,12.76318,0.9695129
10,13.82197,1.058792
11,15.3811,1.559132
12,16.37985,0.9987488
13,17.38613,1.006279
14,18.38845,1.002323
15,19.39049,1.002033
16,21.30664,1.916157
17,22.42035,1.113701
18,23.52287,1.10252
19,24.43565,0.9127884
20,25.49382,1.058163
21,26.672,1.178188
22,28.52467,1.852669
23,29.78238,1.257702
24,30.82898,1.046604
25,31.84367,1.014694
26,32.77839,0.9347115
27,33.93698,1.158592
28,35.03995,1.10297
29,37.61298,2.573032
30,39.39445,1.781475
31,40.64213,1.247677
32,41.78888,1.146751
33,43.07,1.28112
34,44.66278,1.592777
35,45.77633,1.113548
36,46.97937,1.203041
37,48.13755,1.15818
38,49.10641,0.9688644
39,50.2423,1.135887
