InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.577454
1,2.64296,1.065506
2,3.695847,1.052887
3,4.873459,1.177612
4,5.773026,0.8995667
5,6.478394,0.705368
6,7.542145,1.063751
7,8.331612,0.7894669
8,9.723335,1.391724
9,10.95045,1.227112
10,11.7649,0.8144531
11,12.59376,0.8288574
12,13.36768,0.7739182
13,14.083,0.7153244
14,15.14792,1.064919
15,15.72424,0.5763245
16,16.70197,0.9777222
17,17.50402,0.8020554
18,18.1679,0.6638794
19,19.22059,1.052689
20,20.0479,0.8273087
21,21.81443,1.766533
22,22.37782,0.5633926
23,23.29219,0.9143677
24,23.85355,0.5613556
25,24.93315,1.079605
26,26.0361,1.102951
27,27.12633,1.090225
28,27.76569,0.6393585
29,28.49194,0.7262573
30,29.35577,0.8638306
31,30.19649,0.8407135
32,30.9111,0.7146149
33,32.2399,1.328796
34,33.07852,0.838623
35,33.62953,0.5510101
36,34.29369,0.6641541
37,35.14665,0.8529663
38,35.8232,0.6765442
39,36.64952,0.8263245
40,37.71396,1.064438
41,38.59174,0.8777771
42,39.25641,0.6646729
43,39.9203,0.6638947
44,40.55904,0.6387329
45,41.28595,0.7269135
46,41.92513,0.6391754
47,42.62662,0.7014923
48,43.16653,0.539917
49,44.13058,0.9640503
50,44.8945,0.763916
51,45.54652,0.6520233
