InteractionNumber,ElapsedTime,SplitTime,missCount
0,0.02453613
1,1.55481,1.530273
2,2.444595,0.8897858
3,3.246948,0.8023529
4,3.873932,0.6269836
5,5.114334,1.240402
6,5.791611,0.6772766
7,6.580627,0.7890167
8,7.182159,0.601532
9,7.858795,0.6766357
10,9.174698,1.315903
11,10.07629,0.9015961
12,10.74092,0.6646271
13,11.32941,0.5884857
14,12.48203,1.152618
15,13.22136,0.7393341
16,13.7849,0.5635376
17,14.46194,0.6770477
18,15.1136,0.6516571
19,16.16585,1.052246
20,16.62968,0.4638367
21,17.30641,0.6767273
22,17.99541,0.6889954
23,18.87306,0.877655
24,20.21364,1.340576
25,21.12766,0.9140167
26,21.99284,0.8651886
27,22.55713,0.5642853
28,23.06966,0.5125275
29,23.63435,0.5646973
30,24.43585,0.8014984
31,25.14961,0.7137604
32,25.88954,0.7399292
33,26.70338,0.8138428
34,27.66876,0.9653778
35,28.60814,0.9393768
36,29.32283,0.7146912
37,29.91147,0.5886383
38,30.57593,0.6644592
39,31.36479,0.7888641
40,31.94197,0.577179
41,32.54346,0.6014862
42,33.70842,1.164963
43,34.24657,0.538147
44,35.30013,1.053558
45,36.40224,1.102112
46,37.06592,0.663681
47,38.00595,0.940033
48,38.54483,0.5388794
49,39.19646,0.6516266
50,39.9734,0.776947
51,40.56232,0.588913
52,41.11322,0.5509033
53,41.70218,0.5889587
54,42.41641,0.7142334
55,43.15579,0.7393799
56,43.70692,0.5511322
57,44.43398,0.7270508
58,45.11032,0.6763458
59,45.63675,0.5264282
60,46.20073,0.5639801
