InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.552521
1,2.40509,0.8525696
2,3.897095,1.492004
3,4.498047,0.6009521
4,5.161926,0.6638794
5,5.915161,0.7532349
6,6.654053,0.7388916
7,7.418335,0.7642822
8,8.595978,1.177643
9,9.623169,1.027191
10,10.1376,0.5144348
11,10.70074,0.5631409
12,12.76901,2.068268
13,14.15927,1.390259
14,14.74847,0.5892029
15,16.08954,1.341064
16,16.77832,0.6887817
17,17.36725,0.5889282
18,18.24387,0.8766174
19,19.03336,0.7894897
20,19.64752,0.6141663
21,20.41196,0.7644348
22,21.26263,0.8506775
23,22.37854,1.115906
24,22.93002,0.5514832
25,24.28326,1.353241
26,25.05963,0.7763672
27,25.74908,0.6894531
28,26.33875,0.5896606
29,27.12827,0.7895203
30,27.81671,0.688446
31,28.69543,0.8787231
32,30.19785,1.502411
33,31.16263,0.9647827
34,31.65112,0.4884949
35,32.41562,0.7644958
36,33.6062,1.190582
37,34.21985,0.6136475
38,34.77176,0.5519104
39,35.63611,0.8643494
40,36.63821,1.002106
41,37.18982,0.5516052
42,37.9541,0.7642822
43,38.55594,0.6018372
44,39.08142,0.5254822
45,39.9205,0.8390808
46,40.66013,0.739624
47,41.39911,0.7389832
48,42.55286,1.153748
49,43.60486,1.052002
50,44.29413,0.68927
51,44.94522,0.6510925
