index,start_time,end_time,posY_change
0,0.9335428,1.635117,0.035151600000000005
1,1.635117,2.224302,0.015801399999999965
2,2.224302,3.302794,0.007365200000000044
3,3.302794,4.255371,0.032737899999999986
4,4.255371,4.881674,0.052383999999999986
5,4.881674,5.595928,0.020525000000000015
6,5.595928,6.849242,0.03236459999999999
7,6.849242,7.524964,0.05342570000000002
8,7.524964,8.189471,0.056941200000000025
9,8.189471,9.029863,0.02995439999999998
10,9.029863,9.681859,0.03145680000000001
11,9.681859,10.38311,0.02065309999999998
12,10.38311,11.36069,0.04051519999999997
13,11.36069,12.4755,0.055664399999999975
14,12.4755,13.13957,0.036648299999999995
15,13.13957,13.86718,0.0445516
16,13.86718,14.58219,0.04008829999999999
17,14.58219,15.23341,0.03966569999999997
18,15.23341,15.94641,0.05346799999999999
19,15.94641,16.88647,0.03301459999999998
20,16.88647,17.70135,0.040409099999999976
21,17.70135,18.28982,0.032155300000000026
22,18.28982,19.01727,0.038549500000000014
23,19.01727,19.86914,0.042888399999999965
24,19.86914,20.53426,0.043151799999999976
25,20.53426,21.4234,0.07040510000000001
26,21.4234,22.09966,0.014163399999999993
27,22.09966,22.6766,0.017626800000000026
28,22.6766,23.52779,0.005986800000000042
29,23.52779,24.41903,0.06100600000000002
30,24.41903,25.12727,0.06428289999999999
31,25.12727,25.95898,0.034156900000000046
32,25.95898,26.89902,0.034195400000000015
33,26.89902,27.48752,0.041682599999999986
34,27.48752,28.25307,0.04849079999999999
35,28.25307,29.00387,0.03424390000000001
36,29.00387,29.60657,0.029476399999999986
37,29.60657,30.33488,0.030808100000000005
38,30.33488,31.03517,0.022710800000000003
39,31.03517,31.7494,0.027351800000000037
40,31.7494,32.45139,0.04488369999999997
41,32.45139,33.67947,0.10990517999999999
42,33.67947,34.14293,0.04153190000000001
43,34.14293,34.71951,0.03087010000000001
44,34.71951,35.43037,0.04964829999999999
45,35.43037,36.32135,0.04934709999999998
46,36.32135,36.94852,0.04255630000000002
47,36.94852,37.53784,0.029433100000000018
48,37.53784,38.22528,0.037553299999999984
49,38.22528,39.15411,0.0690793
50,39.15411,40.00497,0.041997099999999996
51,40.00497,40.70699,0.028705499999999995
52,40.70699,41.47269,0.02079729999999999
53,41.47269,42.35077,0.04310240000000001
54,42.35077,42.98004,0.059200699999999995
55,42.98004,43.64127,0.02718439999999997
56,43.64127,44.43178,0.030364399999999986
57,44.43178,45.08343,0.058204900000000004
58,45.08343,45.5589,0.02296289999999998
