index,start_time,end_time,posZ_change
0,0.9335428,1.635117,0.0454070000000002
1,1.635117,2.224302,0.04015200000000019
2,2.224302,3.302794,0.028742999999999963
3,3.302794,4.255371,0.05334800000000017
4,4.255371,4.881674,0.03914899999999988
5,4.881674,5.595928,0.042320000000000135
6,5.595928,6.849242,0.03832900000000006
7,6.849242,7.524964,0.03576400000000013
8,7.524964,8.189471,0.04002899999999987
9,8.189471,9.029863,0.04061800000000049
10,9.029863,9.681859,0.007533000000000012
11,9.681859,10.38311,0.011303000000000063
12,10.38311,11.36069,0.03764400000000023
13,11.36069,12.4755,0.06357600000000008
14,12.4755,13.13957,0.02478899999999995
15,13.13957,13.86718,0.029387000000000052
16,13.86718,14.58219,0.034553000000000056
17,14.58219,15.23341,0.04840600000000017
18,15.23341,15.94641,0.028950000000000253
19,15.94641,16.88647,0.03881800000000002
20,16.88647,17.70135,0.047220999999999735
21,17.70135,18.28982,0.012677999999999967
22,18.28982,19.01727,0.01729999999999987
23,19.01727,19.86914,0.05749000000000004
24,19.86914,20.53426,0.029547000000000212
25,20.53426,21.4234,0.071496
26,21.4234,22.09966,0.009279999999999955
27,22.09966,22.6766,0.026794999999999902
28,22.6766,23.52779,0.026336999999999833
29,23.52779,24.41903,0.04908100000000015
30,24.41903,25.12727,0.03731200000000001
31,25.12727,25.95898,0.03253400000000006
32,25.95898,26.89902,0.028334999999999777
33,26.89902,27.48752,0.023671999999999915
34,27.48752,28.25307,0.036973000000000145
35,28.25307,29.00387,0.009380000000000166
36,29.00387,29.60657,0.027035000000000142
37,29.60657,30.33488,0.012142000000000097
38,30.33488,31.03517,0.016920000000000046
39,31.03517,31.7494,0.04222900000000007
40,31.7494,32.45139,0.022271999999999847
41,32.45139,33.67947,0.07373800000000008
42,33.67947,34.14293,0.03843899999999989
43,34.14293,34.71951,0.03771900000000006
44,34.71951,35.43037,0.03763400000000017
45,35.43037,36.32135,0.051885999999999655
46,36.32135,36.94852,0.05072499999999991
47,36.94852,37.53784,0.019238999999999784
48,37.53784,38.22528,0.012209000000000136
49,38.22528,39.15411,0.06039300000000014
50,39.15411,40.00497,0.0315700000000001
51,40.00497,40.70699,0.031446000000000085
52,40.70699,41.47269,0.023645000000000138
53,41.47269,42.35077,0.04266300000000012
54,42.35077,42.98004,0.026080000000000103
55,42.98004,43.64127,0.042013999999999996
56,43.64127,44.43178,0.016095999999999888
57,44.43178,45.08343,0.022279999999999855
58,45.08343,45.5589,0.009077000000000002
