InteractionNumber,ElapsedTime,SplitTime,missCount
0,4.961929
1,5.500273,0.5383434
2,6.114292,0.6140194
3,7.041553,0.9272614
4,7.555794,0.5142403
5,8.069756,0.5139618
6,9.447542,1.377787
7,9.974409,0.5268669
8,10.45035,0.4759407
9,10.97737,0.5270157
10,11.54072,0.5633545
11,12.1036,0.5628815
12,12.63081,0.5272064
13,13.20766,0.5768547
14,13.66993,0.4622688
15,14.15906,0.4891319
16,14.63485,0.4757881
17,15.2119,0.5770493
18,15.64957,0.4376717
19,16.13946,0.4898834
20,16.64017,0.5007133
21,17.01625,0.3760834
22,17.71559,0.6993408
23,18.20574,0.4901466
24,18.60582,0.4000778
25,19.09541,0.4895935
26,19.59606,0.5006485
27,20.08462,0.4885635
28,20.59906,0.5144348
29,21.06219,0.4631348
30,21.55184,0.4896469
31,22.01521,0.4633751
32,22.91776,0.9025421
33,23.51523,0.5974693
34,23.91999,0.4047623
35,24.40891,0.4889183
36,24.87274,0.463829
37,25.36051,0.4877701
38,25.84986,0.4893532
39,26.37621,0.5263481
40,26.89005,0.5138435
41,27.35287,0.462822
42,27.7751,0.4222298
43,28.1667,0.3916016
44,28.74353,0.576828
45,29.18207,0.4385338
46,29.70941,0.5273476
47,30.14732,0.4379082
48,30.51112,0.3638
49,32.00116,1.490038
50,32.49106,0.4898987
51,33.16637,0.6753082
