InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.250015
1,1.71381,0.4637947
2,3.243572,1.529762
3,3.83287,0.5892982
4,4.447212,0.6143417
5,5.086185,0.6389732
6,6.552078,1.465893
7,7.316227,0.7641487
8,7.930347,0.6141205
9,9.14616,1.215813
10,9.609612,0.4634514
11,10.16153,0.5519142
12,10.78769,0.6261597
13,11.87713,1.089443
14,12.35432,0.4771919
15,13.18087,0.8265457
16,13.79498,0.614109
17,14.57182,0.7768478
18,15.44832,0.8764954
19,16.08832,0.6399994
20,17.27754,1.189224
21,18.20536,0.9278221
22,18.68095,0.4755821
23,19.6464,0.9654579
24,20.1597,0.5132942
25,20.76097,0.6012764
26,21.51346,0.7524872
27,22.27797,0.7645035
28,22.75369,0.4757271
29,23.45533,0.7016335
30,24.50793,1.052605
31,25.07185,0.5639153
32,25.68604,0.6141891
33,27.06437,1.378338
34,28.01583,0.9514618
35,28.9935,0.9776688
36,29.4701,0.4766006
37,30.69617,1.226067
38,31.09774,0.4015732
39,32.86528,1.767532
40,33.56694,0.7016678
41,34.43183,0.8648834
42,35.29636,0.8645325
43,35.96015,0.6637878
44,36.47441,0.514267
45,37.23843,0.7640152
46,38.02772,0.7892914
47,40.47184,2.444122
48,40.98637,0.5145264
49,41.97483,0.9884644
50,42.67633,0.7014999
51,43.45356,0.7772293
