InteractionNumber,ElapsedTime,SplitTime,missCount
0,0.8506088
1,1.891602,1.040993
2,2.430534,0.5389328
3,3.044533,0.6139984
4,3.62162,0.5770874
5,4.248169,0.6265488
6,4.786873,0.5387039
7,5.36364,0.576767
8,5.814278,0.4506378
9,6.603096,0.7888184
10,6.966866,0.3637695
11,7.392654,0.4257889
12,7.844322,0.4516678
13,8.307899,0.4635773
14,8.758957,0.4510574
15,9.285889,0.5269318
16,9.775307,0.489418
17,10.34973,0.5744247
18,10.77683,0.4271011
19,11.28954,0.5127106
20,11.70388,0.4143372
21,12.15391,0.4500275
22,12.66719,0.5132828
23,13.08128,0.4140854
24,13.50694,0.4256592
25,13.98386,0.4769211
26,14.39888,0.4150238
27,14.8109,0.4120178
28,15.22484,0.4139404
29,15.7397,0.5148621
30,16.1638,0.4241028
31,16.64085,0.4770432
32,17.10477,0.4639282
33,17.57034,0.4655609
34,17.94405,0.3737183
35,18.26967,0.3256149
36,18.75838,0.4887161
37,19.43507,0.6766891
38,20.03722,0.6021423
39,20.58768,0.5504684
40,20.96272,0.3750381
41,21.46425,0.5015259
42,21.77901,0.3147659
43,22.22804,0.449028
44,22.6425,0.4144592
45,23.08071,0.4382095
46,23.53269,0.4519806
47,23.93272,0.4000244
48,24.27119,0.3384705
49,24.73496,0.4637756
50,25.18827,0.4533081
51,25.86156,0.6732941
52,26.6619,0.8003387
53,27.18792,0.5260162
