time,phase,posX,posY,posZ,rotX,rotY,rotZ
0,0,0.07830904,1.490076,-0.7547359,3.46269,-0.5923767,-0.1486816
0.01411057,0,0.0781698,1.490057,-0.7547717,3.483244,-0.6272888,-0.147644
0.02849197,0,0.07804392,1.490033,-0.7548282,3.501001,-0.6537781,-0.1466675
0.04196548,0,0.07787893,1.49002,-0.7549238,3.512302,-0.6646118,-0.1376038
0.05627823,0,0.07771585,1.490021,-0.7549932,3.507594,-0.6873474,-0.1400452
0.07051849,0,0.07760523,1.490021,-0.7550054,3.497359,-0.6984558,-0.1324463
0.0833931,0,0.07748792,1.490026,-0.7549965,3.493895,-0.7198486,-0.1131897
0.09790039,0,0.0773792,1.490034,-0.7550068,3.494617,-0.7424316,-0.1046143
0.111763,0,0.07728288,1.489985,-0.7550492,3.505665,-0.7581787,-0.09729004
0.1260185,0,0.07714508,1.489911,-0.75509,3.539451,-0.782196,-0.09854126
0.1389923,0,0.07699154,1.489832,-0.7551274,3.58005,-0.8032227,-0.114624
0.1532822,0,0.07683799,1.489756,-0.7551618,3.603251,-0.8424988,-0.1042175
0.1672096,0,0.0766897,1.489713,-0.7551982,3.615567,-0.8752747,-0.1078491
0.1804161,0,0.07653997,1.489691,-0.7552037,3.618046,-0.8961487,-0.1024475
0.195015,0,0.07640884,1.489725,-0.7551975,3.591431,-0.9376526,-0.08190918
0.2090759,0,0.07623384,1.489746,-0.7551553,3.590426,-0.963562,-0.06521606
0.222084,0,0.07606123,1.489765,-0.7551153,3.595991,-0.9896545,-0.06930542
0.2370682,0,0.07586334,1.489774,-0.7551098,3.584409,-1.012085,-0.1184998
0.2506104,0,0.07565448,1.489769,-0.7551038,3.58004,-1.033356,-0.1503296
0.2640839,0,0.07545278,1.48977,-0.7550712,3.582851,-1.057068,-0.1231689
0.2785339,0,0.07525489,1.489758,-0.7550111,3.607959,-1.097412,-0.08804321
0.2924576,0,0.07503698,1.489717,-0.7549407,3.629125,-1.113708,-0.04989624
0.3065796,0,0.0748162,1.489667,-0.7549162,3.673861,-1.134766,-0.03329468
0.319622,0,0.0745754,1.489574,-0.754873,3.717424,-1.139526,-0.01416016
0.3345299,0,0.07432554,1.489432,-0.7547812,3.756711,-1.151215,0.01182543
0.3481216,0,0.07406709,1.489264,-0.754642,3.804958,-1.167603,0.0457835
0.3617439,0,0.07380102,1.489056,-0.7544434,3.854711,-1.214417,0.08016919
0.3760643,0,0.07352636,1.488974,-0.7543356,3.945987,-1.241486,0.1178135
0.3896523,0,0.07319782,1.488831,-0.7542782,4.059246,-1.264954,0.1143364
0.4027863,0,0.07291029,1.488544,-0.7541957,4.166515,-1.302124,0.09731492
0.4180489,0,0.07260702,1.48832,-0.7540698,4.296759,-1.329041,0.1063519
0.4315376,0,0.07237957,1.488205,-0.7539742,4.390644,-1.373291,0.1371079
0.4456253,0,0.0720844,1.488007,-0.7538188,4.45014,-1.40152,0.1672856
0.4587097,0,0.07177303,1.487942,-0.7536783,4.511614,-1.436096,0.1749322
0.4730339,0,0.07145355,1.487823,-0.7534838,4.55997,-1.481689,0.1846018
0.4875641,0,0.07108829,1.487666,-0.7533205,4.628417,-1.517944,0.1965539
0.5003586,0,0.07072303,1.487495,-0.7532108,4.717631,-1.573975,0.2168136
0.5150642,0,0.07037351,1.487262,-0.7531068,4.813556,-1.647156,0.2540942
0.5290222,0,0.0699167,1.487029,-0.7529609,4.914934,-1.73288,0.2916341
0.5421257,0,0.06950901,1.48684,-0.7527986,5.035154,-1.855438,0.3569751
0.5571175,0,0.06906173,1.486584,-0.7525954,5.155208,-1.980835,0.4105024
0.5710449,0,0.06861398,1.486333,-0.7524414,5.283848,-2.123566,0.4380845
0.584568,0,0.06817196,1.486051,-0.7523398,5.395381,-2.287292,0.4580843
0.5976295,0,0.06766651,1.485829,-0.7521474,5.508578,-2.464996,0.4860743
0.6121941,0,0.06710146,1.485563,-0.7518578,5.603335,-2.664856,0.5055624
0.6262627,0,0.06642149,1.485278,-0.751605,5.722228,-2.887024,0.4970429
0.6395569,0,0.0657563,1.484974,-0.7513146,5.825364,-3.124268,0.4721883
