time,phase,posX,posY,posZ,rotX,rotY,rotZ
0.8763885,0,-0.1250423,1.48023,-0.6106998,12.11257,1.31591,0.7092264
0.8896179,0,-0.1267345,1.479196,-0.6077068,12.40692,1.320109,0.7242514
0.904541,0,-0.1284704,1.478107,-0.6046228,12.63522,1.327841,0.7232994
0.9184418,0,-0.1301583,1.476947,-0.601446,12.85026,1.346555,0.7422953
0.9319763,0,-0.131838,1.475736,-0.5981562,13.04987,1.370371,0.7726875
0.9453888,0,-0.1334584,1.47456,-0.594777,13.2497,1.380419,0.8301631
0.960022,0,-0.1350494,1.473366,-0.5912986,13.43035,1.388537,0.9049951
0.973999,0,-0.1366181,1.472312,-0.5875938,13.61482,1.404763,0.9880767
0.9870148,0,-0.1382489,1.47134,-0.5836035,13.77119,1.420959,1.034726
1.001328,0,-0.1398362,1.470408,-0.5794178,13.91337,1.457673,1.066701
1.015411,0,-0.1412362,1.469551,-0.5750256,14.02638,1.476524,1.109806
1.028595,0,-0.1424881,1.468773,-0.5703481,14.11832,1.470318,1.182794
1.043091,0,-0.1436586,1.467854,-0.565376,14.16427,1.446057,1.299239
1.057541,0,-0.1447953,1.466827,-0.56028,14.2296,1.397696,1.435838
1.070618,0,-0.1457868,1.465678,-0.5550495,14.32291,1.335041,1.542112
1.085114,0,-0.1465544,1.464532,-0.5497684,14.49538,1.280009,1.630117
1.099014,0,-0.1471796,1.463399,-0.5443414,14.71906,1.242922,1.684057
1.113022,0,-0.1476837,1.462402,-0.5386164,14.98365,1.220855,1.665804
1.126404,0,-0.1479929,1.461267,-0.5326184,15.1754,1.213411,1.61307
1.140656,0,-0.1481743,1.460011,-0.5264311,15.34928,1.215885,1.527307
1.155121,0,-0.1480994,1.458569,-0.5200758,15.49754,1.226401,1.443655
1.168182,0,-0.1478963,1.45722,-0.5134692,15.60682,1.233579,1.379289
1.182617,0,-0.1475606,1.45596,-0.5065325,15.68529,1.24291,1.334829
1.196335,0,-0.1471786,1.45465,-0.4993575,15.74163,1.24874,1.296601
1.209747,0,-0.1466265,1.453214,-0.4920211,15.80749,1.25762,1.262149
1.22406,0,-0.1458758,1.451526,-0.4845082,15.89787,1.284093,1.24448
1.23822,0,-0.1449358,1.44986,-0.4768495,16.00689,1.277324,1.224639
1.252533,0,-0.1439402,1.448236,-0.4689187,16.09804,1.283277,1.199017
1.26561,0,-0.1427234,1.446716,-0.4607123,16.16399,1.27991,1.151605
1.280014,0,-0.1413868,1.445265,-0.4523096,16.23075,1.28721,1.102637
1.293671,0,-0.1399412,1.443874,-0.4436701,16.28025,1.300049,1.052183
1.306976,0,-0.1383163,1.442559,-0.4346952,16.25709,1.306079,1.003685
1.32193,0,-0.1365388,1.441329,-0.4255696,16.23827,1.313674,0.9595399
1.335617,0,-0.1345132,1.44011,-0.416362,16.24418,1.321583,0.9016425
1.349091,0,-0.1323559,1.438945,-0.4071409,16.31664,1.355885,0.8517486
1.363297,0,-0.1299672,1.437933,-0.3978929,16.42992,1.379926,0.8037649
1.377594,0,-0.127466,1.437206,-0.3883791,16.54752,1.418535,0.762997
1.390503,0,-0.1249083,1.436669,-0.3785717,16.57435,1.427569,0.7485981
1.405151,0,-0.1222633,1.436508,-0.3685144,16.55879,1.386624,0.8055999
1.418976,0,-0.1194258,1.437083,-0.3581727,16.56559,1.275393,0.9227929
1.432663,0,-0.1166007,1.438552,-0.3475117,16.57246,1.143063,1.048196
1.445984,0,-0.1138446,1.439268,-0.3372449,16.4078,1.015628,1.004663
1.460373,0,-0.1111065,1.439789,-0.3275077,16.44725,0.9359637,0.9664242
1.474716,0,-0.1084508,1.440685,-0.3177192,16.49538,0.894864,0.9828477
1.487991,0,-0.1060395,1.441824,-0.3079539,16.61798,0.846639,0.9473715
1.502396,0,-0.103745,1.443072,-0.2981824,16.75617,0.7387153,0.8757161
1.516937,0,-0.1016199,1.444177,-0.2884598,16.77307,0.6283272,0.8278483
1.529785,0,-0.09968178,1.444836,-0.278731,16.58849,0.4893126,0.7895557
1.544403,0,-0.09786765,1.445574,-0.2688926,16.41918,0.3518683,0.7419287
1.558533,0,-0.09613307,1.44678,-0.2588536,16.29039,0.2144891,0.6782868
1.572327,0,-0.09455591,1.448087,-0.2487351,16.23592,0.07499824,0.5950851
1.585693,0,-0.09322356,1.449339,-0.2386829,16.31108,-0.06640625,0.4576748
1.600555,0,-0.09202152,1.450681,-0.2284488,16.4262,-0.2132568,0.3148718
1.614288,0,-0.09105268,1.452004,-0.2180582,16.49979,-0.3451233,0.1499793
1.627365,0,-0.09029697,1.453102,-0.2075323,16.52894,-0.4611816,0.02849635
1.64209,0,-0.08957927,1.454097,-0.1968853,16.55437,-0.6209717,-0.02072144
1.656082,0,-0.08890137,1.455029,-0.1859652,16.54229,-0.8054199,-0.0249939
1.669128,0,-0.08829264,1.455842,-0.174886,16.50896,-1.011597,0.007716903
1.683777,0,-0.08791082,1.45632,-0.163602,16.40948,-1.208099,0.07634653
1.697525,0,-0.08763905,1.45659,-0.1521562,16.27726,-1.424683,0.1597838
1.710678,0,-0.08749402,1.456544,-0.1404723,16.12941,-1.639862,0.2357699
1.725266,0,-0.08744363,1.456418,-0.128449,16.02032,-1.843994,0.2948147
1.739441,0,-0.0874254,1.45604,-0.1162169,15.94337,-2.048431,0.3559064
1.753571,0,-0.08747953,1.455446,-0.103862,15.93579,-2.246399,0.4273888
1.766388,0,-0.08765814,1.454666,-0.0913434,15.94901,-2.441895,0.4938261
1.781067,0,-0.08791973,1.453567,-0.07852888,15.97174,-2.615845,0.5622942
1.794968,0,-0.08824322,1.452191,-0.06550956,15.99422,-2.761688,0.6370226
1.808563,0,-0.08870164,1.450587,-0.05246866,16.05515,-2.893524,0.6775452
1.823151,0,-0.08944097,1.449174,-0.03939068,16.16129,-2.987244,0.6849488
1.836914,0,-0.0902651,1.447709,-0.0261898,16.22314,-3.082153,0.7230921
1.850235,0,-0.09119293,1.446092,-0.01266992,16.20346,-3.163818,0.782425
1.864761,0,-0.09219648,1.444394,0.001111865,16.03407,-3.243652,0.848183
1.878967,0,-0.09340531,1.442247,0.01480031,15.7963,-3.265808,0.8505491
1.892349,0,-0.09472738,1.440189,0.02845395,15.68752,-3.23819,0.7777506
1.905563,0,-0.0962164,1.438727,0.04216802,15.76629,-3.158142,0.6203278
1.920395,0,-0.09800165,1.437511,0.05571795,15.98998,-2.978424,0.395916
1.934082,0,-0.09977812,1.436478,0.06889379,16.3426,-2.788483,0.1226619
1.947479,0,-0.1013434,1.436151,0.08192897,16.84241,-2.573761,-0.04147339
1.96196,0,-0.1029178,1.43727,0.09561265,17.4059,-2.350983,-0.1063538
1.976028,0,-0.1041934,1.440891,0.1103204,17.90065,-2.179199,-0.07208252
1.989243,0,-0.1052176,1.443213,0.1250796,17.45266,-1.995178,-0.02175903
2.003967,0,-0.1062996,1.444341,0.1385434,17.13439,-1.751099,-0.1560974
2.018036,0,-0.1069381,1.445139,0.1519583,16.6333,-1.428375,-0.1648865
2.031769,0,-0.1074373,1.44694,0.1654758,16.30093,-1.114288,-0.09048462
2.045547,0,-0.1077061,1.448902,0.17919,16.10757,-0.8568115,-0.01165771
2.059631,0,-0.1077811,1.450836,0.1931431,15.88917,-0.6355591,0.08403623
2.074005,0,-0.1076641,1.452658,0.2072712,15.62181,-0.4337769,0.2559877
2.086914,0,-0.1074012,1.454155,0.221437,15.31683,-0.2484436,0.3641071
2.101318,0,-0.1070502,1.455505,0.2355533,15.16167,-0.03665161,0.4274958
2.115387,0,-0.1065517,1.456703,0.2495717,15.1374,0.16701,0.4710118
2.128494,0,-0.1060469,1.457809,0.2634715,15.28443,0.381704,0.4557165
2.143402,0,-0.1055708,1.458761,0.277446,15.51588,0.6108662,0.3975056
2.157013,0,-0.105049,1.459444,0.2914643,15.72254,0.8289236,0.2890503
2.170288,0,-0.1045127,1.45991,0.3056867,15.85393,1.052422,0.1854392
2.185074,0,-0.1037621,1.460017,0.3199652,15.89694,1.236364,0.03944612
2.199097,0,-0.1029288,1.459889,0.3343481,15.93241,1.449837,-0.09338379
2.212738,0,-0.1020654,1.459577,0.3488719,15.95201,1.652106,-0.1902161
2.22644,0,-0.1011917,1.459015,0.3636359,15.95486,1.85049,-0.2375183
2.240906,0,-0.1003506,1.45808,0.3785586,15.91636,2.04716,-0.261261
2.254822,0,-0.09934723,1.457111,0.3936146,15.92394,2.209777,-0.2714844
2.268036,0,-0.09830855,1.455992,0.4088413,15.96199,2.37973,-0.2538452
2.282471,0,-0.09726734,1.454612,0.4242115,16.0404,2.530489,-0.2307739
2.296509,0,-0.0960516,1.453112,0.4397032,16.15029,2.648205,-0.1785889
2.309479,0,-0.09473409,1.451687,0.4553469,16.27542,2.727379,-0.1282654
2.324295,0,-0.09334514,1.450368,0.4713231,16.38091,2.792753,-0.06237793
2.33783,0,-0.09184063,1.449007,0.4872442,16.50094,2.83054,-0.04498291
2.352158,0,-0.09027906,1.447623,0.5030816,16.56562,2.853623,-0.06201172
2.365372,0,-0.08857194,1.446275,0.5188665,16.49943,2.858456,-0.1069641
2.380112,0,-0.08669302,1.444945,0.5346754,16.32954,2.846128,-0.1072693
2.394226,0,-0.08447699,1.443747,0.5504317,16.16622,2.72701,-0.03149414
2.406891,0,-0.08216999,1.442672,0.5658165,16.08691,2.500847,0.1249409
2.421539,0,-0.07995214,1.441875,0.5806346,16.20745,2.167247,0.3257611
2.435165,0,-0.07763402,1.441491,0.5949941,16.437,1.780657,0.4880874
2.449158,0,-0.07552099,1.443097,0.6098506,16.97565,1.44458,0.5481246
2.463409,0,-0.07341561,1.448483,0.6262789,17.62955,1.150033,0.5114064
2.476974,0,-0.07142964,1.450454,0.6420859,16.88233,0.9008022,0.2658375
2.490295,0,-0.06956232,1.450938,0.6558102,16.59207,0.7753087,-0.06439209
2.505035,0,-0.0679186,1.450562,0.6696911,15.84603,0.8129642,-0.408783
2.519196,0,-0.06653129,1.452398,0.6836195,15.65754,0.9686967,-0.7007751
2.532669,0,-0.06558076,1.4558,0.6982114,15.71884,1.14776,-1.111267
2.546066,0,-0.06485255,1.459018,0.7128158,15.83317,1.22177,-1.465424
2.560867,0,-0.0642442,1.460802,0.7269125,15.85409,1.245727,-1.66095
2.574631,0,-0.06383693,1.46274,0.7413021,15.73875,1.250407,-1.676331
2.587906,0,-0.0634184,1.464903,0.7559329,15.53967,1.17222,-1.500031
2.602448,0,-0.06326453,1.466719,0.7704753,15.3771,1.102904,-1.40036
2.616577,0,-0.06318411,1.468232,0.784893,15.27458,1.023782,-1.214722
2.62999,0,-0.06324975,1.469301,0.7993625,15.11334,0.9564236,-0.9363708
2.644867,0,-0.06333937,1.469907,0.8139647,14.88344,0.8696656,-0.7004395
2.658569,0,-0.06335178,1.470132,0.828826,14.61945,0.7919858,-0.4316406
2.67218,0,-0.06338747,1.470049,0.8439407,14.33704,0.7157061,-0.1342468
2.685562,0,-0.06337078,1.46953,0.8590441,14.10495,0.6006636,0.168578
2.699799,0,-0.06342426,1.46873,0.8744075,13.94087,0.492908,0.4571803
2.714233,0,-0.06347874,1.467714,0.8899376,13.82983,0.3602366,0.7197384
2.727417,0,-0.06377055,1.466575,0.9057209,13.81707,0.2464877,0.9081177
2.741898,0,-0.06415315,1.465039,0.9214995,13.90835,0.1296925,1.003251
2.755951,0,-0.06461808,1.46316,0.9372344,14.03475,0.02401083,1.043698
2.769196,0,-0.06511374,1.461181,0.9530354,14.192,-0.1068726,1.043352
2.783829,0,-0.06582834,1.459176,0.969106,14.26853,-0.2146606,1.030029
2.797943,0,-0.06671774,1.457555,0.9854453,14.26716,-0.3414001,1.042548
2.81163,0,-0.06774041,1.455803,1.001955,14.1119,-0.4701538,1.068343
2.824844,0,-0.06887275,1.453785,1.018731,13.84303,-0.6002808,1.099735
2.839294,0,-0.0701821,1.451627,1.035596,13.42856,-0.723053,1.124458
2.853531,0,-0.07174827,1.449484,1.052386,13.04649,-0.7893677,1.088665
2.866699,0,-0.07355781,1.447651,1.0689,12.81331,-0.7786255,0.9149758
2.881317,0,-0.07555634,1.446064,1.085322,12.78031,-0.6383972,0.6211566
2.895386,0,-0.07765208,1.445088,1.101775,12.87338,-0.4431152,0.3312538
2.908722,0,-0.07948482,1.445169,1.118445,13.11309,-0.2793579,0.2090891
