time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
0.6792908,0,-0.006135024,1.444207,0.01014742,5.606633,-2.323273,1.252124,-0.04034362,-0.09769811,0.9943981,0,0
0.6951752,0,-0.007363826,1.44107,0.02894291,6.303803,-2.481995,1.194738,-0.04304341,-0.1098003,0.9930212,0,0
0.7117615,0,-0.008222647,1.440154,0.0387257,6.776336,-2.585205,1.195907,-0.04478975,-0.1179939,0.9920037,0,0
0.7276001,0,-0.009150639,1.439726,0.04886743,7.118847,-2.679901,1.240288,-0.04639571,-0.1239279,0.991206,0,0
0.7446442,0,-0.01108368,1.438949,0.06922886,7.673655,-2.889954,1.328475,-0.04996644,-0.1335305,0.9897843,0,0
0.760025,0,-0.0121991,1.438982,0.07951885,7.916987,-2.967987,1.387889,-0.05128442,-0.1377382,0.9891401,0,0
0.7762604,0,-0.01442263,1.439336,0.09967917,8.583135,-3.035034,1.315516,-0.05235381,-0.1492443,0.9874134,0,0
0.7922668,0,-0.01565558,1.440543,0.1096769,8.950651,-2.938385,1.125745,-0.05063776,-0.1555837,0.986524,0,0
0.8087006,0,-0.01826761,1.444666,0.1305119,9.636793,-2.786499,0.8849898,-0.04792817,-0.1674019,0.984723,0,0
0.8249817,0,-0.01956445,1.448378,0.1415184,9.412642,-2.634033,0.7326521,-0.04533738,-0.1635436,0.9854938,0,0
0.8408508,0,-0.02194325,1.452066,0.1627761,8.937909,-2.470398,0.5396334,-0.04257973,-0.1553641,0.9869392,0,0
0.8572235,0,-0.02276751,1.452467,0.1731982,8.271838,-2.382629,0.6695455,-0.04114021,-0.1438698,0.9887411,0,0
0.8729401,0,-0.02457609,1.454296,0.193846,7.707217,-2.311432,0.8016769,-0.03996672,-0.134111,0.99016,0,0
0.8900299,0,-0.02520805,1.454328,0.2038084,7.65777,-2.311737,0.9373316,-0.03997657,-0.1332557,0.9902751,0,0
0.9060364,0,-0.02572492,1.454866,0.2138831,7.789153,-2.297882,1.079438,-0.03972479,-0.135528,0.9899768,0,0
0.9223938,0,-0.02659442,1.456255,0.2343634,7.960756,-2.20752,1.181968,-0.03814783,-0.1384948,0.9896282,0,0
0.9385376,0,-0.02687144,1.456787,0.2447208,8.129062,-2.124054,1.15291,-0.03669076,-0.1414034,0.9892719,0,0
0.954422,0,-0.02736617,1.457242,0.2653001,8.386132,-1.945923,1.135259,-0.03359304,-0.1458436,0.9887372,0,0
0.9711151,0,-0.02749375,1.457543,0.2755997,8.734633,-1.861542,1.051592,-0.03210741,-0.1518583,0.9878806,0,0
0.9870148,0,-0.0275437,1.45814,0.2963371,9.267739,-1.702759,0.9530438,-0.02932647,-0.1610481,0.9865108,0,0
1.003265,0,-0.02744694,1.45841,0.3069896,9.592688,-1.620117,0.876018,-0.02787749,-0.1666429,0.9856231,0,0
1.019531,0,-0.02726454,1.458551,0.3284441,10.06563,-1.496338,0.7594823,-0.02571132,-0.1747761,0.9842724,0,0
1.035583,0,-0.02707458,1.458224,0.3395411,10.21654,-1.467224,0.6920016,-0.02519905,-0.1773688,0.9838218,0,0
1.051544,0,-0.02656011,1.457336,0.3618131,10.46043,-1.404541,0.6106162,-0.0241041,-0.1815564,0.9830851,0,0
1.068375,0,-0.02625222,1.45631,0.3732631,10.53103,-1.394165,0.5673453,-0.02392053,-0.182768,0.982865,0,0
1.08461,0,-0.02600531,1.45526,0.3847869,10.67689,-1.359009,0.4957739,-0.02330633,-0.1852702,0.9824112,0,0
1.100494,0,-0.02543623,1.453142,0.4079773,10.98739,-1.249054,0.2741615,-0.02139865,-0.1905929,0.9814359,0,0
1.116653,0,-0.02502938,1.451753,0.4199057,11.16715,-1.172699,0.1179558,-0.02007872,-0.1936719,0.9808609,0,0
1.132568,0,-0.02412841,1.44872,0.443839,11.49606,-1.049774,-0.0864563,-0.01795324,-0.1993005,0.9797739,0,0
1.149414,0,-0.02349894,1.446806,0.4561659,11.63297,-1.001343,-0.1440125,-0.01711671,-0.2016416,0.9793098,0,0
1.166061,0,-0.02227082,1.443089,0.48097,11.88208,-0.9166565,-0.2452087,-0.01565516,-0.2058982,0.9784482,0,0
1.181595,0,-0.02160984,1.441129,0.4937937,11.91177,-0.8927002,-0.2939453,-0.01524434,-0.2064051,0.9783478,0,0
1.197769,0,-0.02018114,1.437367,0.5194898,11.96745,-0.8448792,-0.414917,-0.01442494,-0.2073559,0.9781592,0,0
1.213882,0,-0.01923938,1.435777,0.532764,11.78679,-0.823761,-0.4884338,-0.01407357,-0.2042703,0.9788134,0,0
1.230194,0,-0.01700185,1.432487,0.5591205,11.47157,-0.7680054,-0.6161194,-0.01313601,-0.1988817,0.9799355,0,0
1.246704,0,-0.01542151,1.430452,0.5721704,11.1153,-0.70224,-0.7191162,-0.01202628,-0.192784,0.9811675,0,0
1.263992,0,-0.01366948,1.429089,0.5853352,10.90349,-0.6091309,-0.7480469,-0.01043898,-0.1891552,0.9818917,0,0
1.279205,0,-0.009921327,1.427419,0.6121725,10.62528,-0.5537109,-0.7230835,-0.009498217,-0.184385,0.9828082,0,0
1.294708,0,-0.007661681,1.428236,0.6259525,10.59425,-0.6147461,-0.6133728,-0.01054631,-0.1838527,0.9828972,0,0
1.311401,0,-0.003119008,1.429792,0.653192,10.52973,-0.7745972,-0.4324036,-0.01329135,-0.1827457,0.9830704,0,0
1.328033,0,-0.0006710477,1.43147,0.6664836,10.63896,-0.9476929,-0.2853699,-0.01625536,-0.1846196,0.9826756,0,0
1.343872,0,0.004320814,1.437153,0.6936514,11.23777,-1.188385,0.03484768,-0.02034213,-0.194881,0.9806159,0,0
1.359741,0,0.007053104,1.444797,0.7081731,11.49467,-1.456726,0.3561705,-0.02491226,-0.1992768,0.9796265,0,0
1.375931,0,0.01147361,1.449625,0.7341464,10.86612,-1.696411,0.08726703,-0.02907299,-0.1885148,0.9816399,0,0
1.392059,0,0.0134765,1.448634,0.7463073,10.02699,-1.549347,-0.2063599,-0.02662469,-0.174112,0.9843659,0,0
1.408295,0,0.01719794,1.452766,0.7710128,9.562359,-1.303467,-0.7593689,-0.02243157,-0.1661209,0.9858502,0,0
1.424866,0,0.01833175,1.455856,0.7831768,9.629852,-1.047546,-1.296295,-0.0180247,-0.1672824,0.9857442,0,0
1.440582,0,0.01928475,1.458741,0.7955702,9.749312,-0.8964844,-1.717834,-0.01542026,-0.1693377,0.9854375,0,0
1.457001,0,0.02130192,1.463399,0.8201581,9.602156,-0.7220764,-2.231476,-0.01242586,-0.1668058,0.9859115,0,0
1.473007,0,0.02189521,1.465084,0.8323734,9.537556,-0.7103271,-2.290039,-0.01222589,-0.1656941,0.9861014,0,0
1.489517,0,0.02292627,1.46885,0.856823,9.475703,-0.7148438,-2.296173,-0.01230608,-0.1646294,0.9862787,0,0
1.506058,0,0.02312075,1.470369,0.8690487,9.558883,-0.8726501,-2.101044,-0.01501842,-0.1660611,0.9860011,0,0
1.521667,0,0.02328632,1.472635,0.8936151,9.642338,-1.073944,-1.88385,-0.01847782,-0.1674973,0.9856994,0,0
1.538345,0,0.02321203,1.473052,0.9059802,9.738883,-1.230774,-1.695007,-0.02116981,-0.1691583,0.9853615,0,0
1.554108,0,0.02293678,1.473818,0.9309002,9.875228,-1.441315,-1.448608,-0.02478041,-0.1715032,0.9848719,0,0
