time,phase,posX,posY,posZ,rotX,rotY,rotZ
0,0,-0.1181259,1.514315,-0.7016096,-8.881836,-178.4974,0.4618962
0.01390076,0,-0.1179199,1.514607,-0.7011874,-9.128357,-178.5719,0.4404613
0.02844238,0,-0.1178708,1.514997,-0.7005513,-9.336639,-178.6409,0.4343028
0.04221344,0,-0.1177769,1.515293,-0.6999784,-9.545715,-178.6809,0.4246505
0.05555725,0,-0.1175642,1.515501,-0.6995406,-9.724426,-178.7102,0.4411007
0.06986237,0,-0.1173783,1.515689,-0.6991348,-9.912872,-178.7376,0.4783266
0.08383942,0,-0.117199,1.51597,-0.6986639,-10.0882,-178.7679,0.5184455
0.09764099,0,-0.1171189,1.516313,-0.6980948,-10.30807,-178.7876,0.5980191
0.1118622,0,-0.117013,1.516655,-0.6975615,-10.54489,-178.7962,0.655468
0.1257324,0,-0.1168356,1.51693,-0.6971545,-10.76993,-178.8069,0.7144288
0.1389847,0,-0.1166749,1.517208,-0.6967523,-10.98001,-178.8242,0.7912225
0.1524277,0,-0.1165343,1.517558,-0.6963143,-11.19424,-178.8325,0.8553698
0.1666794,0,-0.1164775,1.517971,-0.6958129,-11.44937,-178.8559,0.8946726
0.1806946,0,-0.116396,1.518339,-0.6953197,-11.72699,-178.8712,0.9151079
0.1938171,0,-0.11618,1.518679,-0.6948733,-11.96957,-178.8883,0.9297731
0.2085419,0,-0.1159024,1.51894,-0.694407,-12.15842,-178.8984,0.9387562
0.2224426,0,-0.1157184,1.519159,-0.6937673,-12.29111,-178.9287,0.9417841
0.2355576,0,-0.1155424,1.519419,-0.69311,-12.40625,-178.9444,0.9767172
0.2500687,0,-0.1153083,1.519759,-0.6924863,-12.54401,-178.9784,1.010815
0.2643433,0,-0.1149788,1.520017,-0.6919794,-12.71094,-179.0175,1.051458
0.278244,0,-0.1146302,1.520228,-0.6914072,-12.849,-179.0562,1.092653
0.2912598,0,-0.1142683,1.520407,-0.69082,-12.97711,-179.1027,1.119862
0.3059235,0,-0.1138563,1.520722,-0.6902061,-13.08301,-179.1443,1.148488
0.3197403,0,-0.1134114,1.521128,-0.6896038,-13.2814,-179.1964,1.15779
0.3327332,0,-0.1129942,1.521456,-0.6889474,-13.50986,-179.2505,1.192487
0.347374,0,-0.1125183,1.521746,-0.6882353,-13.74353,-179.2941,1.188975
0.3615036,0,-0.1120773,1.522039,-0.6874557,-13.92596,-179.342,1.192054
0.3745804,0,-0.1116834,1.522361,-0.6865759,-14.07443,-179.4002,1.188783
0.3890839,0,-0.1111965,1.522742,-0.6856484,-14.20367,-179.4134,1.170138
0.403038,0,-0.1107664,1.523157,-0.6846092,-14.4469,-179.386,1.151951
0.4166336,0,-0.1104512,1.523616,-0.6834323,-14.7103,-179.3331,1.102954
0.4314575,0,-0.1101089,1.524154,-0.6821296,-14.98105,-179.229,1.062565
0.4455109,0,-0.1098242,1.524706,-0.6807246,-15.24481,-179.1183,1.006107
