time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
0,0,0.03752066,1.508425,-0.1378877,-8.833069,-3.711639,0.2154444,-0.06396715,0.153556,0.9860673,0,0
0.01446533,0,0.03711611,1.508403,-0.1397279,-8.962311,-3.659454,0.1437109,-0.06304688,0.1557845,0.985777,0,0
0.03012085,0,0.03670133,1.508405,-0.1416507,-9.021729,-3.618225,0.08507951,-0.06232716,0.1568093,0.9856603,0,0
0.04623413,0,0.03585483,1.508409,-0.1455694,-9.090851,-3.533691,-0.01623535,-0.06086112,0.1580004,0.9855617,0,0
0.06170654,0,0.03534638,1.508301,-0.1475675,-9.083344,-3.500946,-0.03634644,-0.06029928,0.1578708,0.985617,0,0
0.07751465,0,0.03444462,1.508109,-0.1516478,-9.103119,-3.460236,-0.06390381,-0.05959564,0.1582117,0.9856051,0,0
0.09347534,0,0.03382714,1.507975,-0.1536541,-9.115479,-3.442963,-0.09716797,-0.0592962,0.1584249,0.9855889,0,0
0.1088562,0,0.03266216,1.507541,-0.1576934,-9.182617,-3.373779,-0.1687317,-0.05809555,0.1595819,0.9854738,0,0
0.124939,0,0.03209865,1.507273,-0.159801,-9.191406,-3.343231,-0.1982727,-0.05756862,0.159733,0.9854802,0,0
0.1409302,0,0.03156528,1.506923,-0.1619194,-9.182892,-3.308258,-0.1816711,-0.05696841,0.1595863,0.9855388,0,0
0.157135,0,0.03058157,1.506265,-0.166236,-9.123291,-3.252533,-0.1687317,-0.05601893,0.1585596,0.985759,0,0
0.1731567,0,0.03030037,1.505902,-0.1685262,-9.055328,-3.220062,-0.1463928,-0.05547105,0.157388,0.9859777,0,0
0.1886292,0,0.02967822,1.505053,-0.1732569,-8.958984,-3.107452,-0.1307678,-0.0535471,0.1557275,0.9863476,0,0
0.2049866,0,0.02960454,1.504311,-0.1758097,-9.006012,-2.99527,-0.1456909,-0.0516091,0.1565379,0.9863226,0,0
0.2213135,0,0.02931142,1.502932,-0.1806794,-9.18399,-2.775146,-0.1964111,-0.04779568,0.1596053,0.9860232,0,0
0.2372437,0,0.02922773,1.502584,-0.1831227,-9.482574,-2.618988,-0.242981,-0.04506945,0.1647474,0.9853055,0,0
0.2532043,0,0.02914378,1.502446,-0.1883371,-9.953674,-2.407959,-0.3623047,-0.04138202,0.1728519,0.9840781,0,0
0.2693176,0,0.02925342,1.502881,-0.191164,-10.30542,-2.310516,-0.4734192,-0.03966484,0.1788954,0.9830682,0,0
0.2855225,0,0.02966339,1.503055,-0.1971221,-10.87152,-2.101044,-0.6543579,-0.03600403,0.1886073,0.9813924,0,0
0.3032837,0,0.03019209,1.503003,-0.2006016,-11.06656,-2.005829,-0.6229553,-0.03435056,0.191949,0.9808035,0,0
0.3189697,0,0.03113209,1.503088,-0.2078815,-11.23914,-1.874725,-0.5308533,-0.03208715,0.1949045,0.9802972,0,0
0.3361816,0,0.03167104,1.503008,-0.2121911,-11.06674,-1.850037,-0.4350891,-0.03168338,0.1919522,0.9808927,0,0
0.3526917,0,0.03275369,1.502725,-0.2206288,-10.97827,-1.758514,-0.3370056,-0.03012532,0.190437,0.9812371,0,0
0.3692627,0,0.03321861,1.502488,-0.2251964,-10.9455,-1.73764,-0.2860107,-0.02977123,0.189875,0.9813568,0,0
0.3856201,0,0.03455456,1.502356,-0.2343819,-11.09799,-1.690704,-0.2253113,-0.02895239,0.1924874,0.9808723,0,0
0.4030151,0,0.03530314,1.502432,-0.2391365,-11.3873,-1.714294,-0.2007141,-0.02932677,0.1974398,0.9798762,0,0
0.4189758,0,0.03688444,1.50233,-0.2487538,-11.96356,-1.791046,-0.1678467,-0.03057559,0.2072894,0.9778017,0,0
0.4361877,0,0.03782664,1.50203,-0.2536292,-12.39081,-1.898499,-0.1694641,-0.03235738,0.2145786,0.9761706,0,0
0.4522705,0,0.03876817,1.501773,-0.2586713,-12.73395,-1.999847,-0.2058716,-0.03403828,0.2204243,0.97481,0,0
0.468689,0,0.04073599,1.501032,-0.2689081,-13.28378,-2.156372,-0.2440186,-0.03662036,0.2297742,0.9725547,0,0
0.4848022,0,0.04181854,1.50015,-0.2740753,-13.47534,-2.265564,-0.2531738,-0.03844289,0.2330271,0.9717101,0,0
0.5008545,0,0.04405212,1.498324,-0.2844301,-13.74673,-2.47467,-0.1987915,-0.04194089,0.2376303,0.9704498,0,0
0.5169678,0,0.04534186,1.497183,-0.2895119,-13.72031,-2.608612,-0.1060791,-0.04421434,0.2371827,0.9704584,0,0
0.5331116,0,0.04816859,1.495098,-0.2999323,-13.72324,-2.852478,0.0540451,-0.04834403,0.2372321,0.9702494,0,0
0.5491333,0,0.0496761,1.493422,-0.3049236,-13.57773,-2.984344,0.1769952,-0.05060795,0.2347643,0.970734,0,0
0.5654297,0,0.05265622,1.489988,-0.3148871,-13.21951,-3.236084,0.413262,-0.05495418,0.2286824,0.9719487,0,0
0.5817261,0,0.0541578,1.488309,-0.3197236,-12.68057,-3.358154,0.5602711,-0.05714852,0.2195153,0.9739338,0,0
0.5976868,0,0.05580455,1.486695,-0.3246379,-12.16187,-3.492523,0.6651546,-0.05955091,0.2106742,0.9757408,0,0
0.6139526,0,0.05879475,1.482771,-0.3341968,-11.34979,-3.674408,0.7746693,-0.06283307,0.1967982,0.9784286,0,0
0.6300049,0,0.0599133,1.480696,-0.3391142,-10.75284,-3.722321,0.7907641,-0.06378114,0.1865726,0.9803686,0,0
0.6477661,0,0.06203692,1.477206,-0.3493984,-9.539856,-3.929596,0.8569334,-0.06758309,0.1657335,0.9838521,0,0
0.6627808,0,0.06276554,1.476239,-0.3549989,-8.77771,-4.10144,0.8326182,-0.0706846,0.1526016,0.9857568,0,0
0.678833,0,0.06420377,1.474871,-0.3660915,-7.497131,-4.416199,0.7739432,-0.07634263,0.1304767,0.9885078,0,0
0.6952209,0,0.06454919,1.475307,-0.3719468,-7.044342,-4.556061,0.689335,-0.07883488,0.1226373,0.9893155,0,0
0.7112427,0,0.0652559,1.47546,-0.3839152,-6.192017,-4.793365,0.5341851,-0.08307482,0.1078607,0.990689,0,0
0.7270203,0,0.06547368,1.476007,-0.3905511,-5.843872,-4.855499,0.4388286,-0.08420335,0.1018178,0.9912331,0,0
0.7436523,0,0.06589305,1.477608,-0.4041233,-4.997772,-4.949524,0.3767692,-0.08595014,0.08711713,0.9924833,0,0
0.7597961,0,0.0660287,1.47855,-0.4113865,-4.691681,-4.944672,0.4409779,-0.085905,0.08179355,0.9929401,0,0
0.7759094,0,0.06604634,1.479339,-0.418598,-4.539185,-4.916565,0.5364761,-0.0854363,0.07914077,0.9931955,0,0
0.7922363,0,0.06602113,1.480975,-0.433295,-4.166718,-4.894196,0.6771207,-0.08509039,0.07265905,0.9937204,0,0
0.8080139,0,0.0658337,1.481281,-0.4407819,-4.149841,-4.822693,0.7420296,-0.08385187,0.0723651,0.9938471,0,0
0.8244019,0,0.06548272,1.481801,-0.455818,-3.843018,-4.749512,0.8312042,-0.08261351,0.06702294,0.9943253,0,0
0.8404541,0,0.06516698,1.481407,-0.4633649,-3.690765,-4.686798,0.8684745,-0.08153932,0.06437153,0.9945892,0,0
0.8564758,0,0.06454749,1.480479,-0.4789267,-3.295959,-4.579926,0.8968332,-0.07971738,0.05749342,0.9951581,0,0
0.8725586,0,0.06420882,1.479464,-0.4869023,-2.99292,-4.496887,0.8655941,-0.07829817,0.05221233,0.9955618,0,0
0.8885498,0,0.06343688,1.477661,-0.5026951,-2.484589,-4.305359,0.8691583,-0.07500131,0.0433505,0.9962407,0,0
0.9050293,0,0.06281671,1.476594,-0.5104473,-2.276398,-4.170929,0.8554413,-0.0726747,0.03972012,0.9965644,0,0
0.9212341,0,0.06166811,1.474496,-0.5263631,-1.929321,-3.960022,0.8790223,-0.06902109,0.03366645,0.9970469,0,0
0.9377441,0,0.06080412,1.473081,-0.5344255,-1.840088,-3.843292,0.9046763,-0.06699321,0.03210997,0.9972366,0,0
0.9529724,0,0.05999959,1.471742,-0.5423927,-1.737305,-3.745605,0.8840814,-0.06529664,0.03031698,0.9974052,0,0
0.9702759,0,0.05833987,1.469153,-0.5583642,-1.47467,-3.533691,0.88213,-0.06161524,0.02573498,0.9977682,0,0
0.9858704,0,0.05730462,1.467768,-0.5664594,-1.372986,-3.433716,0.8683071,-0.05987685,0.02396064,0.9979181,0,0
1.002289,0,0.05504549,1.464875,-0.5829165,-1.159424,-3.235809,0.8548024,-0.056434,0.02023452,0.9982013,0,0
1.018707,0,0.05380439,1.463642,-0.5909669,-1.088623,-3.136108,0.8440241,-0.05469801,0.01899884,0.9983222,0,0
1.034424,0,0.05123297,1.46155,-0.6068561,-0.9481506,-2.943207,0.8470683,-0.05133896,0.01654743,0.9985442,0,0
1.050537,0,0.04974725,1.460412,-0.6146636,-0.9894409,-2.854828,0.8099869,-0.04979798,0.01726789,0.99861,0,0
1.066895,0,0.04688321,1.457189,-0.630903,-0.9849548,-2.663544,0.7591652,-0.04646406,0.01719007,0.998772,0,0
1.083252,0,0.04556741,1.456163,-0.6390591,-0.8027344,-2.580322,0.7433442,-0.04501547,0.01400982,0.9988881,0,0
1.099213,0,0.04309053,1.45599,-0.6550419,-0.4077148,-2.425385,0.7321874,-0.04231707,0.007115933,0.9990789,0,0
1.115601,0,0.04185578,1.455912,-0.6631513,-0.3382263,-2.304077,0.4710312,-0.04020208,0.005903232,0.9991741,0,0
1.131805,0,0.04075842,1.45523,-0.6715078,-0.2676392,-2.117035,0.2916768,-0.03694053,0.004671277,0.9993066,0,0
1.148743,0,0.03869279,1.455103,-0.6880836,-0.09512329,-1.813538,0.2039436,-0.03164709,0.001660201,0.9994977,0,0
1.164246,0,0.03768041,1.455228,-0.6963587,-0.07849121,-1.720581,0.1072209,-0.03002524,0.001370018,0.9995482,0,0
1.180511,0,0.03593253,1.45536,-0.7134736,0.05125623,-1.525879,-0.09402466,-0.0266287,-0.0008945898,0.999645,0,0
1.196381,0,0.03528839,1.455838,-0.7223818,0.08093269,-1.483154,-0.157959,-0.02588318,-0.001412541,0.9996639,0,0
1.212555,0,0.03406356,1.4569,-0.7403839,0.2946753,-1.463013,-0.208374,-0.02553106,-0.005143031,0.9996608,0,0
1.228973,0,0.03365592,1.457723,-0.7496455,0.5701692,-1.552155,-0.2380676,-0.02708539,-0.009951165,0.9995836,0,0
1.24469,0,0.0328257,1.459662,-0.7684884,1.038151,-1.645935,-0.3718262,-0.02871807,-0.01811816,0.9994233,0,0
1.261047,0,0.03250599,1.460768,-0.778331,1.180899,-1.704376,-0.5000916,-0.02973602,-0.02060912,0.9993453,0,0
1.277069,0,0.03220189,1.462042,-0.7880323,1.102878,-1.74881,-0.6524658,-0.03051214,-0.01924767,0.9993491,0,0
1.293549,0,0.031636,1.465051,-0.8072774,0.7735752,-1.796326,-0.794281,-0.031344,-0.01350102,0.9994175,0,0
1.309174,0,0.03139204,1.46663,-0.8166826,0.2022596,-1.812286,-0.8614502,-0.03162488,-0.00353009,0.9994936,0,0
1.325226,0,0.03111918,1.469664,-0.8359463,-0.6632996,-1.796265,-0.9872131,-0.03134368,0.01157636,0.9994416,0,0
1.341888,0,0.03112372,1.470647,-0.8456464,-1.312561,-1.751892,-0.9966736,-0.0305635,0.02290671,0.9992703,0,0
1.357452,0,0.03109324,1.472609,-0.8649642,-2.217285,-1.713745,-1.053436,-0.02988388,0.03868936,0.9988043,0,0
1.373535,0,0.03119536,1.473012,-0.8746345,-2.558258,-1.694244,-1.025482,-0.02953625,0.04463509,0.9985666,0,0
1.389343,0,0.0313943,1.473682,-0.8943274,-3.109222,-1.695648,-1.003235,-0.02954675,0.05423928,0.9980907,0,0
1.405731,0,0.03158768,1.473406,-0.9042413,-3.177887,-1.702148,-0.9943542,-0.02965805,0.05543624,0.9980217,0,0
1.421783,0,0.03184873,1.472782,-0.9139972,-3.191376,-1.709595,-1.018707,-0.02978748,0.05567135,0.9980047,0,0
1.437897,0,0.03236001,1.471552,-0.9336255,-3.362793,-1.703857,-1.069305,-0.0296823,0.05865807,0.9978368,0,0
1.45401,0,0.03272004,1.470668,-0.9433621,-3.337769,-1.715515,-1.057098,-0.02988638,0.05822185,0.9978562,0,0
1.469818,0,0.0336958,1.46886,-0.9631439,-3.397186,-1.781097,-1.006348,-0.03102634,0.05925743,0.9977605,0,0
1.486542,0,0.03436503,1.467888,-0.9728773,-3.3862,-1.841919,-0.973877,-0.03208576,0.05906585,0.9977383,0,0
1.502258,0,0.0356788,1.465502,-0.9921954,-3.435852,-1.882996,-0.9940491,-0.03279944,0.0599311,0.9976635,0,0
1.518494,0,0.03654578,1.464414,-1.001871,-3.376007,-1.919037,-0.9519653,-0.03342903,0.05888851,0.9977047,0,0
1.534515,0,0.0380095,1.46185,-1.021466,-3.336792,-1.961212,-0.887207,-0.03416478,0.05820505,0.9977199,0,0
1.550842,0,0.03881343,1.460759,-1.031099,-3.207031,-2.015839,-0.7679443,-0.03512092,0.05594407,0.997816,0,0
1.566742,0,0.03955138,1.460207,-1.040624,-3.033722,-2.093781,-0.6028442,-0.03648412,0.0529236,0.9979318,0,0
1.583252,0,0.04080072,1.459518,-1.060074,-2.878296,-2.214233,-0.3716125,-0.03858735,0.05021449,0.9979928,0,0
1.599213,0,0.04094476,1.458485,-1.069979,-2.980469,-2.353241,-0.3409729,-0.04100496,0.05199574,0.9978051,0,0
1.61499,0,0.04147588,1.457733,-1.089759,-2.926208,-2.576477,-0.2206421,-0.04489447,0.05104961,0.9976866,0,0
1.631287,0,0.04140092,1.458936,-1.099482,-2.907288,-2.700073,-0.1943665,-0.04704704,0.05072007,0.9976041,0,0
1.647217,0,0.04110555,1.460859,-1.119162,-2.895416,-2.96991,-0.1299438,-0.05174549,0.05051303,0.997382,0,0
1.663391,0,0.04073655,1.461904,-1.129445,-2.95816,-3.103882,-0.1639404,-0.05407421,0.05160665,0.9972025,0,0
1.679565,0,0.03972012,1.46379,-1.150371,-2.782928,-3.208649,-0.3766785,-0.05590636,0.0485524,0.9972548,0,0
1.695679,0,0.03893298,1.465442,-1.16092,-2.374115,-3.169525,-0.5946045,-0.05524274,0.04142426,0.9976133,0,0
1.712067,0,0.03739557,1.468599,-1.182422,-1.837708,-3.190277,-0.8513184,-0.05562356,0.0320683,0.9979367,0,0
1.728088,0,0.03652059,1.469475,-1.193856,-1.606384,-3.163483,-0.9509277,-0.0551637,0.02803284,0.9980837,0,0
1.744446,0,0.03567459,1.47057,-1.205137,-1.487854,-3.128265,-0.9071045,-0.05455298,0.0259651,0.9981732,0,0
1.760742,0,0.03400922,1.473624,-1.227227,-1.533539,-3.08493,-0.831665,-0.05379683,0.02676208,0.9981932,0,0
1.776794,0,0.03321402,1.474908,-1.237909,-1.965485,-3.05838,-0.7754211,-0.05332205,0.03429757,0.9979882,0,0
1.793427,0,0.03146374,1.476738,-1.260042,-2.629791,-2.981903,-0.6399536,-0.05196588,0.04588242,0.9975943,0,0
1.80896,0,0.03069643,1.476868,-1.271031,-3.119598,-2.94574,-0.4904175,-0.05131422,0.05442027,0.9971987,0,0
1.825989,0,0.02923249,1.477206,-1.293033,-3.794403,-2.890869,-0.2435608,-0.05032341,0.06617645,0.9965381,0,0
1.841431,0,0.02861731,1.476784,-1.303834,-4.117554,-2.846558,-0.1336365,-0.04953329,0.07180316,0.9961881,0,0
1.857483,0,0.0271729,1.475992,-1.325698,-4.636688,-2.72876,-0.00970459,-0.04745181,0.08083723,0.9955971,0,0
1.873718,0,0.02636063,1.475099,-1.336641,-4.755829,-2.602081,-0.07229614,-0.04524296,0.08290957,0.9955295,0,0
1.890015,0,0.02475539,1.472954,-1.358678,-4.962646,-2.405182,-0.08813477,-0.04180872,0.08650617,0.9953737,0,0
1.906769,0,0.02400369,1.471268,-1.36977,-4.823181,-2.322662,-0.02911377,-0.04038375,0.0840808,0.9956403,0,0
1.92276,0,0.02307637,1.469895,-1.380715,-4.720459,-2.283081,-0.03012085,-0.03970184,0.08229437,0.9958169,0,0
1.939301,0,0.02096616,1.467164,-1.402352,-4.765106,-2.133514,-0.03039551,-0.03709953,0.08307099,0.9958528,0,0
1.955261,0,0.01982456,1.465803,-1.412985,-4.777649,-2.074554,-0.0703125,-0.03607422,0.08328915,0.9958723,0,0
1.971008,0,0.01757657,1.463137,-1.434291,-4.75354,-2.001343,-0.005215486,-0.03480271,0.08287001,0.9959525,0,0
1.986816,0,0.01641434,1.46184,-1.444756,-4.804291,-2.029663,0.0923778,-0.03529247,0.0837527,0.9958614,0,0
2.003265,0,0.01389618,1.458391,-1.465716,-4.947784,-2.028687,0.18298,-0.03526774,0.08624761,0.9956493,0,0
2.019287,0,0.01268665,1.456811,-1.476211,-4.957611,-2.040741,0.1918704,-0.03547663,0.08641876,0.995627,0,0
2.035278,0,0.01044361,1.455646,-1.497077,-4.693085,-2.081085,0.2695808,-0.03619194,0.08181806,0.9959899,0,0
2.051636,0,0.009696636,1.45716,-1.507576,-4.505371,-2.122955,0.2018385,-0.03692975,0.07855267,0.9962257,0,0
2.06723,0,0.008719695,1.457469,-1.517776,-4.619049,-2.051117,-0.109436,-0.03567491,0.08053056,0.9961135,0,0
2.083679,0,0.007459938,1.456877,-1.53867,-4.640686,-1.96048,-0.1869202,-0.03409825,0.08090653,0.9961383,0,0
2.09967,0,0.007222351,1.456775,-1.549259,-4.628265,-1.912476,-0.1299438,-0.0332642,0.08069077,0.996184,0,0
2.116364,0,0.006890596,1.457536,-1.570564,-4.457733,-1.923096,-0.03549194,-0.03345646,0.07772344,0.9964134,0,0
2.132416,0,0.007096656,1.458619,-1.581496,-4.235992,-1.995087,0.101031,-0.0347188,0.07386458,0.9966637,0,0
2.148834,0,0.007388238,1.461108,-1.603411,-3.866516,-2.131683,0.1658692,-0.03711144,0.06743228,0.9970334,0,0
2.164459,0,0.007720999,1.463006,-1.61474,-3.522644,-2.265106,0.1244041,-0.03944853,0.0614432,0.9973307,0,0
2.180511,0,0.008520002,1.466398,-1.637341,-3.034454,-2.462677,-0.02194214,-0.04290814,0.05293636,0.9976756,0,0
2.196838,0,0.009104047,1.467772,-1.648889,-2.876465,-2.548401,-0.1897583,-0.04440704,0.05018271,0.9977523,0,0
2.213104,0,0.01053112,1.47112,-1.671838,-2.770325,-2.672638,-0.4764099,-0.04657485,0.04833229,0.9977449,0,0
2.22934,0,0.01143887,1.473102,-1.683156,-3.039459,-2.647186,-0.6012878,-0.04612083,0.05302389,0.9975276,0,0
2.245544,0,0.01245265,1.474507,-1.694491,-3.407196,-2.593262,-0.7037659,-0.04516576,0.05943163,0.9972101,0,0
2.261932,0,0.01444377,1.476713,-1.717295,-3.852295,-2.529907,-0.8918152,-0.04404136,0.06718481,0.9967681,0,0
2.278229,0,0.01562119,1.477053,-1.728679,-4.12323,-2.449921,-0.9200134,-0.04263531,0.07190186,0.9965001,0,0
2.294189,0,0.01798351,1.477909,-1.751422,-4.498871,-2.362152,-0.9900208,-0.04108866,0.07843959,0.9960718,0,0
2.310242,0,0.01923973,1.477748,-1.762729,-4.626465,-2.326965,-0.971405,-0.04046986,0.08065908,0.9959198,0,0
2.326691,0,0.02194026,1.477371,-1.785223,-4.849396,-2.295746,-0.9710388,-0.03991408,0.08453675,0.9956206,0,0
2.342865,0,0.02348948,1.476551,-1.796301,-4.886871,-2.33783,-0.9265747,-0.04064302,0.08518866,0.9955356,0,0
2.359467,0,0.02664105,1.47467,-1.81846,-4.991608,-2.421173,-0.8630676,-0.04208465,0.08700964,0.9953181,0,0
2.375336,0,0.02844913,1.473152,-1.829415,-4.960815,-2.565979,-0.8430481,-0.04460231,0.08647443,0.9952552,0,0
2.391235,0,0.03206005,1.470228,-1.851171,-4.9104,-2.747009,-0.8188171,-0.04774984,0.08559778,0.9951849,0,0
2.407715,0,0.03412628,1.468738,-1.861724,-4.843384,-2.885315,-0.802063,-0.05015736,0.08443231,0.995166,0,0
2.424133,0,0.03624593,1.467356,-1.872185,-4.859314,-3.035583,-0.7819519,-0.05276601,0.08470926,0.9950076,0,0
2.439941,0,0.04047758,1.464028,-1.892943,-5.073151,-3.298279,-0.7525635,-0.05730874,0.08842735,0.9944327,0,0
2.456848,0,0.04264016,1.461998,-1.903169,-5.277649,-3.464569,-0.6943054,-0.06017503,0.09198231,0.9939408,0,0
2.472565,0,0.04692893,1.458364,-1.923812,-5.551422,-3.806458,-0.557312,-0.06607517,0.09673892,0.9931141,0,0
2.489288,0,0.04883198,1.457421,-1.934315,-5.624878,-4.022034,-0.364624,-0.06980255,0.09801496,0.992734,0,0
2.504883,0,0.05266578,1.456787,-1.954972,-5.742523,-4.478668,-0.06893921,-0.07769597,0.100058,0.9919434,0,0
2.521179,0,0.05404371,1.456609,-1.965399,-6.136292,-4.755951,-0.09130859,-0.08243673,0.1068938,0.9908471,0,0
2.537781,0,0.0569722,1.454784,-1.986553,-6.557434,-5.176422,-0.01296997,-0.08963252,0.1141989,0.9894062,0,0
2.553772,0,0.05798016,1.45522,-1.997639,-6.524872,-5.345367,0.0747554,-0.09255531,0.1136344,0.9892021,0,0
2.569275,0,0.06007903,1.457478,-2.019677,-6.472076,-5.76413,0.1869436,-0.09979338,0.1127188,0.9886029,0,0
2.585724,0,0.06081101,1.459586,-2.031027,-6.210815,-5.921417,0.1398,-0.1025588,0.1081869,0.9888262,0,0
2.601837,0,0.0616428,1.461454,-2.042514,-5.845184,-6.006042,0.04199539,-0.1040896,0.1018406,0.9893401,0,0
2.61792,0,0.06302968,1.46498,-2.065604,-5.315186,-6.214447,-0.0652771,-0.1077847,0.09263441,0.9898492,0,0
2.633881,0,0.06340936,1.466756,-2.07749,-4.903076,-6.284912,-0.2950134,-0.1090719,0.08547016,0.9903526,0,0
2.649597,0,0.06406893,1.47065,-2.101275,-4.355743,-6.459473,-0.6225586,-0.1121756,0.07594872,0.9907817,0,0
2.666046,0,0.06421062,1.472601,-2.113311,-4.230377,-6.558105,-0.709137,-0.1138995,0.07376677,0.9907499,0,0
2.682098,0,0.06455915,1.476207,-2.137184,-4.171478,-6.816101,-0.7773132,-0.1183688,0.07274187,0.9903017,0,0
2.698181,0,0.06471643,1.477298,-2.148876,-4.445038,-6.935944,-0.7131958,-0.1203966,0.07750268,0.9896959,0,0
2.714172,0,0.06505911,1.479192,-2.17249,-4.746796,-7.139496,-0.616272,-0.1238592,0.08275241,0.9888433,0,0
2.730469,0,0.0651954,1.479245,-2.184138,-5.004547,-7.159668,-0.4956665,-0.1241598,0.08723503,0.9884201,0,0
2.746765,0,0.06541175,1.47921,-2.195902,-5.174133,-7.18576,-0.4617615,-0.1245771,0.09018292,0.988103,0,0
2.763123,0,0.06575936,1.478854,-2.219227,-5.388824,-7.169525,-0.4432983,-0.1242538,0.09391425,0.9877961,0,0
2.779053,0,0.06591971,1.478029,-2.230914,-5.455933,-7.061707,-0.4728088,-0.1223814,0.09508006,0.9879183,0,0
2.795197,0,0.06622072,1.476109,-2.25441,-5.507568,-6.956238,-0.4722595,-0.1205521,0.09597741,0.9880564,0,0
