time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
0,0,-0.04736902,1.629134,-0.05050266,3.031037,-0.1546021,2.338595'-0.002694792,-0.05287689,0.9985974'0,0
0.0268631,0,-0.0473121,1.629131,-0.05057472,3.038648,-0.1230164,2.337662'-0.002144252,-0.05300956,0.9985917'0,0
0.06117249,0,-0.04723659,1.629105,-0.05062345,3.038463,-0.1011047,2.351044'-0.001761984,-0.05300634,0.9985926'0,0
0.1022186,0,-0.04724917,1.629058,-0.05076817,3.02125,-0.09481812,2.339767'-0.001652346,-0.05270633,0.9986087'0,0
0.1485291,0,-0.04724629,1.629058,-0.05082494,3.014405,-0.09692383,2.326471'-0.00168945,-0.05258703,0.9986149'0,0
0.1893997,0,-0.04731671,1.629047,-0.05084297,3.009377,-0.1384277,2.327164'-0.002412938,-0.05249939,0.9986181'0,0
0.229744,0,-0.04736068,1.629015,-0.05093554,3.000865,-0.1289368,2.320764'-0.002247285,-0.05235104,0.9986262'0,0
0.2627487,0,-0.04742146,1.628979,-0.05092949,2.982313,-0.10495,2.337495'-0.00182907,-0.05202768,0.998644'0,0
0.3012848,0,-0.04749922,1.629066,-0.050984,2.944113,-0.1174316,2.411368'-0.002047122,-0.05136186,0.998678'0,0
0.3378067,0,-0.04753923,1.629061,-0.05102366,2.957041,-0.1072083,2.385688'-0.00186866,-0.0515872,0.9986668'0,0
0.3716965,0,-0.04762242,1.629079,-0.05121517,2.959029,-0.099823,2.369325'-0.001739688,-0.05162184,0.9986652'0,0
0.41008,0,-0.0476616,1.629128,-0.0512771,2.960879,-0.07559204,2.387486'-0.001317472,-0.05165408,0.9986641'0,0
0.4439087,0,-0.04767491,1.629155,-0.05144382,2.925759,-0.04321289,2.38045'-0.0007532904,-0.05104194,0.9986962'0,0
0.4685287,0,-0.04769906,1.629095,-0.05148318,2.909406,-0.04348755,2.378062'-0.0007579005,-0.05075689,0.9987108'0,0
0.5013275,0,-0.04781062,1.629121,-0.05170727,2.900453,-0.04315186,2.399236'-0.0007520212,-0.05060084,0.9987187'0,0
0.5392227,0,-0.04786424,1.629147,-0.05179253,2.914396,-0.02740479,2.419744'-0.0004775687,-0.05084388,0.9987065'0,0
0.5872116,0,-0.04788885,1.629264,-0.05211371,2.829361,-0.03329468,2.453911'-0.00058034,-0.04936159,0.9987808'0,0
0.6222229,0,-0.04787454,1.629398,-0.0524964,2.741519,0.009765467,2.485009'0.0001702445,-0.04783028,0.9988555'0,0
0.6604843,0,-0.04777662,1.62961,-0.05269164,2.633099,0.05604354,2.495935'0.0009771114,-0.04594006,0.9989437'0,0
0.6995926,0,-0.04765199,1.629763,-0.05310711,2.583093,0.1154271,2.474539'0.002012535,-0.0450682,0.9989819'0,0
0.7330093,0,-0.0475017,1.629863,-0.05343017,2.547166,0.1705145,2.443901'0.002973094,-0.04444179,0.9990075'0,0
0.7590179,0,-0.04739677,1.629905,-0.05373871,2.500863,0.2007642,2.442119'0.003500652,-0.04363444,0.9990414'0,0
0.7840652,0,-0.04730656,1.629944,-0.05400369,2.462637,0.2346584,2.443415'0.004091768,-0.04296789,0.9990681'0,0
0.8083878,0,-0.04720844,1.629994,-0.05419385,2.455864,0.2611936,2.426824'0.004554486,-0.04284979,0.9990711'0,0
0.8330765,0,-0.04710811,1.630082,-0.05446866,2.381148,0.278633,2.41577'0.004858844,-0.04154691,0.9991248'0,0
0.8616486,0,-0.0470197,1.63019,-0.05478379,2.340584,0.3002747,2.412476'0.005236386,-0.04083953,0.999152'0,0
0.8986359,0,-0.04690272,1.630378,-0.05519167,2.243671,0.3293785,2.419086'0.0057443,-0.03914943,0.9992169'0,0
0.9282913,0,-0.04682068,1.630501,-0.0554907,2.176775,0.3453152,2.405247'0.006022501,-0.03798275,0.9992602'0,0
0.9615097,0,-0.04670039,1.630771,-0.05583414,2.097734,0.3588711,2.398528'0.006259245,-0.03660418,0.9993103'0,0
1.002266,0,-0.04657657,1.630937,-0.05618158,2.006283,0.3804568,2.400197'0.006636104,-0.03500907,0.999365'0,0
1.039818,0,-0.04647415,1.631005,-0.05653739,1.973942,0.3930195,2.387602'0.00685536,-0.03444498,0.9993831'0,0
1.080132,0,-0.04635626,1.631134,-0.05670741,1.906188,0.3946099,2.41849'0.006883376,-0.03326312,0.9994229'0,0
1.122787,0,-0.0462013,1.63128,-0.05697295,1.874982,0.397485,2.394923'0.006933653,-0.03271877,0.9994406'0,0
1.157829,0,-0.04608364,1.631355,-0.05712819,1.863676,0.4194031,2.377574'0.007316027,-0.03252154,0.9994442'0,0
1.193398,0,-0.04598869,1.63141,-0.05733061,1.863477,0.4310254,2.384925'0.007518763,-0.03251807,0.9994429'0,0
1.219925,0,-0.04591762,1.631443,-0.05742854,1.838741,0.4335448,2.382753'0.007562817,-0.03208658,0.9994565'0,0
1.245987,0,-0.04584179,1.631479,-0.05735871,1.78598,0.4306783,2.37452'0.007513032,-0.03116619,0.999486'0,0
1.273628,0,-0.04579967,1.631439,-0.05742323,1.815242,0.4367499,2.368746'0.007618824,-0.03167664,0.9994691'0,0
1.313828,0,-0.04574421,1.631433,-0.0575546,1.920022,0.4300514,2.361882'0.007501529,-0.03350443,0.9994104'0,0
