time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
0,0,-0.03773224,1.498397,0.09518367,-3.683044,-1.721985,0.28837,-0.02998779,0.06423713,0.997484,0,0
0.0153656,0,-0.03803992,1.498457,0.09433335,-3.666687,-1.739532,0.303746,-0.03029358,0.06395228,0.9974931,0,0
0.03193665,0,-0.03880925,1.498684,0.09279865,-3.698456,-1.735626,0.3239052,-0.03022485,0.06450531,0.9974595,0,0
0.04647827,0,-0.03914566,1.498898,0.09205061,-3.74234,-1.747131,0.34583,-0.03042351,0.06526998,0.9974037,0,0
0.06243896,0,-0.03990684,1.499137,0.09052509,-3.8078,-1.746002,0.3511735,-0.03040125,0.0664098,0.9973292,0,0
0.07850647,0,-0.04024149,1.499136,0.08966881,-3.822937,-1.750275,0.3589623,-0.03047513,0.06667353,0.9973093,0,0
0.09384155,0,-0.04059163,1.499232,0.08884007,-3.812378,-1.742706,0.3730532,-0.03034416,0.06648968,0.9973256,0,0
0.1089478,0,-0.04119957,1.499261,0.08714414,-3.826721,-1.747681,0.3497617,-0.03043032,0.06673922,0.9973063,0,0
0.1255035,0,-0.04146156,1.499225,0.08628243,-3.838318,-1.740479,0.3468033,-0.03030447,0.06694142,0.9972966,0,0
0.1421661,0,-0.04190672,1.499379,0.08453566,-3.827545,-1.736206,0.3390204,-0.03023041,0.06675379,0.9973114,0,1
0.1569214,0,-0.04207232,1.49943,0.08369499,-3.837982,-1.755554,0.3414685,-0.0305668,0.06693535,0.997289,0,1
0.1729126,0,-0.04245615,1.499447,0.08188778,-3.888367,-1.78006,0.3240306,-0.03099127,0.06781256,0.9972166,0,1
0.1887817,0,-0.04264194,1.499634,0.08095437,-3.893707,-1.771118,0.3088746,-0.03083548,0.06790572,0.9972151,0,1
0.2054291,0,-0.04281444,1.499691,0.07997203,-3.892212,-1.776794,0.3108493,-0.0309343,0.06787977,0.9972138,0,1
0.2212677,0,-0.04301595,1.499889,0.07792044,-3.8685,-1.803101,0.3158951,-0.03139305,0.06746694,0.9972275,0,1
0.2375946,0,-0.04308081,1.500005,0.07685226,-3.800507,-1.827332,0.3407145,-0.03181743,0.06628267,0.9972935,0,1
0.2547302,0,-0.04314223,1.500203,0.07471949,-3.747437,-1.860474,0.3695873,-0.03239616,0.06535845,0.9973359,0,1
0.2694092,0,-0.04303274,1.500262,0.07369524,-3.778259,-1.897827,0.3968344,-0.03304547,0.06589516,0.9972792,0,1
0.2846527,0,-0.04278671,1.50043,0.07154649,-3.795013,-1.971405,0.4508978,-0.0343251,0.06618696,0.9972166,0,1
0.3019714,0,-0.0426093,1.500588,0.07042366,-3.783905,-2.027679,0.5010379,-0.03530505,0.06599373,0.9971952,0,1
0.3176117,0,-0.0421937,1.500771,0.06809273,-3.765503,-2.148468,0.5365918,-0.03740788,0.06567325,0.9971398,0,1
0.3338928,0,-0.04178394,1.500638,0.066834,-3.725922,-2.207428,0.570596,-0.03843602,0.06498384,0.9971458,0,1
0.3493347,0,-0.04108573,1.500519,0.06433046,-3.634583,-2.300018,0.6176196,-0.04005122,0.06339304,0.9971846,0,1
0.3674927,0,-0.04059582,1.50022,0.06304216,-3.596802,-2.39386,0.6392676,-0.04168626,0.06273464,0.9971593,0,1
0.3832855,0,-0.03959518,1.500078,0.06033835,-3.481659,-2.565125,0.6890082,-0.04467205,0.06072913,0.9971541,0,1
0.4007721,0,-0.03892306,1.500088,0.0588423,-3.408173,-2.674133,0.7064722,-0.04657308,0.05944869,0.9971443,0,1
0.4165802,0,-0.03760353,1.49968,0.05578905,-3.26001,-2.82016,0.7127909,-0.04912179,0.05686711,0.9971726,0,1
0.4338226,0,-0.03677063,1.499305,0.05399731,-3.145813,-2.886414,0.6896912,-0.05027998,0.05487699,0.9972264,0,1
0.449295,0,-0.03508469,1.498808,0.05052105,-2.956787,-3.02066,0.683067,-0.05262569,0.05158294,0.9972812,0,1
0.4673157,0,-0.03418484,1.498363,0.04874405,-2.944092,-3.032288,0.686443,-0.05282862,0.05136155,0.9972818,0,1
