time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ,,,,
0.3453732,6.38E+13,0.09597311,-0.006033889,0.01281325,-1.594513,3.590074,-2.423462,-0.7470104,1.549466,2.347263,-1.231412,1.212113,2.883245,15.80914,-95.40042,-5.721344,-0.2759254,1.250543,1.82638,8.331493,88.42062,4.787688,,-0.00064425,0.000122396,0.00067225
0.3653727,6.38E+13,0.09661736,-0.006156285,0.012141,-1.529266,3.605757,-2.55481,-0.7470302,1.549344,2.346332,-1.231167,1.21221,2.882972,15.8079,-95.39471,-5.728638,-0.2760496,1.250266,1.82559,8.362021,88.31139,4.725996,,0,0,0
0.3853731,6.38E+13,0.09661736,-0.006156285,0.012141,-1.529266,3.605757,-2.55481,-0.7470302,1.549344,2.346332,-1.231167,1.21221,2.882972,15.8079,-95.39471,-5.728638,-0.2760496,1.250266,1.82559,8.362021,88.31139,4.725996,,-0.00067749,3.447E-06,0.00051865
0.4053726,6.38E+13,0.09729485,-0.006159732,0.01162235,-1.557983,3.644295,-2.559479,-0.7469179,1.54934,2.345486,-1.231058,1.212125,2.882707,15.82887,-95.40817,-5.74054,-0.276226,1.249743,1.824833,8.379995,88.30223,4.773939,,-0.00056654,-1.8792E-05,0.0004364
0.4253731,6.38E+13,0.09786139,-0.00614094,0.01118595,-1.645721,3.696036,-2.587402,-0.7468259,1.549359,2.344777,-1.2311,1.21193,2.882461,15.8908,-95.42773,-5.617188,-0.2764384,1.248464,1.823342,8.451524,88.40204,4.992628,,0,0,0
0.4453726,6.38E+13,0.09786139,-0.00614094,0.01118595,-1.645721,3.696036,-2.587402,-0.7468259,1.549359,2.344777,-1.2311,1.21193,2.882461,15.8908,-95.42773,-5.617188,-0.2764384,1.248464,1.823342,8.451524,88.40204,4.992628,,-0.00062813,-0.000264388,0.00040397
0.465373,6.38E+13,0.09848952,-0.005876552,0.01078198,-1.697174,3.720534,-2.581451,-0.7466674,1.549623,2.344047,-1.23099,1.21188,2.88221,15.91135,-95.39841,-5.555206,-0.2765965,1.246937,1.821961,8.664958,88.4977,5.162608,,-0.00065297,-1.7272E-05,0.00038595
0.4853725,6.38E+13,0.09914249,-0.00585928,0.01039603,-1.757813,3.729545,-2.526276,-0.7464786,1.549641,2.343313,-1.230843,1.211798,2.881872,15.86761,-95.41949,-5.557495,-0.2766374,1.24521,1.820498,8.985655,88.54202,5.195699,,-0.00066608,-8.1451E-05,0.00028759
0.505373,6.38E+13,0.09980857,-0.005777829,0.01010844,-1.770172,3.739119,-2.473663,-0.7462109,1.549722,2.342638,-1.230611,1.211812,2.881378,15.84126,-95.49213,-5.565308,-0.2765108,1.243721,1.819211,9.050282,88.57091,5.428804,,0,0,0
0.5253725,6.38E+13,0.09980857,-0.005777829,0.01010844,-1.770172,3.739119,-2.473663,-0.7462109,1.549722,2.342638,-1.230611,1.211812,2.881378,15.84126,-95.49213,-5.565308,-0.2765108,1.243721,1.819211,9.050282,88.57091,5.428804,,-0.00057773,-0.000128264,0.00023606
0.545373,6.38E+13,0.1003863,-0.005649565,0.00987238,-1.790497,3.708942,-2.40921,-0.7459693,1.54985,2.342063,-1.230189,1.211885,2.880683,15.84047,-95.5799,-5.512604,-0.2763218,1.241477,1.817,9.357374,88.77819,5.844284,,-0.000527,0.000189475,0.000222537
0.5653725,6.38E+13,0.1009133,-0.00583904,0.009649843,-1.784485,3.622378,-2.344055,-0.745754,1.549661,2.341533,-1.229733,1.211792,2.880085,15.89003,-95.54617,-5.491699,-0.276045,1.239735,1.815088,9.696598,88.96248,6.132163,,-0.0006198,6.5355E-05,0.000254978
0.5853729,6.38E+13,0.1015331,-0.005904395,0.009394865,-1.759094,3.492924,-2.318268,-0.7454961,1.549596,2.340914,-1.229017,1.211469,2.879247,15.91788,-95.4455,-5.648041,-0.2758256,1.238974,1.813905,9.77409,89.11009,6.161516,,0,0,0
0.6053734,6.38E+13,0.1015331,-0.005904395,0.009394865,-1.759094,3.492924,-2.318268,-0.7454961,1.549596,2.340914,-1.229017,1.211469,2.879247,15.91788,-95.4455,-5.648041,-0.2758256,1.238974,1.813905,9.77409,89.11009,6.161516,,-0.000793,-0.000131417,0.000128905
0.6253729,6.38E+13,0.1023261,-0.005772978,0.00926596,-1.750916,3.350296,-2.272064,-0.7450265,1.549727,2.340263,-1.228207,1.211274,2.878045,15.71798,-95.45496,-6.005127,-0.2755269,1.238249,1.812891,9.931566,89.17327,6.072281,,-0.0008295,-0.000113444,1.9894E-05
0.6453733,6.38E+13,0.1031556,-0.005659534,0.009246066,-1.748474,3.249638,-2.252136,-0.744454,1.54984,2.339662,-1.227921,1.211132,2.877333,15.76064,-95.4285,-6.030792,-0.275268,1.237502,1.812373,10.16129,89.08945,6.06916,,0,0,0
0.6653728,6.38E+13,0.1031556,-0.005659534,0.009246066,-1.748474,3.249638,-2.252136,-0.744454,1.54984,2.339662,-1.227921,1.211132,2.877333,15.76064,-95.4285,-6.030792,-0.275268,1.237502,1.812373,10.16129,89.08945,6.06916,,-0.0007487,-0.000326772,5.1531E-05
0.6853733,6.38E+13,0.1039043,-0.005332762,0.009194535,-1.721283,3.155048,-2.226563,-0.743961,1.550167,2.339096,-1.227671,1.210904,2.876328,15.85225,-95.51611,-6.108429,-0.2747055,1.236581,1.812053,10.35416,88.98923,6.298712,,-0.0006563,-0.000340502,-2.3237E-05
0.7053728,6.38E+13,0.1045606,-0.00499226,0.009217772,-1.749542,3.008182,-2.177063,-0.7434805,1.550508,2.338648,-1.227539,1.210566,2.874973,15.95052,-95.64923,-6.116119,-0.2737197,1.235469,1.811584,10.46935,88.9645,6.620312,,-0.0007325,-0.000442378,1.7073E-05
0.7253733,6.38E+13,0.1052931,-0.004549882,0.009200699,-1.709869,2.84236,-2.108948,-0.7429746,1.55095,2.338118,-1.227443,1.210278,2.873763,15.99707,-95.67972,-6.205292,-0.2726139,1.23437,1.811299,10.7068,88.83978,6.718985,,0,0,0
0.7453728,6.38E+13,0.1052931,-0.004549882,0.009200699,-1.709869,2.84236,-2.108948,-0.7429746,1.55095,2.338118,-1.227443,1.210278,2.873763,15.99707,-95.67972,-6.205292,-0.2726139,1.23437,1.811299,10.7068,88.83978,6.718985,,-0.0007526,-0.000610893,5.1936E-05
0.7653732,6.38E+13,0.1060457,-0.003938989,0.009148763,-1.623779,2.688603,-2.103607,-0.7424792,1.551561,2.337549,-1.22757,1.209965,2.872447,16.03507,-95.81787,-6.333191,-0.2707937,1.232834,1.811216,11.00757,88.65939,7.212452,,-0.0007098,-0.000519729,5.288E-05
0.7853727,6.38E+13,0.1067555,-0.00341926,0.009095883,-1.584167,2.575908,-2.080536,-0.7420146,1.552081,2.33701,-1.227813,1.209778,2.871259,16.1152,-95.89972,-6.417145,-0.2696763,1.232286,1.811629,11.0116,88.58037,7.759252,,0,0,0
0.8053732,6.38E+13,0.1067555,-0.00341926,0.009095883,-1.584167,2.575908,-2.080536,-0.7420146,1.552081,2.33701,-1.227813,1.209778,2.871259,16.1152,-95.89972,-6.417145,-0.2696763,1.232286,1.811629,11.0116,88.58037,7.759252,,-0.0005982,-0.000466138,1.8938E-05
0.8253727,6.38E+13,0.1073537,-0.002953122,0.009076945,-1.659302,2.477314,-1.976196,-0.741605,1.552547,2.336574,-1.228134,1.209753,2.869758,16.09769,-96.09015,-6.617798,-0.2684435,1.231867,1.81196,11.17077,88.4692,7.966994,,-0.0005063,-0.000453721,6.0261E-05
0.8453732,6.38E+13,0.10786,-0.002499401,0.009016684,-1.77771,2.331596,-1.857208,-0.7412897,1.553001,2.336173,-1.22875,1.209969,2.868372,15.98128,-96.25018,-6.839233,-0.266817,1.231685,1.812477,11.38529,87.95958,8.302331,,-0.000348,-0.000127241,3.7889E-05
0.8653727,6.38E+13,0.108208,-0.00237216,0.008978795,-1.871857,2.137119,-1.781921,-0.7410704,1.553128,2.3359,-1.229531,1.210373,2.866956,16.01628,-96.58212,-6.9245,-0.2654557,1.232041,1.812768,11.22031,87.92944,8.931834,,0,0,0
0.8853731,6.38E+13,0.108208,-0.00237216,0.008978795,-1.871857,2.137119,-1.781921,-0.7410704,1.553128,2.3359,-1.229531,1.210373,2.866956,16.01628,-96.58212,-6.9245,-0.2654557,1.232041,1.812768,11.22031,87.92944,8.931834,,-0.000352,-0.000276145,7.0504E-05
0.9053726,6.38E+13,0.10856,-0.002096015,0.008908291,-1.832489,1.937571,-1.803986,-0.7408714,1.553404,2.335602,-1.230179,1.210721,2.866029,16.20812,-96.54108,-6.583435,-0.2646419,1.232546,1.813032,11.02847,88.04621,9.06636,,-0.0001793,-0.000078757,0.000146511
0.9253731,6.38E+13,0.1087393,-0.002017258,0.00876178,-1.771881,1.778874,-1.823669,-0.7408482,1.553483,2.335371,-1.230655,1.211193,2.865344,16.11496,-96.66174,-6.641052,-0.2643326,1.232817,1.813496,11.07162,87.86375,8.899343,,0,0,0
0.9453726,6.38E+13,0.1087393,-0.002017258,0.00876178,-1.771881,1.778874,-1.823669,-0.7408482,1.553483,2.335371,-1.230655,1.211193,2.865344,16.11496,-96.66174,-6.641052,-0.2643326,1.232817,1.813496,11.07162,87.86375,8.899343,,-9.06E-05,-0.000284757,0.000124818
0.965373,6.38E+13,0.1088299,-0.001732501,0.008636962,-1.859589,1.620583,-1.75589,-0.7408724,1.553768,2.335219,-1.231445,1.211969,2.86414,15.92736,-96.89032,-6.816528,-0.2629971,1.233184,1.814628,11.05394,87.48721,8.99509,,-4.69E-05,-0.000155894,0.000196587
0.9853725,6.38E+13,0.1088768,-0.001576607,0.008440375,-1.905975,1.542804,-1.754059,-0.7409782,1.553923,2.335047,-1.231911,1.212198,2.86358,15.9525,-96.88861,-6.779694,-0.2623577,1.233317,1.815577,11.05422,87.39648,9.108394,,4.72E-05,0.000133005,0.000218588
1.005373,6.38E+13,0.1088296,-0.001709612,0.008221787,-1.96579,1.513972,-1.783142,-0.7411662,1.553791,2.334926,-1.233149,1.212695,2.862574,15.91458,-97.13733,-6.950226,-0.261057,1.233201,1.816386,11.08022,87.194,9.337797,,0,0,0
1.025373,6.38E+13,0.1088296,-0.001709612,0.008221787,-1.96579,1.513972,-1.783142,-0.7411662,1.553791,2.334926,-1.233149,1.212695,2.862574,15.91458,-97.13733,-6.950226,-0.261057,1.233201,1.816386,11.08022,87.194,9.337797,,0.0001127,0.000382155,0.000144408
1.045373,6.38E+13,0.1087169,-0.002091767,0.008077379,-1.9888,1.430414,-1.64917,-0.7413479,1.553408,2.334903,-1.233691,1.213099,2.861967,15.81436,-97.15155,-6.907135,-0.2604788,1.233243,1.816919,11.10044,87.18073,9.384714,,0.0001435,-0.000142029,0.000231853
1.065372,6.38E+13,0.1085734,-0.001949738,0.007845526,-1.936768,1.328862,-1.535339,-0.7416134,1.55355,2.334841,-1.234652,1.213435,2.860966,15.76838,-97.25269,-6.755981,-0.2601825,1.233252,1.817371,11.0547,87.19863,9.316501,,0,0,0
1.085373,6.38E+13,0.1085734,-0.001949738,0.007845526,-1.936768,1.328862,-1.535339,-0.7416134,1.55355,2.334841,-1.234652,1.213435,2.860966,15.76838,-97.25269,-6.755981,-0.2601825,1.233252,1.817371,11.0547,87.19863,9.316501,,0.0002753,-0.000180676,0.000442931
1.105373,6.38E+13,0.1082981,-0.001769062,0.007402595,-1.764984,1.168217,-1.559113,-0.7421212,1.553731,2.334722,-1.235158,1.213389,2.860052,15.77891,-97.18988,-6.648621,-0.2589875,1.232812,1.818389,11.14439,87.05836,9.279743,,0.0003879,0.000136425,0.000643684
1.125373,6.38E+13,0.1079102,-0.001905487,0.006758911,-1.617493,1.014411,-1.635773,-0.7428507,1.553595,2.334541,-1.235986,1.213015,2.859168,15.85793,-97.11624,-6.638184,-0.2582431,1.232367,1.819491,11.23625,86.98267,9.394225,,0.0004457,0.000466569,0.000638904
1.145373,6.38E+13,0.1074645,-0.002372056,0.006120007,-1.677582,0.9084426,-1.683411,-0.7436175,1.553128,2.334404,-1.239677,1.211723,2.857224,16.00998,-97.83453,-7.471191,-0.2573431,1.23181,1.820919,11.3343,86.78391,9.464779,,0,0,0
1.165373,6.38E+13,0.1074645,-0.002372056,0.006120007,-1.677582,0.9084426,-1.683411,-0.7436175,1.553128,2.334404,-1.239677,1.211723,2.857224,16.00998,-97.83453,-7.471191,-0.2573431,1.23181,1.820919,11.3343,86.78391,9.464779,,0.00012,0.000530677,0.000270633
1.185373,6.38E+13,0.1073445,-0.002902733,0.005849374,-1.974518,0.8520459,-1.637909,-0.7438938,1.552597,2.334298,-1.241796,1.211731,2.856435,15.89838,-98.22119,-7.378937,-0.2563847,1.231498,1.821898,11.32751,86.61692,9.702579,,0.0002165,0.000272755,0.000215323
