,time1,dist1,rmse1,sign1,dx_std1,time2,dist2,rmse2,sign2,dx_std2
0,6.439999,6.987722423506531,0.051148235330214224,13.0,0.0018131833058218265,7.779997,7.032455276735319,0.08170839572839061,16.0,0.002412558773524733
1,6.859999999999999,7.04349650439978,0.06946638162826729,12.0,0.0030843067323944465,7.559999999999999,7.032885380408897,0.0739338885386226,15.0,0.0026902657058695146
2,6.599999999999994,7.028214195341626,0.07451129881351189,13.0,0.0026817014232931673,7.140000000000001,7.01075721178324,0.05614839571205549,16.0,0.0024338313944484275
3,6.420000000000002,7.02579062247665,0.06318703212468324,13.0,0.0025015930689703124,7.039999999999999,7.039519516322329,0.09528391943956425,13.0,0.002852186067581827
4,6.359999999999999,6.989226725522526,0.05362863614099931,14.0,0.0020962172905913093,7.180000000000007,7.0008417785574135,0.04740289107082184,18.0,0.0023353180823222756
5,6.859999999999999,7.074073981428626,0.11819370627551641,18.0,0.003581169441213767,6.739999999999995,7.016215066278361,0.06758197518121643,15.0,0.0024074405479750133
6,6.1000000000000085,6.991520885539401,0.07922211992155974,15.0,0.0023150615732573953,7.0,7.014919777264405,0.0846673345401745,16.0,0.0027044160269421615
7,6.660000000000011,7.089581807954085,0.13549966918071787,11.0,0.0038234516687597917,7.140000000000001,7.038218908289047,0.09477230761607648,15.0,0.0028004747979657957
8,6.97999999999999,7.121725584526095,0.18606076360169307,11.0,0.004717520712352457,7.460000000000008,7.071417925612646,0.09271689502942733,11.0,0.003148023039885322
9,6.200000000000017,7.031905581404332,0.1024427592337307,12.0,0.002673084889848166,7.380000000000024,7.034167982289294,0.1125045235961039,11.0,0.0028913017899915706
10,7.060000000000002,7.203349810221733,0.17008746650858922,10.0,0.004873807509949378,7.219999999999999,7.04933979436516,0.1277289393338338,12.0,0.0031568832061854403
11,6.160000000000025,6.946429330654389,0.052908395022226856,17.0,0.0017659794435508855,7.039999999999992,7.013753354045813,0.06067861693588291,13.0,0.002535823162590998
